'username'|'date'|'retweets'|'favorites'|'text'|'cleantext'|'is_retweet'|'ID'|'permalink'|Translation
UKWeatherLive|2017-09-09 19:26:15|0|1|Some prefer to stick it out and feel they can protect themselves and their property. Or just wanted to record footage and report.|Some prefer to stick it out and feel they can protect themselves and their property. Or just wanted to record footage and report.|false|906660051254902784|/UKWeatherLive/status/906660051254902784|Some prefer to stick it out and feel they can protect themselves and their property. Or just wanted to record footage and report.
UKWeatherLive|2018-02-15 15:38:41|0|3|pic.twitter.com/MROBWA4p7s||false|964237550205440000|/UKWeatherLive/status/964237550205440000|pic.twitter.com/MROBWA4p7s
UKWeatherLive|2017-10-24 09:51:04|0|2|Models almost always over estimate snowfall. Scotland may well see snow at low levels but wouldn't trust model accuracy this far out|Models almost always over estimate snowfall. Scotland may well see snow at low levels but wouldn't trust model accuracy this far out|false|922822755720024064|/UKWeatherLive/status/922822755720024064|Models almost always over estimate snowfall. Scotland may well see snow at low levels but wouldn't trust model accuracy this far out
UKWeatherLive|2018-02-23 15:31:29|66|77|Preliminary Snowfall Risk Map   By MON evening, snow showers begin to increase in frequency with E areas seeing the worst. In places showers will organise into streamers giving snowfall for several hours. A more organised band is modelled for the NE Monday night then Scot Tue: pic.twitter.com/YJCBUQ5Upq|Preliminary Snowfall Risk Map   By MON evening, snow showers begin to increase in frequency with E areas seeing the worst. In places showers will organise into streamers giving snowfall for several hours. A more organised band is modelled for the NE Monday night then Scot Tue: |false|967134842730242048|/UKWeatherLive/status/967134842730242048|Preliminary Snowfall Risk Map   By MON evening, snow showers begin to increase in frequency with E areas seeing the worst. In places showers will organise into streamers giving snowfall for several hours. A more organised band is modelled for the NE Monday night then Scot Tue: pic.twitter.com/YJCBUQ5Upq
UKWeatherLive|2017-10-31 14:26:04|0|1|Hahaa that's more like it|Hahaa that's more like it|false|925428673712394240|/UKWeatherLive/status/925428673712394240|Hahaa that's more like it
UKWeatherLive|2018-03-02 13:30:16|5|4|Showers no coming into south and are falling as freezing rain mostly pic.twitter.com/dN4L83ooZP|Showers no coming into south and are falling as freezing rain mostly |false|969641050712223745|/UKWeatherLive/status/969641050712223745|Showers no coming into south and are falling as freezing rain mostly pic.twitter.com/dN4L83ooZP
UKWeatherLive|2017-12-09 16:02:29|0|2|I'm going to try and head to the midlands but not sure how far I'll get! |I'm going to try and head to the midlands but not sure how far I'll get! |false|939601167142801409|/UKWeatherLive/status/939601167142801409|I'm going to try and head to the midlands but not sure how far I'll get!
UKWeatherLive|2017-10-30 04:07:02|1|7|Feeling cold out there this morning with temps widely around or below 0C   first frosts of the season for some pic.twitter.com/Rd9nsEpayB|Feeling cold out there this morning with temps widely around or below 0C   first frosts of the season for some |false|924910501120892928|/UKWeatherLive/status/924910501120892928|Feeling cold out there this morning with temps widely around or below 0C   first frosts of the season for some pic.twitter.com/Rd9nsEpayB
UKWeatherLive|2017-09-09 18:08:41|22|13|Watch this live video feed of #hurricane  #irma  from the southern most point of #Keywest  #Florida https://www. pscp.tv/w/bIMEFzF4bmpy WE1xSk94UVl8MXlwS2RsT3JETlFLV_uLMTOIXueG82MnlotwbRkU4kIGvw2dgNA9nOFVrkam   …|Watch this live video feed of #hurricane  #irma  from the southern most point of #Keywest  #Florida  pscp.tv/w/bIMEFzF4bmpy WE1xSk94UVl8MXlwS2RsT3JETlFLV_uLMTOIXueG82MnlotwbRkU4kIGvw2dgNA9nOFVrkam   …|false|906640527751356416|/UKWeatherLive/status/906640527751356416|Watch this live video feed of #hurricane  #irma  from the southern most point of #Keywest  #Florida https://www. pscp.tv/w/bIMEFzF4bmpy WE1xSk94UVl8MXlwS2RsT3JETlFLV_uLMTOIXueG82MnlotwbRkU4kIGvw2dgNA9nOFVrkam   …
UKWeatherLive|2017-12-07 13:54:05|0|10|To all the lamppost watchers out there...keep sending it your updates #ukweatherlive  #uksnow  |To all the lamppost watchers out there...keep sending it your updates #ukweatherlive  #uksnow  |false|938844078803910659|/UKWeatherLive/status/938844078803910659|To all the lamppost watchers out there...keep sending it your updates #ukweatherlive  #uksnow
