username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|Translation|address|coord_lat|coord_lon|coord_err
WeatherNation|2017-09-09 08:42:55|15|25|Along with Hurricane #Irma , we are tracking Hurricane Jose and whats left of tropical system Katia pic.twitter.com/OqQ0JTsBmJ|Along with Hurricane #Irma , we are tracking Hurricane Jose and whats left of tropical system Katia |false|906498150470377473|/WeatherNation/status/906498150470377473|Along with Hurricane #Irma , we are tracking Hurricane Jose and whats left of tropical system Katia pic.twitter.com/OqQ0JTsBmJ||||
WeatherNation|2017-10-16 08:15:59|36|33|# Ophelia  is impacting Ireland today. Reports of 86 mph winds (139 km/hr) have already been recorded at Roches Point Co. pic.twitter.com/Y4pO4zG5ct|# Ophelia  is impacting Ireland today. Reports of 86 mph winds (139 km/hr) have already been recorded at Roches Point Co. |false|919899722185285634|/WeatherNation/status/919899722185285634|# Ophelia  is impacting Ireland today. Reports of 86 mph winds (139 km/hr) have already been recorded at Roches Point Co. pic.twitter.com/Y4pO4zG5ct||||
WeatherNation|2017-09-29 07:13:49|1|3|Another VIPIR Check - Scattered rain showers across Texas, from Dallas to San Antonio #WeatherNation pic.twitter.com/YPVsPw355t|Another VIPIR Check - Scattered rain showers across Texas, from Dallas to San Antonio #WeatherNation |false|913723482957004800|/WeatherNation/status/913723482957004800|Another VIPIR Check - Scattered rain showers across Texas, from Dallas to San Antonio #WeatherNation pic.twitter.com/YPVsPw355t||||
WeatherNation|2018-01-05 15:38:19|25|18|The bitter cold and deep freeze will continue across the East into the weekend. Warmer temperatures, closer to average, will return Sunday afternoon. pic.twitter.com/ckkvFPqsSR|The bitter cold and deep freeze will continue across the East into the weekend. Warmer temperatures, closer to average, will return Sunday afternoon. |false|949379556858781696|/WeatherNation/status/949379556858781696|The bitter cold and deep freeze will continue across the East into the weekend. Warmer temperatures, closer to average, will return Sunday afternoon. pic.twitter.com/ckkvFPqsSR||||
WeatherNation|2017-09-06 13:33:15|29|25|.@WeatherNation  Field Correspondent @AlaStormTracker  gives an update on #HurricaneIrma  from #PuertoRico . pic.twitter.com/qwynf9K1yL|.@WeatherNation  Field Correspondent @AlaStormTracker  gives an update on #HurricaneIrma  from #PuertoRico . |false|905484051158491137|/WeatherNation/status/905484051158491137|.@WeatherNation  Field Correspondent @AlaStormTracker  gives an update on #HurricaneIrma  from #PuertoRico . pic.twitter.com/qwynf9K1yL||||
WeatherNation|2018-03-14 17:03:27|7|15|'After all of the Nor''easters, here''s how this season''s #snowfall  stacks up in the #Northeast . pic.twitter.com/E2waObH9mp'|'After all of the Nor''easters, here''s how this season''s #snowfall  stacks up in the #Northeast . '|false|974028257740771328|/WeatherNation/status/974028257740771328|'After all of the Nor''easters, here''s how this season''s #snowfall  stacks up in the #Northeast . pic.twitter.com/E2waObH9mp'||||
WeatherNation|2018-02-13 12:36:44|1|3|We’re quickly approaching another milestone in Earth Observation satellite deployment, as we get ready for the launch of GOES-S, the next major addition to the NOAA satellite fleet. @JVPStorm  explains more... http://bit.ly/2EookVt  |We’re quickly approaching another milestone in Earth Observation satellite deployment, as we get ready for the launch of GOES-S, the next major addition to the NOAA satellite fleet. @JVPStorm  explains more...   |false|963466987341996033|/WeatherNation/status/963466987341996033|We’re quickly approaching another milestone in Earth Observation satellite deployment, as we get ready for the launch of GOES-S, the next major addition to the NOAA satellite fleet. @JVPStorm  explains more... http://bit.ly/2EookVt  ||||
WeatherNation|2018-03-20 14:29:49|19|13|MULTIPLE TORNADO WARNINGS for Central Florida, including #Orlando . If you are in the path of these storms, get to your safe spot NOW! #flwx pic.twitter.com/DIVlB3iQbl|MULTIPLE TORNADO WARNINGS for Central Florida, including #Orlando . If you are in the path of these storms, get to your safe spot NOW! #flwx |false|976163921420738560|/WeatherNation/status/976163921420738560|MULTIPLE TORNADO WARNINGS for Central Florida, including #Orlando . If you are in the path of these storms, get to your safe spot NOW! #flwx pic.twitter.com/DIVlB3iQbl||||
WeatherNation|2017-10-23 18:03:04|7|3|A look at the forecast for November from @NWSCPC __NEWLINE____NEWLINE__ http://bit.ly/2i0U7BB   pic.twitter.com/bhbI97kZ5R|A look at the forecast for November from @NWSCPC __NEWLINE____NEWLINE__    |false|922584183188443136|/WeatherNation/status/922584183188443136|A look at the forecast for November from @NWSCPC __NEWLINE____NEWLINE__ http://bit.ly/2i0U7BB   pic.twitter.com/bhbI97kZ5R||||
WeatherNation|2018-03-12 10:37:13|7|15|'The snow  is starting to fall in #TaylorsvilleBeach , North Carolina! We''ll have more details on the snow on-air and online all day long. Be sure to join us. #NCwx pic.twitter.com/ray62XpOxN'|'The snow  is starting to fall in #TaylorsvilleBeach , North Carolina! We''ll have more details on the snow on-air and online all day long. Be sure to join us. #NCwx '|false|973206279953895429|/WeatherNation/status/973206279953895429|'The snow  is starting to fall in #TaylorsvilleBeach , North Carolina! We''ll have more details on the snow on-air and online all day long. Be sure to join us. #NCwx pic.twitter.com/ray62XpOxN'||||
