username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|Translation|address|latitude|longitude|latlongerr
breakingweather|2017-12-18 12:01:23|10|14|An Amtrak train has derailed in Washington state & is blocking a busy stretch of I-5 near Olympia. Periods of rain are expected in the region throughout the day:  http://ow.ly/mhzs30hiESM   pic.twitter.com/QL2CSNztur|An Amtrak train has derailed in Washington state & is blocking a busy stretch of I-5 near Olympia. Periods of rain are expected in the region throughout the day:     |false|942801983731306496|/breakingweather/status/942801983731306496|An Amtrak train has derailed in Washington state & is blocking a busy stretch of I-5 near Olympia. Periods of rain are expected in the region throughout the day:  http://ow.ly/mhzs30hiESM   pic.twitter.com/QL2CSNztur||||
breakingweather|2018-03-31 19:20:05|29|32|Flights in and out of Indianapolis; Pittsburgh, Harrisburg, Allentown and Philadelphia, Pennsylvania, could face delays and cancellations Sunday evening through Monday morning:  http://ow.ly/QQwP30jfFmC   https://twitter.com/NWSEastern/sta tus/980217537395875840   …|Flights in and out of Indianapolis; Pittsburgh, Harrisburg, Allentown and Philadelphia, Pennsylvania, could face delays and cancellations Sunday evening through Monday morning:      tus/980217537395875840   …|false|980223236880388096|/breakingweather/status/980223236880388096|Flights in and out of Indianapolis; Pittsburgh, Harrisburg, Allentown and Philadelphia, Pennsylvania, could face delays and cancellations Sunday evening through Monday morning:  http://ow.ly/QQwP30jfFmC   https://twitter.com/NWSEastern/sta tus/980217537395875840   …||||
breakingweather|2018-01-17 08:30:04|8|25|This is the coldest morning at George Bush Intercontinental Airport in Houston (currently 19 F) since Jan. 8th 1996 when it was also 19 F:  http://ow.ly/RVNZ30hPH3J   pic.twitter.com/IBQ1EDw7qG|This is the coldest morning at George Bush Intercontinental Airport in Houston (currently 19 F) since Jan. 8th 1996 when it was also 19 F:     |false|953620439984672768|/breakingweather/status/953620439984672768|This is the coldest morning at George Bush Intercontinental Airport in Houston (currently 19 F) since Jan. 8th 1996 when it was also 19 F:  http://ow.ly/RVNZ30hPH3J   pic.twitter.com/IBQ1EDw7qG||||
breakingweather|2017-12-25 17:07:28|12|53|A winter storm treated millions to a white #Christmas  across the northeastern US:  http://ow.ly/3eIM30hqDZI   pic.twitter.com/sex8yA6qAt|A winter storm treated millions to a white #Christmas  across the northeastern US:     |false|945415725346381824|/breakingweather/status/945415725346381824|A winter storm treated millions to a white #Christmas  across the northeastern US:  http://ow.ly/3eIM30hqDZI   pic.twitter.com/sex8yA6qAt||||
breakingweather|2018-01-16 18:41:48|34|24|All county roads and bridges in Fayette County, Alabama have been deemed impassable until further notice as wintry weather impacts the region. Reports:  http://ow.ly/k69g30hP6Li   pic.twitter.com/Jy7l5XQJsC|All county roads and bridges in Fayette County, Alabama have been deemed impassable until further notice as wintry weather impacts the region. Reports:     |false|953411995935625217|/breakingweather/status/953411995935625217|All county roads and bridges in Fayette County, Alabama have been deemed impassable until further notice as wintry weather impacts the region. Reports:  http://ow.ly/k69g30hP6Li   pic.twitter.com/Jy7l5XQJsC||||
breakingweather|2017-11-12 22:30:17|15|23|While life-threatening smog plagues northern India, the country’s eastern coast and Bangladesh are being put on alert as a tropical cyclone may attempt to brew in the Bay of Bengal this week:  http://ow.ly/11fr30gwJWS   pic.twitter.com/NiWpLBUHso|While life-threatening smog plagues northern India, the country’s eastern coast and Bangladesh are being put on alert as a tropical cyclone may attempt to brew in the Bay of Bengal this week:     |false|929914287736414208|/breakingweather/status/929914287736414208|While life-threatening smog plagues northern India, the country’s eastern coast and Bangladesh are being put on alert as a tropical cyclone may attempt to brew in the Bay of Bengal this week:  http://ow.ly/11fr30gwJWS   pic.twitter.com/NiWpLBUHso||||
breakingweather|2018-01-25 21:15:14|7|6|A mild but wet weekend is in store for the UK following Storm #Georgina   http://ow.ly/G7n830i0B7d   pic.twitter.com/zeXOZ9QuXS|A mild but wet weekend is in store for the UK following Storm #Georgina      |false|956712100310716418|/breakingweather/status/956712100310716418|A mild but wet weekend is in store for the UK following Storm #Georgina   http://ow.ly/G7n830i0B7d   pic.twitter.com/zeXOZ9QuXS||||
breakingweather|2018-01-06 13:12:21|43|70|Temps in many locations have dipped as low as the single digits and below zero at night. With a forecast low of 7 F tonight for Raleigh, NC, it would be coldest temp there since Feb 20, 2015:  http://ow.ly/4zx530hCsZZ   pic.twitter.com/6JhYC6DHIw|Temps in many locations have dipped as low as the single digits and below zero at night. With a forecast low of 7 F tonight for Raleigh, NC, it would be coldest temp there since Feb 20, 2015:     |false|949705210242486275|/breakingweather/status/949705210242486275|Temps in many locations have dipped as low as the single digits and below zero at night. With a forecast low of 7 F tonight for Raleigh, NC, it would be coldest temp there since Feb 20, 2015:  http://ow.ly/4zx530hCsZZ   pic.twitter.com/6JhYC6DHIw|Raleigh, NC|35.7803977|-78.6390989|
breakingweather|2018-01-26 09:06:52|26|30|Enough cold air may arrive with an Alberta clipper storm to produce snow in some parts of the Northeast early next week:  http://ow.ly/CFcs30i1684   pic.twitter.com/RCemlEgtkt|Enough cold air may arrive with an Alberta clipper storm to produce snow in some parts of the Northeast early next week:     |false|956891189248249858|/breakingweather/status/956891189248249858|Enough cold air may arrive with an Alberta clipper storm to produce snow in some parts of the Northeast early next week:  http://ow.ly/CFcs30i1684   pic.twitter.com/RCemlEgtkt||||
breakingweather|2018-03-04 21:55:45|11|19|'Strong aftershocks have hit Papua New Guinea since last week''s deadly 7.5-magnitude #earthquake , threatening to further slow recovery efforts:  http://ow.ly/X9J130iKs9o   pic.twitter.com/66IjxIazpc'|'Strong aftershocks have hit Papua New Guinea since last week''s deadly 7.5-magnitude #earthquake , threatening to further slow recovery efforts:     '|false|970493035883782144|/breakingweather/status/970493035883782144|'Strong aftershocks have hit Papua New Guinea since last week''s deadly 7.5-magnitude #earthquake , threatening to further slow recovery efforts:  http://ow.ly/X9J130iKs9o   pic.twitter.com/66IjxIazpc'||||
