'username'|'date'|'retweets'|'favorites'|'text'|'cleantext'|'is_retweet'|'ID'|'permalink'|Translation
flightradar24|2018-03-13 16:42:52|0|0|Please see  https://www. flightradar24.com/how-it-works    for more information about our coverage and why certain flights are not displayed. Thanks!|Please see   flightradar24.com/how-it-works    for more information about our coverage and why certain flights are not displayed. Thanks!|false|973660689393909760|/flightradar24/status/973660689393909760|Please see  https://www. flightradar24.com/how-it-works    for more information about our coverage and why certain flights are not displayed. Thanks!
flightradar24|2018-01-30 02:26:55|1|2|https://twitter.com/flightradar24/ status/958044501737721856   …| status/958044501737721856   …|false|958240088693116929|/flightradar24/status/958240088693116929|https://twitter.com/flightradar24/ status/958044501737721856   …
flightradar24|2017-10-17 18:37:07|0|1|https://twitter.com/flightradar24/ status/920295192007184384   …| status/920295192007184384   …|false|920418424605560832|/flightradar24/status/920418424605560832|https://twitter.com/flightradar24/ status/920295192007184384   …
flightradar24|2018-03-14 10:29:06|0|1|At one time. We'll likely track about 170,000 flights in total today.|At one time. We'll likely track about 170,000 flights in total today.|false|973929013650624512|/flightradar24/status/973929013650624512|At one time. We'll likely track about 170,000 flights in total today.
flightradar24|2018-01-05 18:29:47|0|0|Thank you for watching!|Thank you for watching!|false|949422707929698305|/flightradar24/status/949422707929698305|Thank you for watching!
flightradar24|2017-09-10 16:38:48|0|0|We're investigating the issue and hope to have it resolved shortly. Thanks!|We're investigating the issue and hope to have it resolved shortly. Thanks!|false|906980296687587329|/flightradar24/status/906980296687587329|We're investigating the issue and hope to have it resolved shortly. Thanks!
flightradar24|2018-02-07 11:50:57|0|0|Hi Claire, AA172 is a daily flight. The aircraft in question returned to service yesterday after inspection.|Hi Claire, AA172 is a daily flight. The aircraft in question returned to service yesterday after inspection.|false|961281137413943297|/flightradar24/status/961281137413943297|Hi Claire, AA172 is a daily flight. The aircraft in question returned to service yesterday after inspection.
flightradar24|2018-01-25 17:51:14|14|59|'The Flying Orangutan' is currently in Auckland  https://www. flightradar24.com/data/aircraft/ vh-tca   … __NEWLINE__'Small Goods' is currently in Milan  https://www. flightradar24.com/data/aircraft/ g-dhlg   … __NEWLINE__'Hair Force One' is currently in Leipzig https://www. flightradar24.com/data/aircraft/ g-dhkk   …|'The Flying Orangutan' is currently in Auckland   flightradar24.com/data/aircraft/ vh-tca   … __NEWLINE__'Small Goods' is currently in Milan   flightradar24.com/data/aircraft/ g-dhlg   … __NEWLINE__'Hair Force One' is currently in Leipzig  flightradar24.com/data/aircraft/ g-dhkk   …|false|956660762730213378|/flightradar24/status/956660762730213378|'The Flying Orangutan' is currently in Auckland  https://www. flightradar24.com/data/aircraft/ vh-tca   … __NEWLINE__'Small Goods' is currently in Milan  https://www. flightradar24.com/data/aircraft/ g-dhlg   … __NEWLINE__'Hair Force One' is currently in Leipzig https://www. flightradar24.com/data/aircraft/ g-dhkk   …
flightradar24|2018-03-22 11:43:15|0|1|Just checked and he's on the list.|Just checked and he's on the list.|false|976846780175474689|/flightradar24/status/976846780175474689|Just checked and he's on the list.
flightradar24|2017-11-25 06:21:07|0|0|Please see the link in the last tweet for more information about different transponder types and coverage.|Please see the link in the last tweet for more information about different transponder types and coverage.|false|934381431597535232|/flightradar24/status/934381431597535232|Please see the link in the last tweet for more information about different transponder types and coverage.
