username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|Translation|address|coord_lat|coord_lon|coord_err
frontlinepbs|2017-10-25 22:03:41|66|82|In the runup to Election 2016, US intel. agencies suspected #Putin  was behind a multi-pronged approach to influence voters. #frontlinePBS pic.twitter.com/t4t6MPJvoS|In the runup to Election 2016, US intel. agencies suspected #Putin  was behind a multi-pronged approach to influence voters. #frontlinePBS |false|923369509423079424|/frontlinepbs/status/923369509423079424|In the runup to Election 2016, US intel. agencies suspected #Putin  was behind a multi-pronged approach to influence voters. #frontlinePBS pic.twitter.com/t4t6MPJvoS||||
frontlinepbs|2017-11-06 14:10:00|5|2|Trump’s opioid commission recommends drug courts. How do they work?  http://to.pbs.org/2zC29fA  |Trump’s opioid commission recommends drug courts. How do they work?    |false|927614058928529410|/frontlinepbs/status/927614058928529410|Trump’s opioid commission recommends drug courts. How do they work?  http://to.pbs.org/2zC29fA  ||||
frontlinepbs|2018-02-20 21:05:46|1|0|'So glad you''re tuning in!'|'So glad you''re tuning in!'|false|966131804431437824|/frontlinepbs/status/966131804431437824|'So glad you''re tuning in!'||||
frontlinepbs|2017-11-19 00:34:00|132|150|"Rape on the Night Shift" uncovers the steep price many women in the janitorial industry pay to keep their jobs. Watch our 2015 doc: http://to.pbs.org/2hAZFms  |"Rape on the Night Shift" uncovers the steep price many women in the janitorial industry pay to keep their jobs. Watch our 2015 doc:   |false|932119747717713920|/frontlinepbs/status/932119747717713920|"Rape on the Night Shift" uncovers the steep price many women in the janitorial industry pay to keep their jobs. Watch our 2015 doc: http://to.pbs.org/2hAZFms  ||||
frontlinepbs|2017-10-19 21:32:01|14|24|As Iraqi soldiers entered this house in Mosul, FRONTLINE cameras captured the moment they realized an ISIS fighter was close by. pic.twitter.com/Gq4xkqXZPB|As Iraqi soldiers entered this house in Mosul, FRONTLINE cameras captured the moment they realized an ISIS fighter was close by. |false|921187213563412480|/frontlinepbs/status/921187213563412480|As Iraqi soldiers entered this house in Mosul, FRONTLINE cameras captured the moment they realized an ISIS fighter was close by. pic.twitter.com/Gq4xkqXZPB||||
frontlinepbs|2018-02-27 22:47:45|18|15|The United States supplies the largest amount of weapons to the Saudis. At a factory that was hit by air attacks, the FRONTLINE team found remnants of a U.S.-made cluster bomb. #frontlinePBS   http://to.pbs.org/2CyRiAd   pic.twitter.com/TjOfrIIdNc|The United States supplies the largest amount of weapons to the Saudis. At a factory that was hit by air attacks, the FRONTLINE team found remnants of a U.S.-made cluster bomb. #frontlinePBS      |false|968694182654234625|/frontlinepbs/status/968694182654234625|The United States supplies the largest amount of weapons to the Saudis. At a factory that was hit by air attacks, the FRONTLINE team found remnants of a U.S.-made cluster bomb. #frontlinePBS   http://to.pbs.org/2CyRiAd   pic.twitter.com/TjOfrIIdNc||||
frontlinepbs|2018-03-30 16:34:05|22|28|A look at how the power struggle between Iran and Saudi Arabia has played out in conflicts in Iraq, Syria and Yemen.  http://to.pbs.org/2uzpGMz   pic.twitter.com/eNPymMkRMk|A look at how the power struggle between Iran and Saudi Arabia has played out in conflicts in Iraq, Syria and Yemen.     |false|979819073235308545|/frontlinepbs/status/979819073235308545|A look at how the power struggle between Iran and Saudi Arabia has played out in conflicts in Iraq, Syria and Yemen.  http://to.pbs.org/2uzpGMz   pic.twitter.com/eNPymMkRMk||||
frontlinepbs|2017-09-10 00:46:01|73|68|'Why was a small, family-owned bank the only US bank indicted for mortgage fraud related to the ''08 financial crisis?  http://to.pbs.org/2eV62Dt   pic.twitter.com/JgQz416Ob7'|'Why was a small, family-owned bank the only US bank indicted for mortgage fraud related to the ''08 financial crisis?     '|false|906740522030698497|/frontlinepbs/status/906740522030698497|'Why was a small, family-owned bank the only US bank indicted for mortgage fraud related to the ''08 financial crisis?  http://to.pbs.org/2eV62Dt   pic.twitter.com/JgQz416Ob7'||||
frontlinepbs|2017-10-04 22:35:06|7|8|Police say Kim Jong-nam died from VX, a banned chemical weapon that experts believe is manufactured in North Korea. #frontlinePBS pic.twitter.com/fGHmKpqhIx|Police say Kim Jong-nam died from VX, a banned chemical weapon that experts believe is manufactured in North Korea. #frontlinePBS |false|915767271062163456|/frontlinepbs/status/915767271062163456|Police say Kim Jong-nam died from VX, a banned chemical weapon that experts believe is manufactured in North Korea. #frontlinePBS pic.twitter.com/fGHmKpqhIx||||
frontlinepbs|2017-09-15 16:55:04|4|9|Heather thought marriage would be a “dream come true.” The story began when she was 14. Listen now:  http://apple.co/2x8JAyv   pic.twitter.com/8Cq8T21NTO|Heather thought marriage would be a “dream come true.” The story began when she was 14. Listen now:     |false|908796330872520704|/frontlinepbs/status/908796330872520704|Heather thought marriage would be a “dream come true.” The story began when she was 14. Listen now:  http://apple.co/2x8JAyv   pic.twitter.com/8Cq8T21NTO||||
