username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|Translation|address|latitude|longitude|latlongerr
theblaze|2018-01-25 15:01:20|11|13|‘White privilege’ also won after Philadelphia Eagles’ victory, magazine columnist declares http://bit.ly/2Fg5bFh  |‘White privilege’ also won after Philadelphia Eagles’ victory, magazine columnist declares   |false|956618008264433664|/theblaze/status/956618008264433664|‘White privilege’ also won after Philadelphia Eagles’ victory, magazine columnist declares http://bit.ly/2Fg5bFh  ||||
theblaze|2018-01-02 13:15:13|16|31|Iran protests: Ayatollah blames ‘enemies’ for anti-government protests; nine more killed overnight https://buff.ly/2lGVlUA  |Iran protests: Ayatollah blames ‘enemies’ for anti-government protests; nine more killed overnight   |false|948256379416055809|/theblaze/status/948256379416055809|Iran protests: Ayatollah blames ‘enemies’ for anti-government protests; nine more killed overnight https://buff.ly/2lGVlUA  ||||
theblaze|2018-01-30 16:00:02|5|4|Republican Senate candidate faces questions concerning alleged personal use of charity funds http://bit.ly/2DKOJMJ  |Republican Senate candidate faces questions concerning alleged personal use of charity funds   |false|958444719356354560|/theblaze/status/958444719356354560|Republican Senate candidate faces questions concerning alleged personal use of charity funds http://bit.ly/2DKOJMJ  ||||
theblaze|2017-11-11 11:10:07|19|52|Rand Paul’s neighbors shoot down ‘landscaping dispute’ excuse as source of attack https://buff.ly/2i3a4rU  |Rand Paul’s neighbors shoot down ‘landscaping dispute’ excuse as source of attack   |false|929380728512630785|/theblaze/status/929380728512630785|Rand Paul’s neighbors shoot down ‘landscaping dispute’ excuse as source of attack https://buff.ly/2i3a4rU  ||||
theblaze|2018-03-27 14:00:10|7|10|Prosecutors first estimated fewer than 300 cases would require dismissal after the convictions of Officers Daniel Hersl and Marcus Taylor on racketeering charges last month. http://bit.ly/2I8iybI  |Prosecutors first estimated fewer than 300 cases would require dismissal after the convictions of Officers Daniel Hersl and Marcus Taylor on racketeering charges last month.   |false|978693175698128897|/theblaze/status/978693175698128897|Prosecutors first estimated fewer than 300 cases would require dismissal after the convictions of Officers Daniel Hersl and Marcus Taylor on racketeering charges last month. http://bit.ly/2I8iybI  ||||
theblaze|2018-01-09 15:01:52|10|72|Former sheriff Joe Arpaio plans to run for the Senate in 2018 https://buff.ly/2CXQJ7e  |Former sheriff Joe Arpaio plans to run for the Senate in 2018   |false|950819936536023040|/theblaze/status/950819936536023040|Former sheriff Joe Arpaio plans to run for the Senate in 2018 https://buff.ly/2CXQJ7e  ||||
theblaze|2018-01-10 14:00:40|5|10|Watch: The latest trend on college campuses is a time-waster that costs students big https://buff.ly/2CMFYRN  |Watch: The latest trend on college campuses is a time-waster that costs students big   |false|951166920463732742|/theblaze/status/951166920463732742|Watch: The latest trend on college campuses is a time-waster that costs students big https://buff.ly/2CMFYRN  ||||
theblaze|2017-12-06 09:15:11|122|210|Lena Dunham says Clinton campaign was well aware of Harvey Weinstein’s alleged rapes https://buff.ly/2AdgUGm  |Lena Dunham says Clinton campaign was well aware of Harvey Weinstein’s alleged rapes   |false|938411499823001601|/theblaze/status/938411499823001601|Lena Dunham says Clinton campaign was well aware of Harvey Weinstein’s alleged rapes https://buff.ly/2AdgUGm  ||||
theblaze|2018-03-27 08:30:13|15|48|WATCH: Rick Santorum urges students to learn CPR, not seek gun laws http://bit.ly/2GtKKc5  |WATCH: Rick Santorum urges students to learn CPR, not seek gun laws   |false|978610139937890304|/theblaze/status/978610139937890304|WATCH: Rick Santorum urges students to learn CPR, not seek gun laws http://bit.ly/2GtKKc5  ||||
theblaze|2018-02-05 18:30:18|9|14|Sens. McCain and Coons to introduce immigration plan — but there’s no funding for border wall http://bit.ly/2EkVWGM  |Sens. McCain and Coons to introduce immigration plan — but there’s no funding for border wall   |false|960656862042607616|/theblaze/status/960656862042607616|Sens. McCain and Coons to introduce immigration plan — but there’s no funding for border wall http://bit.ly/2EkVWGM  ||||
theblaze|2018-02-14 15:30:11|0|4|White House strongly denies claim that Israel and U.S. were talking settlement annexation. http://bit.ly/2GdiWF8  |White House strongly denies claim that Israel and U.S. were talking settlement annexation.   |false|963873025887260672|/theblaze/status/963873025887260672|White House strongly denies claim that Israel and U.S. were talking settlement annexation. http://bit.ly/2GdiWF8  ||||
theblaze|2018-01-13 16:49:35|46|46|Teens are eating laundry detergent pods in hazardous internet challenge http://bit.ly/2r34M6E  |Teens are eating laundry detergent pods in hazardous internet challenge   |false|952296595709669377|/theblaze/status/952296595709669377|Teens are eating laundry detergent pods in hazardous internet challenge http://bit.ly/2r34M6E  ||||
theblaze|2018-02-12 16:30:07|18|50|'Why don''t we try fixing the VA, first? http://bit.ly/2H7KhcS  '|'Why don''t we try fixing the VA, first?   '|false|963163332860678145|/theblaze/status/963163332860678145|'Why don''t we try fixing the VA, first? http://bit.ly/2H7KhcS  '||||
theblaze|2017-09-19 13:45:01|1|23|Listen: How a truly free society honors and memorializes the individual post 9/11 https://buff.ly/2xOo2Yf  |Listen: How a truly free society honors and memorializes the individual post 9/11   |false|910198056246800384|/theblaze/status/910198056246800384|Listen: How a truly free society honors and memorializes the individual post 9/11 https://buff.ly/2xOo2Yf  ||||
theblaze|2017-09-11 12:45:07|50|131|Remembering that tragic day 16 years ago__NEWLINE__#NeverForget pic.twitter.com/ByTgeju3Wr|Remembering that tragic day 16 years ago__NEWLINE__#NeverForget |false|907283877890285570|/theblaze/status/907283877890285570|Remembering that tragic day 16 years ago__NEWLINE__#NeverForget pic.twitter.com/ByTgeju3Wr||||
theblaze|2017-12-08 16:01:11|17|25|Grandma of 5-year-old TX church shooting survivor shares grandson’s Christmas wish—and you can help https://buff.ly/2BjXBLH  |Grandma of 5-year-old TX church shooting survivor shares grandson’s Christmas wish—and you can help   |false|939238452331204609|/theblaze/status/939238452331204609|Grandma of 5-year-old TX church shooting survivor shares grandson’s Christmas wish—and you can help https://buff.ly/2BjXBLH  ||||
theblaze|2017-11-01 16:01:04|28|102|Trump calls for an end to Diversity Visa Program he says allowed NY terror attack suspect into US https://buff.ly/2h3FaSZ  |Trump calls for an end to Diversity Visa Program he says allowed NY terror attack suspect into US   |false|925814968980828160|/theblaze/status/925814968980828160|Trump calls for an end to Diversity Visa Program he says allowed NY terror attack suspect into US https://buff.ly/2h3FaSZ  ||||
theblaze|2017-11-14 11:15:00|11|32|Republican lawmaker supports Moore because American challenges are more important than allegations https://buff.ly/2zXO6Ba  |Republican lawmaker supports Moore because American challenges are more important than allegations   |false|930469120721727488|/theblaze/status/930469120721727488|Republican lawmaker supports Moore because American challenges are more important than allegations https://buff.ly/2zXO6Ba  ||||
theblaze|2017-12-31 15:39:49|15|34|Houston police conclude man arrested with multiple guns in downtown hotel had no ‘unlawful intent’  https://buff.ly/2lsYojJ   pic.twitter.com/ktE6aabe8M|Houston police conclude man arrested with multiple guns in downtown hotel had no ‘unlawful intent’     |false|947567993130770433|/theblaze/status/947567993130770433|Houston police conclude man arrested with multiple guns in downtown hotel had no ‘unlawful intent’  https://buff.ly/2lsYojJ   pic.twitter.com/ktE6aabe8M||||
theblaze|2017-09-13 08:10:52|64|176|Trump ‘creates fear in children’ and is bringing them to tears, nat’l teachers union head declares https://buff.ly/2x1wzp7  |Trump ‘creates fear in children’ and is bringing them to tears, nat’l teachers union head declares   |false|907939634512056320|/theblaze/status/907939634512056320|Trump ‘creates fear in children’ and is bringing them to tears, nat’l teachers union head declares https://buff.ly/2x1wzp7  ||||
theblaze|2018-03-13 11:45:01|7|14|The fired aide was John McEntee, one of the longest-serving and closest aides to Trump, dating back to the early days of the campaign. http://bit.ly/2DpR9PJ  |The fired aide was John McEntee, one of the longest-serving and closest aides to Trump, dating back to the early days of the campaign.   |false|973585731703668738|/theblaze/status/973585731703668738|The fired aide was John McEntee, one of the longest-serving and closest aides to Trump, dating back to the early days of the campaign. http://bit.ly/2DpR9PJ  ||||
theblaze|2018-01-31 21:05:53|73|122|Email reveals how much anti-Trump FBI agent was involved in Hillary investigation http://bit.ly/2nxB1Wv  |Email reveals how much anti-Trump FBI agent was involved in Hillary investigation   |false|958884074218811393|/theblaze/status/958884074218811393|Email reveals how much anti-Trump FBI agent was involved in Hillary investigation http://bit.ly/2nxB1Wv  ||||
theblaze|2018-03-09 18:15:00|166|464|Not surprising. http://bit.ly/2DcNXHj  |Not surprising.   |false|972249422355681280|/theblaze/status/972249422355681280|Not surprising. http://bit.ly/2DcNXHj  ||||
theblaze|2018-02-10 14:42:56|98|260|New poll reveals if Americans think Obama admin. spied on Trump campaign — Obama will hate the results http://bit.ly/2EUa6g5  |New poll reveals if Americans think Obama admin. spied on Trump campaign — Obama will hate the results   |false|962411580943163393|/theblaze/status/962411580943163393|New poll reveals if Americans think Obama admin. spied on Trump campaign — Obama will hate the results http://bit.ly/2EUa6g5  ||||
theblaze|2017-12-08 19:10:33|87|232|Roy Moore accuser admits major falsehood that will affect the election https://buff.ly/2nHeJFm  |Roy Moore accuser admits major falsehood that will affect the election   |false|939286108386537474|/theblaze/status/939286108386537474|Roy Moore accuser admits major falsehood that will affect the election https://buff.ly/2nHeJFm  ||||
theblaze|2017-10-25 11:00:19|55|60|College event asks if the phrase ‘You need Jesus’ qualifies as ‘hate speech’ or ‘free speech’ https://buff.ly/2yNkmoX  |College event asks if the phrase ‘You need Jesus’ qualifies as ‘hate speech’ or ‘free speech’   |false|923202567986958337|/theblaze/status/923202567986958337|College event asks if the phrase ‘You need Jesus’ qualifies as ‘hate speech’ or ‘free speech’ https://buff.ly/2yNkmoX  ||||
theblaze|2018-02-26 14:15:08|112|315|The four-page letter accuses Israel’s department of ignoring the red flags and not taking significant action to prevent the shooting. http://bit.ly/2F6SqQD  |The four-page letter accuses Israel’s department of ignoring the red flags and not taking significant action to prevent the shooting.   |false|968202789863256064|/theblaze/status/968202789863256064|The four-page letter accuses Israel’s department of ignoring the red flags and not taking significant action to prevent the shooting. http://bit.ly/2F6SqQD  ||||
theblaze|2017-12-21 12:30:24|8|12|Watch: Melting glaciers reveal murder and deadly secrets https://buff.ly/2BtYqlu  |Watch: Melting glaciers reveal murder and deadly secrets   |false|943896449326223363|/theblaze/status/943896449326223363|Watch: Melting glaciers reveal murder and deadly secrets https://buff.ly/2BtYqlu  ||||
