username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|Translation|address|coord_lat|coord_lon|coord_err
CentroparaPR|2017-11-17 12:58:42|0|1|CONTINUAMOS TRABAJANDO POR PUERTO RICO-Seguimos apoyando a quienes mas lo necesitan, nuestros hermanos boricuas...  http://fb.me/7lqlTS5QQ  |CONTINUAMOS TRABAJANDO POR PUERTO RICO-Seguimos apoyando a quienes mas lo necesitan, nuestros hermanos boricuas...    |false|931582381194178560|/CentroparaPR/status/931582381194178560|WE CONTINUE WORKING FOR PUERTO RICO-We continue to support those who need it most, our Puerto Rican brothers ... http://fb.me/7lqlTS5QQ||||
CentroparaPR|2017-12-02 09:36:29|0|0|::BAZAR:: Llegó la época navideña y la alegría se refleja en lo que hacemos. Marilyn Cabezudo, propietaria de...  http://fb.me/6Y0GcdgyF  |::BAZAR:: Llegó la época navideña y la alegría se refleja en lo que hacemos. Marilyn Cabezudo, propietaria de...    |false|936967310287310848|/CentroparaPR/status/936967310287310848|:: BAZAR :: The Christmas season has arrived and joy is reflected in what we do. Marilyn Cabezudo, owner of ... http://fb.me/6Y0GcdgyF||||
CentroparaPR|2018-01-16 08:26:49|1|1|# apoyoaldeaquí pic.twitter.com/bbcQJu6P16|# apoyoaldeaquí |false|953257233923657731|/CentroparaPR/status/953257233923657731|#partsupport pic.twitter.com/bbcQJu6P16||||
CentroparaPR|2017-10-24 13:20:39|0|1|PUERTO RICO NOS NECESITA -  http://mailchi.mp/672c45d969b1/p uerto-rico-nos-necesita-415823@CentroparaPR   …  apoyando a las comunidades más necesitadas - DONA HOY (787)765-4500|PUERTO RICO NOS NECESITA -   uerto-rico-nos-necesita-415823@CentroparaPR   …  apoyando a las comunidades más necesitadas - DONA HOY (787)765-4500|false|922875498308481024|/CentroparaPR/status/922875498308481024|PUERTO RICO NEEDS US - http://mailchi.mp/672c45d969b1/p uerto-rico-nos-necesita-415823 @ CentroparaPR ... supporting the most needy communities - DONA TODAY (787)765-4500||||
CentroparaPR|2018-03-28 15:48:13|0|0|¡Regresa el Programa más esperado!__NEWLINE__#nopierdaslaoportunidad __NEWLINE__#aceptaelreto __NEWLINE__#transformatuvida __NEWLINE__#verano2018 __NEWLINE__#cppr   https://www. facebook.com/CentroparaPuer toRico/videos/10156009278349961/   …|¡Regresa el Programa más esperado!__NEWLINE__#nopierdaslaoportunidad __NEWLINE__#aceptaelreto __NEWLINE__#transformatuvida __NEWLINE__#verano2018 __NEWLINE__#cppr    facebook.com/CentroparaPuer toRico/videos/10156009278349961/   …|false|979082751222665216|/CentroparaPR/status/979082751222665216|Return the most anticipated Program! __ NEWLINE __ # do not miss the opportunity __NEWLINE __ # accept the challenge __NEWLINE __ # transformatuvida __NEWLINE __ # summer2018 __NEWLINE __ # cppr https: // www. facebook.com/CentroparaPuer toRico / videos / 10156009278349961 / ...||||
CentroparaPR|2017-09-15 13:31:07|1|0|Continuamos apoyando desde el Centro de Acopio en el Boys and Girls Club en Loíza.__NEWLINE____NEWLINE__Nuestro personal, voluntarios...  http://fb.me/6x2GZCprs  |Continuamos apoyando desde el Centro de Acopio en el Boys and Girls Club en Loíza.__NEWLINE____NEWLINE__Nuestro personal, voluntarios...    |false|908745005061287936|/CentroparaPR/status/908745005061287936|We continue to support from the Collection Center at the Boys and Girls Club in Loíza .__ NEWLINE____NEWLINE__Our staff, volunteers ... http://fb.me/6x2GZCprs||||
CentroparaPR|2017-10-20 13:37:41|0|0|PUERTO RICO NOS NECESITA @CentroparaPR  apoyando a las comunidades más necesitadas.  DONA HOY a través de...  http://fb.me/1xYDmIObz  |PUERTO RICO NOS NECESITA @CentroparaPR  apoyando a las comunidades más necesitadas.  DONA HOY a través de...    |false|921430232569020416|/CentroparaPR/status/921430232569020416|PUERTO RICO NEEDS us @CentroparaPR supporting the most needy communities. DONATE TODAY through ... http://fb.me/1xYDmIObz||||
CentroparaPR|2018-03-31 13:03:08|0|0|¡Regresa el Programa más esperado!__NEWLINE__#nopierdaslaoportunidad __NEWLINE__#aceptaelreto __NEWLINE__#transformatuvida __NEWLINE__#verano2018 __NEWLINE__#cppr https://www. facebook.com/CentroparaPuer toRico/videos/10156009352534961/   …|¡Regresa el Programa más esperado!__NEWLINE__#nopierdaslaoportunidad __NEWLINE__#aceptaelreto __NEWLINE__#transformatuvida __NEWLINE__#verano2018 __NEWLINE__#cppr  facebook.com/CentroparaPuer toRico/videos/10156009352534961/   …|false|980128372390014977|/CentroparaPR/status/980128372390014977|Return the most anticipated Program! __ NEWLINE __ # do not miss the opportunity __NEWLINE __ # accept the challenge __NEWLINE __ # transformatuvida __NEWLINE __ # summer2018 __NEWLINE __ # cppr https: // www. facebook.com/CentroparaPuer toRico / videos / 10156009352534961 / ...||||
CentroparaPR|2018-02-06 15:19:34|0|0|https://twitter.com/SylviaGomezT2/ status/960937695148216320   …| status/960937695148216320   …|false|960971248707756032|/CentroparaPR/status/960971248707756032|https://twitter.com/SylviaGomezT2/ status/960937695148216320   …||||
CentroparaPR|2017-09-26 17:05:59|0|0|::AVISO al PERSONAL:: La exgobernadora Sila M. Calderón y el Presidente de la organización, Lcdo. Dennis R. Román...  http://fb.me/8PlLs4okH  |::AVISO al PERSONAL:: La exgobernadora Sila M. Calderón y el Presidente de la organización, Lcdo. Dennis R. Román...    |false|912785343040147456|/CentroparaPR/status/912785343040147456|:: NOTICE TO STAFF :: Ex-Governor Sila M. Calderón and the President of the organization, Lcdo. Dennis R. Román ... http://fb.me/8PlLs4okH||||
