username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|Translation|address|latitude|longitude|latlongerr
paralanaturalez|2017-12-03 11:00:01|5|16|"También, necesitamos entrenar más personas en los oficios de la construcción, y particularmente en la reconstrucción de estructuras históricas. [Para la Naturaleza] ya estaba empezando trabajar en esto"__PIPE__ Construyendo resiliencia y comunidad en Puerto Rico  http://ow.ly/6hb630gYIvg   pic.twitter.com/KIBGxlZLUK|"También, necesitamos entrenar más personas en los oficios de la construcción, y particularmente en la reconstrucción de estructuras históricas. [Para la Naturaleza] ya estaba empezando trabajar en esto"__PIPE__ Construyendo resiliencia y comunidad en Puerto Rico     |false|937350721250447361|/paralanaturalez/status/937350721250447361|"Also, we need to train more people in the construction trades, and particularly in the reconstruction of historical structures. [For Nature] I was already starting to work on this" __ PIPE__ Building resilience and community in Puerto Rico http://ow.ly / 6hb630gYIvg pic.twitter.com/KIBGxlZLUK||||
paralanaturalez|2018-02-21 13:47:10|7|4|El sapo concho es una especie endémica de Puerto Rico cuyas poblaciones se están recuperando poco a poco gracias a la movilización ciudadana. Únete a los monitoreos de sapo concho en la Reserva Natural Hacienda La Esperanza, en Manatí.  http://ow.ly/JGf330iwRYS    __PIPE__ Info: 787.722.5882 pic.twitter.com/zCOfrHIwVB|El sapo concho es una especie endémica de Puerto Rico cuyas poblaciones se están recuperando poco a poco gracias a la movilización ciudadana. Únete a los monitoreos de sapo concho en la Reserva Natural Hacienda La Esperanza, en Manatí.      __PIPE__ Info: 787.722.5882 |false|966383814615453696|/paralanaturalez/status/966383814615453696|The toad concho is an endemic species of Puerto Rico whose populations are recovering little by little thanks to citizen mobilization. Join the monitoring of toad concho in the Hacienda La Esperanza Nature Reserve, in Manatí. http://ow.ly/JGf330iwRYS __PIPE__ Info: 787.722.5882 pic.twitter.com/zCOfrHIwVB||||
paralanaturalez|2018-01-09 15:25:38|2|7|Hagamos del 2018 un año de compromiso con nuestras raíces y naturaleza. pic.twitter.com/QIrdaq6Gly|Hagamos del 2018 un año de compromiso con nuestras raíces y naturaleza. |false|950825915872874496|/paralanaturalez/status/950825915872874496|'Let''s make 2018 a year of commitment to our roots and nature. pic.twitter.com/QIrdaq6Gly'||||
paralanaturalez|2018-03-06 06:41:07|5|9|¡Entérate como puedes unirte a este esfuerzo! __PIPE__ Establecen alianza organizacional para monitorear las poblaciones del mosquito Aedes aegypti.  http://ow.ly/LfjZ30iMq1Z   pic.twitter.com/SWZwtvHWmL|¡Entérate como puedes unirte a este esfuerzo! __PIPE__ Establecen alianza organizacional para monitorear las poblaciones del mosquito Aedes aegypti.     |false|970987638160347138|/paralanaturalez/status/970987638160347138|Find out how you can join this effort! __PIPE__ Establish an organizational alliance to monitor Aedes aegypti mosquito populations. http://ow.ly/LfjZ30iMq1Z pic.twitter.com/SWZwtvHWmL||||
paralanaturalez|2018-01-10 14:44:01|2|6|¡Te esperamos en nuestros centros de visitantes! Entra a la noticia para que te enteres cómo puedes reservar para un recorrido o unirte como voluntario. __PIPE__ Para la Naturaleza reinicia las actividades en sus centros de visitantes.  http://ow.ly/Hd8u30hHq7H   pic.twitter.com/ho42H0uicZ|¡Te esperamos en nuestros centros de visitantes! Entra a la noticia para que te enteres cómo puedes reservar para un recorrido o unirte como voluntario. __PIPE__ Para la Naturaleza reinicia las actividades en sus centros de visitantes.     |false|951177829085077504|/paralanaturalez/status/951177829085077504|We wait for you in our visitor centers! Enter the news so you can find out how you can book for a tour or join as a volunteer. __PIPE__ For Nature, restart activities in its visitor centers. http://ow.ly/Hd8u30hHq7H pic.twitter.com/ho42H0uicZ||||
paralanaturalez|2017-11-26 21:46:29|6|14|Únete a la reconstrucción de Puerto Rico. Muestra tu amor por nuestras comunidades este #GivingTuesday . Dona al #FundoComunitarioPLN .  http://ow.ly/KUD030gPg5l   pic.twitter.com/kp1MQFIRll|Únete a la reconstrucción de Puerto Rico. Muestra tu amor por nuestras comunidades este #GivingTuesday . Dona al #FundoComunitarioPLN .     |false|934976694351523840|/paralanaturalez/status/934976694351523840|Join the reconstruction of Puerto Rico. Show your love for our communities this #GivingTuesday. Donate to #CommunityForumPLN. http://ow.ly/KUD030gPg5l pic.twitter.com/kp1MQFIRll||||
paralanaturalez|2017-12-28 08:01:15|3|7|Voices for Puerto Rico entrega donación de $30 mil al Fondo Comunitario Para la Naturaleza.  http://ow.ly/zhMi30hiNYs   pic.twitter.com/pawwSSNMZo|Voices for Puerto Rico entrega donación de $30 mil al Fondo Comunitario Para la Naturaleza.     |false|946365428649156608|/paralanaturalez/status/946365428649156608|Voices for Puerto Rico donates $ 30,000 to the Community Fund for Nature. http://ow.ly/zhMi30hiNYs pic.twitter.com/pawwSSNMZo||||
paralanaturalez|2018-01-29 08:01:19|4|9|El Antiguo Acueducto del Río Piedras es el único en su clase, del periodo español, que sobrevive en Estados Unidos y sus territorios. Disfruta y aprende en un recorrido interpretativo por el Acueducto y el Río Piedras. Reserva:  http://ow.ly/OpUW30hYxvU    __PIPE__ O llama: 787.722.5882. pic.twitter.com/qzAV8lYRMg|El Antiguo Acueducto del Río Piedras es el único en su clase, del periodo español, que sobrevive en Estados Unidos y sus territorios. Disfruta y aprende en un recorrido interpretativo por el Acueducto y el Río Piedras. Reserva:      __PIPE__ O llama: 787.722.5882. |false|957961857935052800|/paralanaturalez/status/957961857935052800|The Ancient Aqueduct of the Piedras River is the only one of its kind, of the Spanish period, that survives in the United States and its territories. Enjoy and learn on an interpretive tour of the Acueducto and Río Piedras. Reservation: http://ow.ly/OpUW30hYxvU __PIPE__ Or call: 787.722.5882. pic.twitter.com/qzAV8lYRMg||||
paralanaturalez|2018-02-22 16:36:17|2|8|¡Bomba puertorriqueña junto a la comunidad en la Reserva Natural #HaciendaLaEaperanza ! pic.twitter.com/1IlVeyXVvd|¡Bomba puertorriqueña junto a la comunidad en la Reserva Natural #HaciendaLaEaperanza ! |false|966788759709716480|/paralanaturalez/status/966788759709716480|Puerto Rican pump together with the community in the Natural Reserve #HaciendaLaEaperanza! pic.twitter.com/1IlVeyXVvd||||
paralanaturalez|2017-10-24 11:49:29|4|8|Llevándole agua, alimentos y kits de higiene a nuestros vecinos de Marrueño y Corral Viejo, Ponce. ¡Únete y dona  http://www. pln.org   ! pic.twitter.com/YTFLzIgIIZ|Llevándole agua, alimentos y kits de higiene a nuestros vecinos de Marrueño y Corral Viejo, Ponce. ¡Únete y dona   pln.org   ! |false|922852555071291393|/paralanaturalez/status/922852555071291393|Taking water, food and hygiene kits to our neighbors of Marrueño and Corral Viejo, Ponce. Join and donate http: // www. pln.org! pic.twitter.com/YTFLzIgIIZ||||
