username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,FixedSpaceIssues
HeyBrittany33,2018-02-06 09:08,0,0,Did anyone else wake up to this text from @FOX29WFLX ? My sister sent me this. #tsunamiwarning #PalmBeachCounty pic.twitter.com/OLuINvGeCZ,,@FOX29WFLX,#tsunamiwarning #PalmBeachCounty,960877835224322050,https://twitter.com/HeyBrittany33/status/960877835224322050,Did anyone else wake up to this text from @FOX29WFLX ? My sister sent me this. #tsunamiwarning #PalmBeachCounty pic.twitter.com/OLuINvGeCZ
MegHayes,2018-02-06 09:03,0,0,There is NO #tsunamiwarning for our area. The @FOX29WFLX text alert was sent in error from Accuweather. We apologize for the false alarm. pic.twitter.com/eprelVEXCG,,@FOX29WFLX,#tsunamiwarning,960876550949400576,https://twitter.com/MegHayes/status/960876550949400576,There is NO #tsunamiwarning for our area. The @FOX29WFLX text alert was sent in error from Accuweather. We apologize for the false alarm. pic.twitter.com/eprelVEXCG
AndrewRuizWPTV,2018-02-06 09:02,0,0,"#breakingnews Husband told police fight started over HOA complaints, Lisa shot him 5 times (in head, arm, leg and back) @wptv @FOX29WFLX https:// twitter.com/andrewruizwptv /status/960871259406991360 …",,@wptv @FOX29WFLX,#breakingnews,960876471819685889,https://twitter.com/AndrewRuizWPTV/status/960876471819685889,"#breakingnews Husband told police fight started over HOA complaints, Lisa shot him 5 times (in head, arm, leg and back) @wptv @FOX29WFLX https://twitter.com/andrewruizwptv /status/960871259406991360 …"
HDavisWPTV,2018-02-06 08:53,1,0,If you received this text alert from @FOX29WFLX this is False. There is not a #tsunami warning for Palm Beach Co. pic.twitter.com/N9u7EVfsUP,,@FOX29WFLX,#tsunami,960874009649917952,https://twitter.com/HDavisWPTV/status/960874009649917952,If you received this text alert from @FOX29WFLX this is False. There is not a #tsunami warning for Palm Beach Co. pic.twitter.com/N9u7EVfsUP
AndrewRuizWPTV,2018-02-06 08:42,0,0,"Neighbors confirm this is the couple who lives at the scene of Monday’s Boynton Beach shooting, Lisa Barreca is charged with attempted first degree murder with a firearm. @wptv @FOX29WFLX pic.twitter.com/rrkIHnb1AM",,@wptv @FOX29WFLX,,960871259406991360,https://twitter.com/AndrewRuizWPTV/status/960871259406991360,"Neighbors confirm this is the couple who lives at the scene of Monday’s Boynton Beach shooting, Lisa Barreca is charged with attempted first degree murder with a firearm. @wptv @FOX29WFLX pic.twitter.com/rrkIHnb1AM"
swoopster33,2018-02-06 08:41,0,0,@FOX29WFLX,,@FOX29WFLX,,960871124425994240,https://twitter.com/swoopster33/status/960871124425994240,@FOX29WFLX
kjnmom324,2018-02-06 08:34,0,0,@FOX29WFLX is this a mistake pic.twitter.com/NbDHOo3r9y,,@FOX29WFLX,,960869381201940481,https://twitter.com/kjnmom324/status/960869381201940481,@FOX29WFLX is this a mistake pic.twitter.com/NbDHOo3r9y
AndrewRuizWPTV,2018-02-06 06:58,0,0,"Woman living at this Boynton Beach home charged with premeditated attempted first degree murder. Husband is alive and at the hospital, specific condition unknown at this time, per @BBPD . @WPTV @FOX29WFLX pic.twitter.com/sFQgRYhz4F",,@BBPD @WPTV @FOX29WFLX,,960845200678621184,https://twitter.com/AndrewRuizWPTV/status/960845200678621184,"Woman living at this Boynton Beach home charged with premeditated attempted first degree murder. Husband is alive and at the hospital, specific condition unknown at this time, per @BBPD . @WPTV @FOX29WFLX pic.twitter.com/sFQgRYhz4F"
StephanieWPTV,2018-02-06 05:21,1,1,Letter from @Supt_Avossa announcing he will resign as leader of @pbcsd effective in June. Wraps up 3 years in position. More ahead on @WPTV @FOX29WFLX #amcrew pic.twitter.com/zCR1dvas2w,,@Supt_Avossa @pbcsd @WPTV @FOX29WFLX,#amcrew,960820816152801281,https://twitter.com/StephanieWPTV/status/960820816152801281,Letter from @Supt_Avossa announcing he will resign as leader of @pbcsd effective in June. Wraps up 3 years in position. More ahead on @WPTV @FOX29WFLX #amcrew pic.twitter.com/zCR1dvas2w
RI2NY2FL,2018-02-05 17:02,0,1,I used to like you!,,,,960634848481292288,https://twitter.com/RI2NY2FL/status/960634848481292288,I used to like you!
