username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,FixedSpaceIssues
WCJB20,2018-02-03 19:17,0,0,Here’s your forecast for tomorrow at kickoff. It’s rainy here and just plain cold in Minneapolis (luckily the stadium is indoors!) #SuperBowl pic.twitter.com/kr8XqOo87u,,,#SuperBowl,959943934704308225,https://twitter.com/WCJB20/status/959943934704308225,Here’s your forecast for tomorrow at kickoff. It’s rainy here and just plain cold in Minneapolis (luckily the stadium is indoors!) #SuperBowl pic.twitter.com/kr8XqOo87u
elvondrake,2018-02-03 18:31,1,2,@cw18tv @efscTitans @WESH @NBC2 @WCJB20 @AllthingsFOX30 @CBSMiami @ABC7SWFL @WOGXFOX51 @WESH @WPBF25News @WFSUmedia @wbqp4629 @wtsp10news @WCTV @BN9 @WFGCTV @ALSHARPTON_REV @JoyAnnReid @rosieperezbklyn @MarcAnthony @ananavarro @JohnLeguizamo @WapaTV @TelemundoNews @MiamiHeraldOp pic.twitter.com/7VxwCBDv2y,,@cw18tv @efscTitans @WESH @NBC2 @WCJB20 @AllthingsFOX30 @CBSMiami @ABC7SWFL @WOGXFOX51 @WESH @WPBF25News @WFSUmedia @wbqp4629 @wtsp10news @WCTV @BN9 @WFGCTV @ALSHARPTON_REV @JoyAnnReid @rosieperezbklyn @MarcAnthony @ananavarro @JohnLeguizamo @WapaTV @TelemundoNews @MiamiHeraldOp,,959932336640069633,https://twitter.com/elvondrake/status/959932336640069633,@cw18tv @efscTitans @WESH @NBC2 @WCJB20 @AllthingsFOX30 @CBSMiami @ABC7SWFL @WOGXFOX51 @WESH @WPBF25News @WFSUmedia @wbqp4629 @wtsp10news @WCTV @BN9 @WFGCTV @ALSHARPTON_REV @JoyAnnReid @rosieperezbklyn @MarcAnthony @ananavarro @JohnLeguizamo @WapaTV @TelemundoNews @MiamiHeraldOp pic.twitter.com/7VxwCBDv2y
WCJB20,2018-02-03 15:30,1,0,pic.twitter.com/kNTxVy9YJd,,,,959886762033205248,https://twitter.com/WCJB20/status/959886762033205248,pic.twitter.com/kNTxVy9YJd
WCJB20,2018-02-03 15:28,1,1,This is the second county to request payment from the university for costs related to Spencer's Oct. 19 visit to campus. http:// bit.ly/2FGaLAS,,,,959886264874012672,https://twitter.com/WCJB20/status/959886264874012672,This is the second county to request payment from the university for costs related to Spencer's Oct. 19 visit to campus. https://bit.ly/2FGaLAS
AAFGainesville,2018-02-03 07:04,0,0,The latest The AdFed of Gainesville Daily! https:// paper.li/AAFGainesville ?edition_id=61674250-08da-11e8-b046-0cc47a0d1609 … Thanks to @CoachPedroR @WCJB20 #newsyoucanuse #choicecontent,,@CoachPedroR @WCJB20,#newsyoucanuse #choicecontent,959759488709521409,https://twitter.com/AAFGainesville/status/959759488709521409,The latest The AdFed of Gainesville Daily! https://paper.li/AAFGainesville ?edition_id=61674250-08da-11e8-b046-0cc47a0d1609 … Thanks to @CoachPedroR @WCJB20 #newsyoucanuse #choicecontent
WCJB20,2018-02-03 00:21,1,0,"Two arrests made, one wanted in the January 15th Alachua shooting. But police say they expect more suspects to be identified and charged with attempted murder http://www. wcjb.com/content/news/A rrests-Made-in-Connection-With-Alachua-Shootings-472453693.html …",,,,959658118513942528,https://twitter.com/WCJB20/status/959658118513942528,"Two arrests made, one wanted in the January 15th Alachua shooting. But police say they expect more suspects to be identified and charged with attempted murder http://www. wcjb.com/content/news/A rrests-Made-in-Connection-With-Alachua-Shootings-472453693.html …"
WCJB20,2018-02-03 00:19,2,1,It's almost election season in Gainesville. The candidates for two City of Gainesville seats have been announced http://www. wcjb.com/content/news/G ainesvilles-general-election-qualifying-period-closes-472454283.html …,,,,959657510218227717,https://twitter.com/WCJB20/status/959657510218227717,It's almost election season in Gainesville. The candidates for two City of Gainesville seats have been announced http://www. wcjb.com/content/news/G ainesvilles-general-election-qualifying-period-closes-472454283.html …
WCJB20,2018-02-03 00:18,1,0,Gainesville firefighters had to stop a fire at Gainesville Regional Utilities' new biomass plant on Friday morning http://www. wcjb.com/content/news/F irefighters-respond-to-fire-at-GRU-biomass-plant-472453723.html …,,,,959657301165727744,https://twitter.com/WCJB20/status/959657301165727744,Gainesville firefighters had to stop a fire at Gainesville Regional Utilities' new biomass plant on Friday morning http://www. wcjb.com/content/news/F irefighters-respond-to-fire-at-GRU-biomass-plant-472453723.html …
WCJB20,2018-02-03 00:17,1,0,Three males on the loose for attempted rape. DETAILS: http://www. wcjb.com/content/news/P olice-Rape-attempt-stopped-due-to-passerby-472452843.html …,,,,959657118033940480,https://twitter.com/WCJB20/status/959657118033940480,Three males on the loose for attempted rape. DETAILS: http://www. wcjb.com/content/news/P olice-Rape-attempt-stopped-due-to-passerby-472452843.html …
WCJB20,2018-02-03 00:13,0,0,A Williston non-profit organization has received an award for the work it does with veterans http://www. wcjb.com/content/news/W illiston-non-profit-organization-receives-award-472455443.html …,,,,959656181554917376,https://twitter.com/WCJB20/status/959656181554917376,A Williston non-profit organization has received an award for the work it does with veterans http://www. wcjb.com/content/news/W illiston-non-profit-organization-receives-award-472455443.html …
IanPTV20,2018-02-02 23:09,2,3,Coming up on @WCJB20 we have highlights from @rowdyehsrams @SantaFeSoccerFL @FHS_WildcatLife district finals in soccer along with @352BHSbobcat and @GHSHurricanes basketball,,@WCJB20 @rowdyehsrams @SantaFeSoccerFL @FHS_WildcatLife @352BHSbobcat @GHSHurricanes,,959640062978920448,https://twitter.com/IanPTV20/status/959640062978920448,Coming up on @WCJB20 we have highlights from @rowdyehsrams @SantaFeSoccerFL @FHS_WildcatLife district finals in soccer along with @352BHSbobcat and @GHSHurricanes basketball
IanPTV20,2018-02-02 22:23,0,1,We have the highlights coming up tonight on @WCJB20 https:// twitter.com/fhs_wildcatlif e/status/959614008067284992 …,,@WCJB20,,959628363064381440,https://twitter.com/IanPTV20/status/959628363064381440,We have the highlights coming up tonight on @WCJB20 https://twitter.com/fhs_wildcatlif e/status/959614008067284992 …
IanPTV20,2018-02-02 21:38,1,0,Highlights tonight on @WCJB20 https:// twitter.com/scottlapeer/st atus/959616713162723328 …,,@WCJB20,,959617173734948865,https://twitter.com/IanPTV20/status/959617173734948865,Highlights tonight on @WCJB20 https://twitter.com/scottlapeer/st atus/959616713162723328 …
IanPTV20,2018-02-02 21:36,1,3,"Final: @SantaFeSoccerFL wins district defeating Crescent City, 3-1. All 3 goals in 2nd half. Highlights tonight on @WCJB20",,@SantaFeSoccerFL @WCJB20,,959616476536860672,https://twitter.com/IanPTV20/status/959616476536860672,"Final: @SantaFeSoccerFL wins district defeating Crescent City, 3-1. All 3 goals in 2nd half. Highlights tonight on @WCJB20"
WCJB20,2018-02-02 21:29,0,0,The chief executive director of The Humane Society of the United States resigned following sexual harassment allegations. http://www. wcjb.com/content/news/H umane-Society-head-steps-down-after-harassment-allegations-472438533.html …,,,,959614755341291520,https://twitter.com/WCJB20/status/959614755341291520,The chief executive director of The Humane Society of the United States resigned following sexual harassment allegations. http://www. wcjb.com/content/news/H umane-Society-head-steps-down-after-harassment-allegations-472438533.html …
WCJB20,2018-02-02 21:21,2,0,Authorities say a Florida couple lied to their 13-year-old son about having brain cancer so they could use his fictitious illness to raise money. http://www. wcjb.com/content/news/F lorida-parents-charged-with-faking-sons-brain-cancer-for-money-472437773.html …,,,,959612787440922624,https://twitter.com/WCJB20/status/959612787440922624,Authorities say a Florida couple lied to their 13-year-old son about having brain cancer so they could use his fictitious illness to raise money. http://www. wcjb.com/content/news/F lorida-parents-charged-with-faking-sons-brain-cancer-for-money-472437773.html …
WCJB20,2018-02-02 21:16,0,0,"I was convinced it was real."" Hawaii employee who sent false missile alert speaks to ABC News: ""I didn't hear the word 'exercise'."" http://www. wcjb.com/content/news/H awaii-employee-who-sent-false-missile-alert-I-was-100-percent-sure-it-was-real-472437193.html …""",,,,959611631746605057,https://twitter.com/WCJB20/status/959611631746605057,"I was convinced it was real."" Hawaii employee who sent false missile alert speaks to ABC News: ""I didn't hear the word 'exercise'."" http://www. wcjb.com/content/news/H awaii-employee-who-sent-false-missile-alert-I-was-100-percent-sure-it-was-real-472437193.html …"""
WCJB20,2018-02-02 21:13,0,1,Local law enforcement agencies got together Friday to celebrate school crossing guards. http://www. wcjb.com/content/news/S chool-crossing-guard-appreciation-day-472436903.html …,,,,959610644512301057,https://twitter.com/WCJB20/status/959610644512301057,Local law enforcement agencies got together Friday to celebrate school crossing guards. http://www. wcjb.com/content/news/S chool-crossing-guard-appreciation-day-472436903.html …
JulieLPoole,2018-02-02 20:02,0,0,He sold armor piercing ammo. Not complicit.,,,,959592781911076865,https://twitter.com/JulieLPoole/status/959592781911076865,He sold armor piercing ammo. Not complicit.
WCJB20,2018-02-02 19:18,2,3,Man charged with conspiracy in connection to October's massacre in Las Vegas for allegedly selling armor-piercing ammunition to shooter Stephen Paddock. http://www. wcjb.com/content/news/M an-charged-with-conspiracy-for-allegedly-selling-Vegas-shooter-armor-piercing-ammo-472424903.html …,,,,959581765940793344,https://twitter.com/WCJB20/status/959581765940793344,Man charged with conspiracy in connection to October's massacre in Las Vegas for allegedly selling armor-piercing ammunition to shooter Stephen Paddock. http://www. wcjb.com/content/news/M an-charged-with-conspiracy-for-allegedly-selling-Vegas-shooter-armor-piercing-ammo-472424903.html …
WCJB20,2018-02-02 18:48,2,5,VIRAL: Katherine Lockler is a Gainesville native working as a nurse in Pensacola. She posted a video reminding people to stop spreading the flu. It has over 5 million views! Watch the original video and then our interview with her: https://www. facebook.com/Lockler2/video s/10159927839570022/ … http://www. wcjb.com/content/news/P ensacola-Nurse-Makes-Viral-Facebook-Video-about-Preventing-Flu-472393393.html …,,,,959574287161135105,https://twitter.com/WCJB20/status/959574287161135105,VIRAL: Katherine Lockler is a Gainesville native working as a nurse in Pensacola. She posted a video reminding people to stop spreading the flu. It has over 5 million views! Watch the original video and then our interview with her: https://www. facebook.com/Lockler2/video s/10159927839570022/ … http://www. wcjb.com/content/news/P ensacola-Nurse-Makes-Viral-Facebook-Video-about-Preventing-Flu-472393393.html …
WCJB20,2018-02-02 18:46,1,2,Alachua police say they have two made arrests related to a shooting back in January that left five people hurt. One suspect is still wanted. http://www. wcjb.com/content/news/P olice-Arrests-made-in-Alachua-shooting-that-injured-5-472369933.html …,,,,959573789079162886,https://twitter.com/WCJB20/status/959573789079162886,Alachua police say they have two made arrests related to a shooting back in January that left five people hurt. One suspect is still wanted. http://www. wcjb.com/content/news/P olice-Arrests-made-in-Alachua-shooting-that-injured-5-472369933.html …
WCJB20,2018-02-02 18:00,2,2,"Former Temptations member Dennis Edwards, who contributed lead vocals to such hits as Papa Was a Rollin' Stone"," I Can't Get Next to You"" and ""Ball of Confusion"," died Thursday in a Chicago hospital after a long illness, the singer's manager confirmed. http://www. wcjb.com/content/news/F ormer-Temptations-singer-Dennis-Edwards-dead-at-74-472400623.html …",,,,959562086899703808,https://twitter.com/WCJB20/status/959562086899703808,"Former Temptations member Dennis Edwards, who contributed lead vocals to such hits as Papa Was a Rollin' Stone"
WCJB20,2018-02-02 17:05,1,0,Guess Inc. responds to sexual harassment allegations against co-founder Paul Marciano. http://www. wcjb.com/content/news/G uess-Inc-responds-to-sexual-harassment-allegations-against-co-founder-Paul-Marciano-472401923.html …,,,,959548242479468544,https://twitter.com/WCJB20/status/959548242479468544,Guess Inc. responds to sexual harassment allegations against co-founder Paul Marciano. http://www. wcjb.com/content/news/G uess-Inc-responds-to-sexual-harassment-allegations-against-co-founder-Paul-Marciano-472401923.html …
WCJB20,2018-02-02 16:25,1,0,It'll be much easier to watch the Super Bowl online for free this year. http://www. wcjb.com/content/news/W atching-Sundays-Super-Bowl-online-gets-easier-this-year-472395783.html …,,,,959538167572549633,https://twitter.com/WCJB20/status/959538167572549633,It'll be much easier to watch the Super Bowl online for free this year. http://www. wcjb.com/content/news/W atching-Sundays-Super-Bowl-online-gets-easier-this-year-472395783.html …
WCJB20,2018-02-02 16:10,0,1,Mississippi lawmakers are pushing ahead with a bill that could make the state the first to ban most abortions after 15 weeks of pregnancy. http://www. wcjb.com/content/news/M ississippi-pushes-abortion-ban-at-15-weeks-earliest-in-US-472394783.html …,,,,959534395815276549,https://twitter.com/WCJB20/status/959534395815276549,Mississippi lawmakers are pushing ahead with a bill that could make the state the first to ban most abortions after 15 weeks of pregnancy. http://www. wcjb.com/content/news/M ississippi-pushes-abortion-ban-at-15-weeks-earliest-in-US-472394783.html …
WCJB20,2018-02-02 16:00,0,1,"Mexico's foreign relations secretary says it might come as a surprise, but the country's relationship with the United States today is more fluid"," it's closer than it was with previous administrations."" http://www. wcjb.com/content/news/M exico-Relationship-with-US-closer-than-assumed-472393653.html …""",,,,959531876775006214,https://twitter.com/WCJB20/status/959531876775006214,"Mexico's foreign relations secretary says it might come as a surprise, but the country's relationship with the United States today is more fluid"
