username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,FixedSpaceIssues
lindskilbride,2018-02-03 14:41,0,1,Thanks!,,,,959874619611238406,https://twitter.com/lindskilbride/status/959874619611238406,Thanks!
Craig_Wilson7,2018-02-03 14:05,0,0,This is SO good. Story literally made my day.,,,,959865560967405568,https://twitter.com/Craig_Wilson7/status/959865560967405568,This is SO good. Story literally made my day.
cydwjctnews,2018-02-03 13:46,0,1,Checking out the first ever Tri-Base Bridal Expo at NS Mayport. Lots of vendors (you should see the Tesla Limos; who knew!) and many excited brides-to-be & their moms. . @WJCTJax #beyondthecore #navylife #nsmayport pic.twitter.com/gJLrAN1i9m,,@WJCTJax,#beyondthecore #navylife #nsmayport,959860681158938625,https://twitter.com/cydwjctnews/status/959860681158938625,Checking out the first ever Tri-Base Bridal Expo at NS Mayport. Lots of vendors (you should see the Tesla Limos; who knew!) and many excited brides-to-be & their moms. . @WJCTJax #beyondthecore #navylife #nsmayport pic.twitter.com/gJLrAN1i9m
yw_ymla_jax,2018-02-03 10:25,0,2,Thank you so much for sharing the story of how Savory is impacting students!,,,,959810099614187521,https://twitter.com/yw_ymla_jax/status/959810099614187521,Thank you so much for sharing the story of how Savory is impacting students!
JessicaPubRadio,2018-02-03 09:30,0,2,"Love this photo, @lindskilbride",,@lindskilbride,,959796292863102977,https://twitter.com/JessicaPubRadio/status/959796292863102977,"Love this photo, @lindskilbride"
MissLindner,2018-02-02 19:54,0,0,Yay!!!!!!!!!,,,,959590859627999237,https://twitter.com/MissLindner/status/959590859627999237,Yay!!!!!!!!!
DanceWhisperer,2018-02-02 19:00,0,0,"Jacksonville Instructor Says Dance For Boys Opens Doors Beyond The Arts http://www. j.mp/2nDoT6x by @lindskilbride via @WJCTJax . “Kids that are in the arts, . . . in dance tend to do better in their classes because of this outlet for creativity and expression. cc: @Flaballet""",,@lindskilbride @WJCTJax @Flaballet,,959577276273872896,https://twitter.com/DanceWhisperer/status/959577276273872896,"Jacksonville Instructor Says Dance For Boys Opens Doors Beyond The Arts http://www. j.mp/2nDoT6x by @lindskilbride via @WJCTJax . “Kids that are in the arts, . . . in dance tend to do better in their classes because of this outlet for creativity and expression. cc: @Flaballet"""
WJCTJax,2018-02-02 18:42,0,1,Here's a preview of Saturday night's concert for our community at @WJCTJax that is being presented by the @JDTheatre ​. We hope you'll join us. pic.twitter.com/3jewv9T6yK,,@WJCTJax @JDTheatre,,959572811282112514,https://twitter.com/WJCTJax/status/959572811282112514,Here's a preview of Saturday night's concert for our community at @WJCTJax that is being presented by the @JDTheatre ​. We hope you'll join us. pic.twitter.com/3jewv9T6yK
estreetcafe,2018-02-02 18:13,7,40,"San Marco is REOPENING Thursday, Feb. 8, 10am-9pm! #ESTrong #wearefamily #ilovejax @BillySpeckman @LewTurner @WJXTvic @wjxt4 @ActionNewsJax @WJCTJax @FCN2go @folioweekly @JAXChamber @smpsjax @andyzarka pic.twitter.com/Gqf2A9mvw8",,@BillySpeckman @LewTurner @WJXTvic @wjxt4 @ActionNewsJax @WJCTJax @FCN2go @folioweekly @JAXChamber @smpsjax @andyzarka,#ESTrong #wearefamily #ilovejax,959565384704778242,https://twitter.com/estreetcafe/status/959565384704778242,"San Marco is REOPENING Thursday, Feb. 8, 10am-9pm! #ESTrong #wearefamily #ilovejax @BillySpeckman @LewTurner @WJXTvic @wjxt4 @ActionNewsJax @WJCTJax @FCN2go @folioweekly @JAXChamber @smpsjax @andyzarka pic.twitter.com/Gqf2A9mvw8"
lindskilbride,2018-02-02 17:18,2,2,Local advocates are hailing a judge’s ruling on Florida’s felon voting rights process. @WJCTJax http:// bit.ly/2GItpJy pic.twitter.com/VAWk9WIwdM,,@WJCTJax,,959551571020451841,https://twitter.com/lindskilbride/status/959551571020451841,Local advocates are hailing a judge’s ruling on Florida’s felon voting rights process. @WJCTJax https://bit.ly/2GItpJy pic.twitter.com/VAWk9WIwdM
