username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,FixedSpaceIssues
markmyhra_pcbfl,2018-02-04 12:03,0,0,@NWSTallahassee @wmbbjustin @WMBBTV High (rough) surf and dangerous Rip Currents today along PCB surf/ 6ft+ off 2nd 3-5 w/numerous higher sets at the beach Double Red conditions exist! pic.twitter.com/gHgtjGdSO3,,@NWSTallahassee @wmbbjustin @WMBBTV,,960197024493731840,https://twitter.com/markmyhra_pcbfl/status/960197024493731840,@NWSTallahassee @wmbbjustin @WMBBTV High (rough) surf and dangerous Rip Currents today along PCB surf/ 6ft+ off 2nd 3-5 w/numerous higher sets at the beach Double Red conditions exist! pic.twitter.com/gHgtjGdSO3
FreeAllCaptives,2018-02-04 00:23,0,0,So cute! Taking photos of any animal has to be as bad or worse than toddlers.,,,,960020921481228288,https://twitter.com/FreeAllCaptives/status/960020921481228288,So cute! Taking photos of any animal has to be as bad or worse than toddlers.
jansylor,2018-02-03 18:38,0,0,Streaks if cottonballs!,,,,959934243475542016,https://twitter.com/jansylor/status/959934243475542016,Streaks if cottonballs!
WMBBTV,2018-02-03 16:38,0,0,"Cloudy, warmer and breezy overnight with showers. Lows 50-55. Heavier rain and isolated thunderstorms expected by sunrise tapering off by mid afternoon. Highs Sunday 70-73. Clearing and cooler overnight Sunday night with lows 43-48. pic.twitter.com/ZrWFRYTN8n",,,,959903838273753088,https://twitter.com/WMBBTV/status/959903838273753088,"Cloudy, warmer and breezy overnight with showers. Lows 50-55. Heavier rain and isolated thunderstorms expected by sunrise tapering off by mid afternoon. Highs Sunday 70-73. Clearing and cooler overnight Sunday night with lows 43-48. pic.twitter.com/ZrWFRYTN8n"
WMBBTV,2018-02-03 16:35,1,1,Showers all ready showing up on the radar. Heavier rain and isolated thunderstorms expected by sunrise. pic.twitter.com/k3apCPOB8M,,,,959903268066471942,https://twitter.com/WMBBTV/status/959903268066471942,Showers all ready showing up on the radar. Heavier rain and isolated thunderstorms expected by sunrise. pic.twitter.com/k3apCPOB8M
dgordon2205,2018-02-03 16:20,5,39,Cool sky in Chipley today! @StormHour @spann @WJHG_TV @WMBBTV pic.twitter.com/OO1BFpgG0B,,@StormHour @spann @WJHG_TV @WMBBTV,,959899477980123141,https://twitter.com/dgordon2205/status/959899477980123141,Cool sky in Chipley today! @StormHour @spann @WJHG_TV @WMBBTV pic.twitter.com/OO1BFpgG0B
WCFRFL,2018-02-03 10:26,3,13,STRUCTURE FIRE UPDATE: The fire is contained. WCFR & Florala FD crews still on scene extinguishing stray flames & cooling off hot spots. The cause of the fire is believed to be an electrical shortage. No injuries. @nwfdailynews @WMBBTV @WJHG_TV @WZEPAM1460 @WaltonSun @weartv pic.twitter.com/73tTyS0yjt,,@nwfdailynews @WMBBTV @WJHG_TV @WZEPAM1460 @WaltonSun @weartv,,959810369224142848,https://twitter.com/WCFRFL/status/959810369224142848,STRUCTURE FIRE UPDATE: The fire is contained. WCFR & Florala FD crews still on scene extinguishing stray flames & cooling off hot spots. The cause of the fire is believed to be an electrical shortage. No injuries. @nwfdailynews @WMBBTV @WJHG_TV @WZEPAM1460 @WaltonSun @weartv pic.twitter.com/73tTyS0yjt
WCASFL,2018-02-03 09:09,0,5,DON’T FORGET: We’ll be at What’s Up Dog? in Miramar Beach from 10 AM - 3 PM. Adopt a pet & receive a $40 store credit for pet supplies at What’s Up Dog? AND $55 off of pet training! @WMBBTV @WJHG_TV @nwfdailynews @WZEPAM1460 @weartv @WaltonSun pic.twitter.com/JbyqmEQOvl,,@WMBBTV @WJHG_TV @nwfdailynews @WZEPAM1460 @weartv @WaltonSun,,959790947998552064,https://twitter.com/WCASFL/status/959790947998552064,DON’T FORGET: We’ll be at What’s Up Dog? in Miramar Beach from 10 AM - 3 PM. Adopt a pet & receive a $40 store credit for pet supplies at What’s Up Dog? AND $55 off of pet training! @WMBBTV @WJHG_TV @nwfdailynews @WZEPAM1460 @weartv @WaltonSun pic.twitter.com/JbyqmEQOvl
Rt2BHopeful,2018-02-03 09:08,0,2,Thank you FF for risking your own lives every day. Please be careful.,,,,959790633128026112,https://twitter.com/Rt2BHopeful/status/959790633128026112,Thank you FF for risking your own lives every day. Please be careful.
WCFRFL,2018-02-03 08:40,4,11,WCFR firefighters continue to fight the flames at a home that was fully engulfed on Lake Drive in Paxton. Heavy smoke is in the area. Please continue to use caution in the area at this time. @nwfdailynews @WMBBTV @WJHG_TV @WZEPAM1460 @WaltonSun @weartv pic.twitter.com/BszmrUXxg4,,@nwfdailynews @WMBBTV @WJHG_TV @WZEPAM1460 @WaltonSun @weartv,,959783705228333056,https://twitter.com/WCFRFL/status/959783705228333056,WCFR firefighters continue to fight the flames at a home that was fully engulfed on Lake Drive in Paxton. Heavy smoke is in the area. Please continue to use caution in the area at this time. @nwfdailynews @WMBBTV @WJHG_TV @WZEPAM1460 @WaltonSun @weartv pic.twitter.com/BszmrUXxg4
