username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,FixedSpaceIssues
WPBT2,2018-02-03 18:35,0,1,These vegan buffalo cauliflower wings are a great finger food for the Super Bowl. #SuperBowlLII http://www. pbs.org/food/fresh-tas tes/finger-lickin-good-vegan-buffalo-cauliflower-wings/ …,,,#SuperBowlLII,959933288109441024,https://twitter.com/WPBT2/status/959933288109441024,These vegan buffalo cauliflower wings are a great finger food for the Super Bowl. #SuperBowlLII http://www. pbs.org/food/fresh-tas tes/finger-lickin-good-vegan-buffalo-cauliflower-wings/ …
Matt_Abad,2018-02-03 16:45,1,2,Isa will be playing on @WPBT2 pic.twitter.com/AD2XHggqKw,,@WPBT2,,959905790877413377,https://twitter.com/Matt_Abad/status/959905790877413377,Isa will be playing on @WPBT2 pic.twitter.com/AD2XHggqKw
WPBT2,2018-02-03 15:25,0,0,Stream now! Join Ann Curry for dramatic reunions of some whose lives crossed during the deadly event. #MeetAgainPBS https:// video.wpbt2.org/video/30078807 45/ …,,,#MeetAgainPBS,959885480635568134,https://twitter.com/WPBT2/status/959885480635568134,Stream now! Join Ann Curry for dramatic reunions of some whose lives crossed during the deadly event. #MeetAgainPBS https://video.wpbt2.org/video/30078807 45/ …
artloftsfl,2018-02-03 15:00,0,2,"Tonight at 6pm on @ArticulateShow : Reuben Margolin evokes the natural world with his kinetic sculptures; composer Jennifer Higdon makes classical music, but still loves Beyonce; the art of skater/painter Chemi Rosado-Seijo is founded in community activism. Catch it on @WPBT2 pic.twitter.com/yxM619EoVs",,@ArticulateShow @WPBT2,,959879264836505600,https://twitter.com/artloftsfl/status/959879264836505600,"Tonight at 6pm on @ArticulateShow : Reuben Margolin evokes the natural world with his kinetic sculptures; composer Jennifer Higdon makes classical music, but still loves Beyonce; the art of skater/painter Chemi Rosado-Seijo is founded in community activism. Catch it on @WPBT2 pic.twitter.com/yxM619EoVs"
SFL_Symphony,2018-02-03 14:45,0,0,Thanks @WPBT2 for your support! It will be an amazing show w @LizGoesOn and the best of #Broadway music + Leonard Bernstein - Use code SFSO25 to get your tickets @ArshtCenter #MiamiArtGuide https:// twitter.com/WPBT2/status/9 59856646720774144 …,,@WPBT2 @LizGoesOn @ArshtCenter,#Broadway #MiamiArtGuide,959875523089444864,https://twitter.com/SFL_Symphony/status/959875523089444864,Thanks @WPBT2 for your support! It will be an amazing show w @LizGoesOn and the best of #Broadway music + Leonard Bernstein - Use code SFSO25 to get your tickets @ArshtCenter #MiamiArtGuide https://twitter.com/WPBT2/status/9 59856646720774144 …
WPBT2,2018-02-03 13:30,0,1,If your looking for something to do next week! @SFL_Symphony https://www. southfloridasymphony.org/pops-series-ii/ pic.twitter.com/2DL72A1AYK,,@SFL_Symphony,,959856646720774144,https://twitter.com/WPBT2/status/959856646720774144,If your looking for something to do next week! @SFL_Symphony https://www. southfloridasymphony.org/pops-series-ii/ pic.twitter.com/2DL72A1AYK
AdonelCEO,2018-02-02 18:27,1,2,Flashback to #MakingItInAmerica that featured our CEO Luis Garcia!! Previously aired on @WPBT2 #FBF #flashbackfriday #Latepost #interview pic.twitter.com/mCIJDtniaH,,@WPBT2,#MakingItInAmerica #FBF #flashbackfriday #Latepost #interview,959568963213709312,https://twitter.com/AdonelCEO/status/959568963213709312,Flashback to #MakingItInAmerica that featured our CEO Luis Garcia!! Previously aired on @WPBT2 #FBF #flashbackfriday #Latepost #interview pic.twitter.com/mCIJDtniaH
YourSouthFL,2018-02-02 17:25,1,1,. @BlackTechWeek @FeleciaHatcher @PearsonDerick @CodeFeverMiami . @WPBT2 ton@730 https:// twitter.com/WXELTV/status/ 959532289515577344 …,,@BlackTechWeek @FeleciaHatcher @PearsonDerick @CodeFeverMiami @WPBT2 @730,,959553386621304832,https://twitter.com/YourSouthFL/status/959553386621304832,. @BlackTechWeek @FeleciaHatcher @PearsonDerick @CodeFeverMiami . @WPBT2 ton@730 https://twitter.com/WXELTV/status/ 959532289515577344 …
YourSouthFL,2018-02-02 17:24,2,3,#Broward #MiamiDade & #Monroe catch an all new @YourSouthFL with guest host @DrSeanForeman TON @730 on @WPBT2 https:// twitter.com/WXELTV/status/ 959532289515577344 …,,@YourSouthFL @DrSeanForeman @730 @WPBT2,#Broward #MiamiDade #Monroe,959553120907952128,https://twitter.com/YourSouthFL/status/959553120907952128,#Broward #MiamiDade & #Monroe catch an all new @YourSouthFL with guest host @DrSeanForeman TON @730 on @WPBT2 https://twitter.com/WXELTV/status/ 959532289515577344 …
KristelAce,2018-02-02 16:07,0,0,I FINALLY got in touch with someone at your office and I’m really not happy with the service I have received. And now I was told I have to wait until next week to be helped. Is this real life? And meanwhile you keep taking my money?,,,,959533797132918786,https://twitter.com/KristelAce/status/959533797132918786,I FINALLY got in touch with someone at your office and I’m really not happy with the service I have received. And now I was told I have to wait until next week to be helped. Is this real life? And meanwhile you keep taking my money?
Miami_Eatz,2018-02-02 15:49,0,1,This is going to be great,,,,959529179481104384,https://twitter.com/Miami_Eatz/status/959529179481104384,This is going to be great
WPBT2,2018-02-02 14:25,0,0,"Stream now! For the first time, two intrepid pilots fly a solar-powered airplane around the world. #NOVAPBS https:// video.wpbt2.org/video/30088293 24/ …",,,#NOVAPBS,959507997394432000,https://twitter.com/WPBT2/status/959507997394432000,"Stream now! For the first time, two intrepid pilots fly a solar-powered airplane around the world. #NOVAPBS https://video.wpbt2.org/video/30088293 24/ …"
WPBT2,2018-02-02 10:01,2,1,"Witness the groundbreaking hip-hop artist, @Nas , perform a symphonic rendition of his seminal debut album Illmatic with the National Symphony Orchestra. Tonight at 9! @GPerfPBS https:// video.wpbt2.org/video/30086701 18/ …",,@Nas @GPerfPBS,,959441588702375942,https://twitter.com/WPBT2/status/959441588702375942,"Witness the groundbreaking hip-hop artist, @Nas , perform a symphonic rendition of his seminal debut album Illmatic with the National Symphony Orchestra. Tonight at 9! @GPerfPBS https://video.wpbt2.org/video/30086701 18/ …"
