username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,FixedSpaceIssues
WUCFTV,2018-02-04 10:03,0,0,Have you seen our latest news? http:// conta.cc/2FFZ1hz pic.twitter.com/KJIFzM1oiq,,,,960166973618446336,https://twitter.com/WUCFTV/status/960166973618446336,Have you seen our latest news? https://conta.cc/2FFZ1hz pic.twitter.com/KJIFzM1oiq
WUCFTV,2018-02-03 22:00,0,0,Enjoy an Italian chopped salad with all the same flavors just vegetarian style. Get the recipe here ! -> http://www. pbs.org/food/fresh-tas tes/put-together-vegetarian-italian-chopped-salad/ … pic.twitter.com/SgpJNSr09r,,,,959984859992248320,https://twitter.com/WUCFTV/status/959984859992248320,Enjoy an Italian chopped salad with all the same flavors just vegetarian style. Get the recipe here ! -> http://www. pbs.org/food/fresh-tas tes/put-together-vegetarian-italian-chopped-salad/ … pic.twitter.com/SgpJNSr09r
WUCFTV,2018-02-03 18:00,0,0,"Join us 2/6 for a virtual #profdev event for teachers highlighting social-emotional curriculum for kids age 2-4, featuring #PBSKIDS ' @danieltigertv content. Discover tools that support these important skills in the classroom! REGISTER: https:// goo.gl/L1Eo6P #preK #earlyed pic.twitter.com/8fqjqa8cn1",,@danieltigertv,#profdev #PBSKIDS #preK #earlyed,959924593459957765,https://twitter.com/WUCFTV/status/959924593459957765,"Join us 2/6 for a virtual #profdev event for teachers highlighting social-emotional curriculum for kids age 2-4, featuring #PBSKIDS ' @danieltigertv content. Discover tools that support these important skills in the classroom! REGISTER: https://goo.gl/L1Eo6P #preK #earlyed pic.twitter.com/8fqjqa8cn1"
WUCFTV,2018-02-03 15:24,1,1,WATCH THIS ! It’s Okay to be Smart • PBS – How Atom Bombs Can Uncover Forged Art https://www. facebook.com/itsokaytobesma rtpbs/videos/2026526837604739/ …,,,,959885201903112192,https://twitter.com/WUCFTV/status/959885201903112192,WATCH THIS ! It’s Okay to be Smart • PBS – How Atom Bombs Can Uncover Forged Art https://www. facebook.com/itsokaytobesma rtpbs/videos/2026526837604739/ …
rancidray,2018-02-02 21:13,0,0,What is this garbage on @WUCFTV ? The members of the orchestra must’ve been mortified. #trainwreck,,@WUCFTV,#trainwreck,959610741132353536,https://twitter.com/rancidray/status/959610741132353536,What is this garbage on @WUCFTV ? The members of the orchestra must’ve been mortified. #trainwreck
WUCFTV,2018-02-02 19:02,0,0,Phil's Friday Facts | February 2 http:// conta.cc/2FFZ1hz pic.twitter.com/eFPWQ7m3LF,,,,959577695033135104,https://twitter.com/WUCFTV/status/959577695033135104,Phil's Friday Facts | February 2 https://conta.cc/2FFZ1hz pic.twitter.com/eFPWQ7m3LF
WUCFTV,2018-02-02 18:00,0,0,What important milestones in African American history took place in 1895? Students explore this ? w/ the following video + support materials from @IndependentLens . https:// goo.gl/6KjCQb #BlackHistoryMonth #history pic.twitter.com/bqybfgWQGB,,@IndependentLens,#BlackHistoryMonth #history,959562257956032512,https://twitter.com/WUCFTV/status/959562257956032512,What important milestones in African American history took place in 1895? Students explore this ? w/ the following video + support materials from @IndependentLens . https://goo.gl/6KjCQb #BlackHistoryMonth #history pic.twitter.com/bqybfgWQGB
WUCFTV,2018-02-02 16:06,1,1,"The complex portrait of South Africa’s Winnie Mandela: the woman, the paradox, both exalted and villainized in the eyes of history. Monday, Feb 5 at 10pm #IndieLensPBS http:// to.pbs.org/2zfbPuV pic.twitter.com/bIoAjqV1iK",,,#IndieLensPBS,959533383012401152,https://twitter.com/WUCFTV/status/959533383012401152,"The complex portrait of South Africa’s Winnie Mandela: the woman, the paradox, both exalted and villainized in the eyes of history. Monday, Feb 5 at 10pm #IndieLensPBS https://to.pbs.org/2zfbPuV pic.twitter.com/bIoAjqV1iK"
WUCFTV,2018-02-02 15:00,0,0,CHECK THIS OUT! Above the Noise • PBS – Why Can't Anyone Agree on the Crime Rate? https://www. facebook.com/abovethenoisep bs/videos/405032853262458/ …,,,,959516782926225408,https://twitter.com/WUCFTV/status/959516782926225408,CHECK THIS OUT! Above the Noise • PBS – Why Can't Anyone Agree on the Crime Rate? https://www. facebook.com/abovethenoisep bs/videos/405032853262458/ …
sandrogalea,2018-02-02 14:00,0,0,"We miss her. A @WUCFTV Global Perspectives interview with our late, much-missed colleague Lisa Chedekel. Her talent and good humor elevated us all: http:// bit.ly/2DxfXKy @hartfordcourant @BUSPHAdmissions @ActivistLabSPH @PubHealthPost @PopHealthEx",,@WUCFTV @hartfordcourant @BUSPHAdmissions @ActivistLabSPH @PubHealthPost @PopHealthEx,,959501692684288004,https://twitter.com/sandrogalea/status/959501692684288004,"We miss her. A @WUCFTV Global Perspectives interview with our late, much-missed colleague Lisa Chedekel. Her talent and good humor elevated us all: https://bit.ly/2DxfXKy @hartfordcourant @BUSPHAdmissions @ActivistLabSPH @PubHealthPost @PopHealthEx"
WUCFTV,2018-02-02 13:00,0,0,"“Art is complex, and exists for different purposes, not just as a photographic representation of a scene. It depends on what the artist is trying to portray.” (via @NextAvenue ) #ArtfulAging http:// nexav.org/2DELqaG",,@NextAvenue,#ArtfulAging,959486591902171137,https://twitter.com/WUCFTV/status/959486591902171137,"“Art is complex, and exists for different purposes, not just as a photographic representation of a scene. It depends on what the artist is trying to portray.” (via @NextAvenue ) #ArtfulAging https://nexav.org/2DELqaG"
WinterParkFla,2018-02-02 08:19,0,0,Thank you for sharing!,,,,959415980261822464,https://twitter.com/WinterParkFla/status/959415980261822464,Thank you for sharing!
WUCFTV,2018-02-02 08:01,0,1,Happy Friday! We're just a little over two weeks away from #BeMyNeighborDay in #WinterPark . Come out and meet #DanielTiger ! Hope to see you there! pic.twitter.com/VnUcEMDuox,,,#BeMyNeighborDay #WinterPark #DanielTiger,959411428473081856,https://twitter.com/WUCFTV/status/959411428473081856,Happy Friday! We're just a little over two weeks away from #BeMyNeighborDay in #WinterPark . Come out and meet #DanielTiger ! Hope to see you there! pic.twitter.com/VnUcEMDuox
