username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,FixedSpaceIssues
WXELTV,2018-02-06 09:01,0,0,"Invite students to explore the ways #history connects people with this Slavery By Another Name"" educational unit from @tpt . http:// to.pbs.org/2Dsr7gD #BlackHistory #historylesson""",,@tpt,#history #BlackHistory #historylesson,960876143288242176,https://twitter.com/WXELTV/status/960876143288242176,"Invite students to explore the ways #history connects people with this Slavery By Another Name"" educational unit from @tpt . https://to.pbs.org/2Dsr7gD #BlackHistory #historylesson"""
WXELTV,2018-02-06 07:30,0,0,"Join us today for a virtual #profdev event for teachers highlighting social-emotional curriculum for kids age 2-4, featuring #PBSKIDS ' @danieltigertv content. Discover tools that support these important skills in the classroom! REGISTER: http:// to.pbs.org/2D6dp2t #preK #earlyed",,@danieltigertv,#profdev #PBSKIDS #preK #earlyed,960853225976066048,https://twitter.com/WXELTV/status/960853225976066048,"Join us today for a virtual #profdev event for teachers highlighting social-emotional curriculum for kids age 2-4, featuring #PBSKIDS ' @danieltigertv content. Discover tools that support these important skills in the classroom! REGISTER: https://to.pbs.org/2D6dp2t #preK #earlyed"
ajmc9591,2018-02-05 16:57,0,0,Move over Paramount make room for @prize_box,,@prize_box,,960633388356030464,https://twitter.com/ajmc9591/status/960633388356030464,Move over Paramount make room for @prize_box
ajmc9591,2018-02-05 16:52,0,1,Yay we made it,,,,960632153229922304,https://twitter.com/ajmc9591/status/960632153229922304,Yay we made it
LaurenAnnMcG,2018-02-05 16:51,2,5,"I feel like I've made it, just because my name is on the TV guide Catch our film Foggy Sky"" on TV TOMORROW on @WPBT2 at 7:30PM and again on @WXELTV on Thursday at 5:30PM #Filmmaker #womeninfilm #BlackGirlMagic #femalefilmmaker #MondayMotivaton pic.twitter.com/kE5SS7kIJs""",,@WPBT2 @WXELTV,#Filmmaker #womeninfilm #BlackGirlMagic #femalefilmmaker #MondayMotivaton,960631960476573698,https://twitter.com/LaurenAnnMcG/status/960631960476573698,"I feel like I've made it, just because my name is on the TV guide Catch our film Foggy Sky"" on TV TOMORROW on @WPBT2 at 7:30PM and again on @WXELTV on Thursday at 5:30PM #Filmmaker #womeninfilm #BlackGirlMagic #femalefilmmaker #MondayMotivaton pic.twitter.com/kE5SS7kIJs"""
WXELTV,2018-02-05 14:00,0,0,"Tune in tonight at 10PM for the @frontlinepbs special: North Korea's Deadly Dictator"""," on WXEL South Florida PBS. pic.twitter.com/TNYixje5MV""",,@frontlinepbs,,960589085789233166,https://twitter.com/WXELTV/status/960589085789233166,"Tune in tonight at 10PM for the @frontlinepbs special: North Korea's Deadly Dictator"""
WXELTV,2018-02-05 12:45,0,0,"Tune in tonight at 8PM for another episode of We'll Meet Again"""," on WXEL South Florida PBS! pic.twitter.com/KrwUvCTicl""",,,,960570039891038208,https://twitter.com/WXELTV/status/960570039891038208,"Tune in tonight at 8PM for another episode of We'll Meet Again"""
WXELTV,2018-02-05 08:01,0,0,"#ValentinesDay #science ! In this @SciGirls activity, students discover how hard your heart works with different types of exercise. http:// to.pbs.org/2FfaENd #scichat",,@SciGirls,#ValentinesDay #science #scichat,960498568531456000,https://twitter.com/WXELTV/status/960498568531456000,"#ValentinesDay #science ! In this @SciGirls activity, students discover how hard your heart works with different types of exercise. https://to.pbs.org/2FfaENd #scichat"
WXELTV,2018-02-04 15:00,0,0,"Tune in for the premiere of Battleground Everglades, Thursday at 8PM on WXEL South Florida PBS! pic.twitter.com/yADZiuvpTE",,,,960241574151163905,https://twitter.com/WXELTV/status/960241574151163905,"Tune in for the premiere of Battleground Everglades, Thursday at 8PM on WXEL South Florida PBS! pic.twitter.com/yADZiuvpTE"
WXELTV,2018-02-04 14:00,0,0,"Tune in for an all-new @YourSouthFL , this evening at 6:30PM on WXEL South Florida PBS!",,@YourSouthFL,,960226667242381312,https://twitter.com/WXELTV/status/960226667242381312,"Tune in for an all-new @YourSouthFL , this evening at 6:30PM on WXEL South Florida PBS!"
WXELTV,2018-02-04 12:01,0,1,From @Rewire_dot_org : What Happens to People Who Are Ungoogleable? http:// bit.ly/2GDVpOK,,@Rewire_dot_org,,960196538025873408,https://twitter.com/WXELTV/status/960196538025873408,From @Rewire_dot_org : What Happens to People Who Are Ungoogleable? https://bit.ly/2GDVpOK
WXELTV,2018-02-04 09:30,0,0,"Join us 2/6 for a virtual #profdev event for teachers highlighting social-emotional curriculum for kids age 2-4, featuring #PBSKIDS ' @danieltigertv content. Discover tools that support these important skills in the classroom! REGISTER: http:// to.pbs.org/2D6dp2t #preK #earlyed",,@danieltigertv,#profdev #PBSKIDS #preK #earlyed,960158593281650688,https://twitter.com/WXELTV/status/960158593281650688,"Join us 2/6 for a virtual #profdev event for teachers highlighting social-emotional curriculum for kids age 2-4, featuring #PBSKIDS ' @danieltigertv content. Discover tools that support these important skills in the classroom! REGISTER: https://to.pbs.org/2D6dp2t #preK #earlyed"
WXELTV,2018-02-04 08:00,0,0,"Teach students about the roles Ida B. Wells maintained, including teacher, activist, journalist, women’s rights advocate & leader of the anti-lynching movement. http:// to.pbs.org/2Dajsq6 #BlackHistoryMonth",,,#BlackHistoryMonth,960136062243934208,https://twitter.com/WXELTV/status/960136062243934208,"Teach students about the roles Ida B. Wells maintained, including teacher, activist, journalist, women’s rights advocate & leader of the anti-lynching movement. https://to.pbs.org/2Dajsq6 #BlackHistoryMonth"
WXELTV,2018-02-03 16:30,0,0,Watch @aliciakeys perform in and around her favorite NYC landmarks on Landmarks Live In Concert - A @GPerfPBS Special. Tonight at 10:30PM on WXEL South Florida PBS! pic.twitter.com/2m3rBkfg2v,,@aliciakeys @GPerfPBS,,959901863880650756,https://twitter.com/WXELTV/status/959901863880650756,Watch @aliciakeys perform in and around her favorite NYC landmarks on Landmarks Live In Concert - A @GPerfPBS Special. Tonight at 10:30PM on WXEL South Florida PBS! pic.twitter.com/2m3rBkfg2v
WXELTV,2018-02-03 15:00,1,1,"See rapper @Nas perform his album Illmatic""...with the London Symphony Orchestra! Don't miss the @GPerfPBS special: ""NAS: Live From the Kennedy Center - Classical Hip-Hop"" tonight at 9:30 on WXEL South Florida PBS pic.twitter.com/tUT66XiCS0""",,@Nas @GPerfPBS,,959879247891484672,https://twitter.com/WXELTV/status/959879247891484672,"See rapper @Nas perform his album Illmatic""...with the London Symphony Orchestra! Don't miss the @GPerfPBS special: ""NAS: Live From the Kennedy Center - Classical Hip-Hop"" tonight at 9:30 on WXEL South Florida PBS pic.twitter.com/tUT66XiCS0"""
WXELTV,2018-02-03 10:00,0,0,From @PBSFood : For the game! Finger Lickin' good vegan buffalo cauliflower wings! http:// to.pbs.org/2E6hgzR pic.twitter.com/D68zI9uTMa,,@PBSFood,,959803875627880448,https://twitter.com/WXELTV/status/959803875627880448,From @PBSFood : For the game! Finger Lickin' good vegan buffalo cauliflower wings! https://to.pbs.org/2E6hgzR pic.twitter.com/D68zI9uTMa
WXELTV,2018-02-03 08:00,0,0,Invite your class to explore the complicated path that blood takes as it moves in and out of the heart w/ this animated @novapbs interactive! http:// to.pbs.org/2AI8emI #science #ngss,,@novapbs,#science #ngss,959773700773040128,https://twitter.com/WXELTV/status/959773700773040128,Invite your class to explore the complicated path that blood takes as it moves in and out of the heart w/ this animated @novapbs interactive! https://to.pbs.org/2AI8emI #science #ngss
WXELTV,2018-02-02 16:01,0,2,Tune in for an all-new @YourSouthFL Sunday evening at 6:30pm on WXEL South Florida PBS! pic.twitter.com/iITQcPZxrV,,@YourSouthFL,,959532289515577344,https://twitter.com/WXELTV/status/959532289515577344,Tune in for an all-new @YourSouthFL Sunday evening at 6:30pm on WXEL South Florida PBS! pic.twitter.com/iITQcPZxrV
WXELTV,2018-02-02 13:05,1,0,"We're giving away 2 FREE pairs of tix 2 the upcoming Alan B. & Charna Larkin Symposium event Covering The Presidency In The Modern Media Age on 2/22! Eml giveaways@southfloridapbs.org w/ your address so we'll mail u tickets or you can pick them up at WXEL Studios, Boynton Beach! pic.twitter.com/a0kSTkCfuN",,@southfloridapbs,,959487917717688320,https://twitter.com/WXELTV/status/959487917717688320,"We're giving away 2 FREE pairs of tix 2 the upcoming Alan B. & Charna Larkin Symposium event Covering The Presidency In The Modern Media Age on 2/22! Eml giveaways@southfloridapbs.org w/ your address so we'll mail u tickets or you can pick them up at WXEL Studios, Boynton Beach! pic.twitter.com/a0kSTkCfuN"
WXELTV,2018-02-02 11:30,0,0,From @PBSFood : Get on the Kick: Blackberry Brie Quesadillas! http:// to.pbs.org/2rZed7H pic.twitter.com/F9Zd5DEBIt,,@PBSFood,,959464072369639424,https://twitter.com/WXELTV/status/959464072369639424,From @PBSFood : Get on the Kick: Blackberry Brie Quesadillas! https://to.pbs.org/2rZed7H pic.twitter.com/F9Zd5DEBIt
WXELTV,2018-02-02 10:30,0,2,Via @Rewire_dot_org : Ghost No More: The Rise of the Unnecessary Breakup Text http:// bit.ly/2rWLaBD,,@Rewire_dot_org,,959448980785713153,https://twitter.com/WXELTV/status/959448980785713153,Via @Rewire_dot_org : Ghost No More: The Rise of the Unnecessary Breakup Text https://bit.ly/2rWLaBD
WXELTV,2018-02-02 09:15,0,0,Take a look at our February eGuide to see what we're showing! http:// adobe.ly/2E4WTk1,,,,959430037761155072,https://twitter.com/WXELTV/status/959430037761155072,Take a look at our February eGuide to see what we're showing! https://adobe.ly/2E4WTk1
WXELTV,2018-02-02 08:01,2,3,What important milestones in African American history took place in 1895? Students explore this ? w/ the following video + support materials from @IndependentLens . http:// to.pbs.org/2D1CYB4 #BlackHistoryMonth #history,,@IndependentLens,#BlackHistoryMonth #history,959411329999269889,https://twitter.com/WXELTV/status/959411329999269889,What important milestones in African American history took place in 1895? Students explore this ? w/ the following video + support materials from @IndependentLens . https://to.pbs.org/2D1CYB4 #BlackHistoryMonth #history
WXELTV,2018-02-01 20:01,0,0,"One week from now, we will be premiering BATTLEGROUND EVERGLADES on WXEL! Tune in Thursday, February 8 at 8PM! pic.twitter.com/J4cmI6H4o9",,,,959230146258571264,https://twitter.com/WXELTV/status/959230146258571264,"One week from now, we will be premiering BATTLEGROUND EVERGLADES on WXEL! Tune in Thursday, February 8 at 8PM! pic.twitter.com/J4cmI6H4o9"
WXELTV,2018-02-01 16:45,0,2,From @Rewire_dot_org : Why Gratitude Journals are good for everyone http:// bit.ly/2BJqeOl,,@Rewire_dot_org,,959180862368690176,https://twitter.com/WXELTV/status/959180862368690176,From @Rewire_dot_org : Why Gratitude Journals are good for everyone https://bit.ly/2BJqeOl
CubaTradeMag,2018-02-01 16:18,0,2,New @WPBT2 and @WXELTV PBS documentary explores a forgotten era in Cuban art history http:// bit.ly/2ExPYQL pic.twitter.com/dJcOTzgXWz,,@WPBT2 @WXELTV,,959174152455368705,https://twitter.com/CubaTradeMag/status/959174152455368705,New @WPBT2 and @WXELTV PBS documentary explores a forgotten era in Cuban art history https://bit.ly/2ExPYQL pic.twitter.com/dJcOTzgXWz
