username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,FixedSpaceIssues
mysuncoast,2018-02-04 13:02,0,0,UPDATE: Facebook has released a statement regarding the explicit video being shared through Facebook Messanger. https:// buff.ly/2E1YeLN,,,,960211858182557697,https://twitter.com/mysuncoast/status/960211858182557697,UPDATE: Facebook has released a statement regarding the explicit video being shared through Facebook Messanger. https://buff.ly/2E1YeLN
mysuncoast,2018-02-04 12:33,0,0,"UPDATE: 2 killed identified, 116 injured in South Carolina Amtrak, CSX train collision: https:// buff.ly/2EEIFXb pic.twitter.com/wzLAMtkdSo",,,,960204618969092097,https://twitter.com/mysuncoast/status/960204618969092097,"UPDATE: 2 killed identified, 116 injured in South Carolina Amtrak, CSX train collision: https://buff.ly/2EEIFXb pic.twitter.com/wzLAMtkdSo"
mysuncoast,2018-02-04 11:35,0,0,"With the big game just a few hours away, make sure your Super Bowl party food game is MVP worthy. https:// buff.ly/2EhHm2G",,,,960190025202851840,https://twitter.com/mysuncoast/status/960190025202851840,"With the big game just a few hours away, make sure your Super Bowl party food game is MVP worthy. https://buff.ly/2EhHm2G"
mysuncoast,2018-02-04 10:47,0,0,This is the third Amtrak crash since December. https:// buff.ly/2Eh56UY,,,,960178038913761281,https://twitter.com/mysuncoast/status/960178038913761281,This is the third Amtrak crash since December. https://buff.ly/2Eh56UY
Yes2GlobalPeace,2018-02-04 05:39,0,0,Spacex plans launch of worlds most powerful rocket at 1:30 pm Tuesday. http://www. mysuncoast.com/ap/spacex-plan s-launch-of-worlds-most-powerful-rocket-at-pm/article_d643e626-0927-11e8-a5c4-8fe7d8849738.html?utm_medium=social&utm_source=twitter&utm_campaign=user-share … via @mysuncoast,,@mysuncoast,,960100507992801280,https://twitter.com/Yes2GlobalPeace/status/960100507992801280,Spacex plans launch of worlds most powerful rocket at 1:30 pm Tuesday. http://www. mysuncoast.com/ap/spacex-plan s-launch-of-worlds-most-powerful-rocket-at-pm/article_d643e626-0927-11e8-a5c4-8fe7d8849738.html?utm_medium=social&utm_source=twitter&utm_campaign=user-share … via @mysuncoast
mysuncoast,2018-02-03 20:05,2,2,"Top story of the week: 39-year-old Rowena Short, Registrar at Sarasota High School was shown dancing with a student inappropriately according to the Sarasota Sheriff's office. https:// buff.ly/2E0tVkF",,,,959955963976527878,https://twitter.com/mysuncoast/status/959955963976527878,"Top story of the week: 39-year-old Rowena Short, Registrar at Sarasota High School was shown dancing with a student inappropriately according to the Sarasota Sheriff's office. https://buff.ly/2E0tVkF"
blumooninmn,2018-02-03 18:37,0,0,Warning: Do not share explicit images through Facebook http://www. mysuncoast.com/news/warning-d o-not-share-explicit-images-through-facebook/article_70fb4ca2-091b-11e8-903f-0f8370def569.html?utm_medium=social&utm_source=twitter&utm_campaign=user-share … via @mysuncoast,,@mysuncoast,,959934005645840389,https://twitter.com/blumooninmn/status/959934005645840389,Warning: Do not share explicit images through Facebook http://www. mysuncoast.com/news/warning-d o-not-share-explicit-images-through-facebook/article_70fb4ca2-091b-11e8-903f-0f8370def569.html?utm_medium=social&utm_source=twitter&utm_campaign=user-share … via @mysuncoast
TheWayWithAnoa,2018-02-03 18:10,1,2,Warning: Do not share explicit images through Facebook http://www. mysuncoast.com/news/warning-d o-not-share-explicit-images-through-facebook/article_70fb4ca2-091b-11e8-903f-0f8370def569.html?utm_medium=social&utm_source=twitter&utm_campaign=user-share … via @mysuncoast,,@mysuncoast,,959927134033727488,https://twitter.com/TheWayWithAnoa/status/959927134033727488,Warning: Do not share explicit images through Facebook http://www. mysuncoast.com/news/warning-d o-not-share-explicit-images-through-facebook/article_70fb4ca2-091b-11e8-903f-0f8370def569.html?utm_medium=social&utm_source=twitter&utm_campaign=user-share … via @mysuncoast
mysuncoast,2018-02-03 17:58,1,5,The two are being called heroes! https:// buff.ly/2FHMxpS,,,,959923962007506944,https://twitter.com/mysuncoast/status/959923962007506944,The two are being called heroes! https://buff.ly/2FHMxpS
FLKeysBeachBum,2018-02-03 17:34,0,0,Can’t this take place at the empty rarely used taxpayers paid for Benderson Park?,,,,959917945727209473,https://twitter.com/FLKeysBeachBum/status/959917945727209473,Can’t this take place at the empty rarely used taxpayers paid for Benderson Park?
mysuncoast,2018-02-03 17:16,1,4,"The Sarasota Music Half Marathon and 10K will be held on Sunday, February 4, 2018, from 6:30 a.m. until 11 a.m. Click the link below to find out what roads are closed during the race. https:// buff.ly/2EBuhPw",,,,959913403602100226,https://twitter.com/mysuncoast/status/959913403602100226,"The Sarasota Music Half Marathon and 10K will be held on Sunday, February 4, 2018, from 6:30 a.m. until 11 a.m. Click the link below to find out what roads are closed during the race. https://buff.ly/2EBuhPw"
mysuncoast,2018-02-03 16:43,2,3,Coach Hodges comes to Sarasota High from Braden River High School where he served as the tight end and running backs coach and helped the Pirates to the 2018 Class 7A regional semifinals. https:// buff.ly/2Eexxmo,,,,959905174167932933,https://twitter.com/mysuncoast/status/959905174167932933,Coach Hodges comes to Sarasota High from Braden River High School where he served as the tight end and running backs coach and helped the Pirates to the 2018 Class 7A regional semifinals. https://buff.ly/2Eexxmo
mysuncoast,2018-02-03 15:05,3,0,"Authorities say contact local law enforcement immediately if you receive an explicit or illegal image through social media. Do not share the message via Facebook, even with police. https:// buff.ly/2Egb88l",,,,959880612734799873,https://twitter.com/mysuncoast/status/959880612734799873,"Authorities say contact local law enforcement immediately if you receive an explicit or illegal image through social media. Do not share the message via Facebook, even with police. https://buff.ly/2Egb88l"
mysuncoast,2018-02-03 14:07,0,2,The new deal was announced Friday evening after lengthy negotiations between the school board and the Sarasota Classified/Teachers Association. https:// buff.ly/2Ecrbnm,,,,959865946486837248,https://twitter.com/mysuncoast/status/959865946486837248,The new deal was announced Friday evening after lengthy negotiations between the school board and the Sarasota Classified/Teachers Association. https://buff.ly/2Ecrbnm
ErinOnTV,2018-02-03 13:47,0,0,@laurenverno good story in your neck of the woods,,@laurenverno,,959860952811364352,https://twitter.com/ErinOnTV/status/959860952811364352,@laurenverno good story in your neck of the woods
mysuncoast,2018-02-03 12:15,0,6,"ICYMI: Eaton County Judge Janice Cunningham said there was no way"" she would fine him or send him to jail under her contempt-of-court powers. https:// buff.ly/2DYUAOJ""",,,,959837641582800896,https://twitter.com/mysuncoast/status/959837641582800896,"ICYMI: Eaton County Judge Janice Cunningham said there was no way"" she would fine him or send him to jail under her contempt-of-court powers. https://buff.ly/2DYUAOJ"""
mysuncoast,2018-02-03 11:24,1,1,"Sarasota County officials tell us they will keep expanding what they do, with the hopes of receiving this national recognition for many years to come. https:// buff.ly/2FHUcEq",,,,959824812796465152,https://twitter.com/mysuncoast/status/959824812796465152,"Sarasota County officials tell us they will keep expanding what they do, with the hopes of receiving this national recognition for many years to come. https://buff.ly/2FHUcEq"
pennydsherwood,2018-02-03 11:13,0,0,Wheelchair device designed for disabled golfers http://www. mysuncoast.com/news/wheelchai r-device-designed-for-disabled-golfers/article_40392b94-0820-11e8-83c1-7fc734543b0b.html?utm_medium=social&utm_source=twitter&utm_campaign=user-share … via @mysuncoast,,@mysuncoast,,959822199145279488,https://twitter.com/pennydsherwood/status/959822199145279488,Wheelchair device designed for disabled golfers http://www. mysuncoast.com/news/wheelchai r-device-designed-for-disabled-golfers/article_40392b94-0820-11e8-83c1-7fc734543b0b.html?utm_medium=social&utm_source=twitter&utm_campaign=user-share … via @mysuncoast
Elastigirl2018,2018-02-03 10:33,0,1,http:// time.com/5015271/republ ican-tax-plan-deficits-trillion/ …,,,,959812200784322560,https://twitter.com/Elastigirl2018/status/959812200784322560,https://time.com/5015271/republ ican-tax-plan-deficits-trillion/ …
gollnerfire,2018-02-03 08:34,1,1,Firefighters battling many wildfires early in the year in parts of the Suncoast region http://www. mysuncoast.com/news/local/fir efighters-battling-many-wildfires-early-in-the-year-in-parts/article_e83e8858-07c0-11e8-9c79-abbe828437e6.html?utm_medium=social&utm_source=twitter&utm_campaign=user-share … via @mysuncoast,,@mysuncoast,,959782247716081664,https://twitter.com/gollnerfire/status/959782247716081664,Firefighters battling many wildfires early in the year in parts of the Suncoast region http://www. mysuncoast.com/news/local/fir efighters-battling-many-wildfires-early-in-the-year-in-parts/article_e83e8858-07c0-11e8-9c79-abbe828437e6.html?utm_medium=social&utm_source=twitter&utm_campaign=user-share … via @mysuncoast
colleen_camara,2018-02-03 08:14,0,0,@FoxNews @foxandfriends @WhiteHouse @POTUS @realDonaldTrump @CNN @maddow @MSNBC @NBCNews @mysuncoast @ABCNewsPR SHAME ON @BarackObama AND @HillaryClinton THANK GOD TRUMP WON! #DrainingTheSwamp https:// twitter.com/jessiejaneduff /status/959773426906025984 …,,@FoxNews @foxandfriends @WhiteHouse @POTUS @realDonaldTrump @CNN @maddow @MSNBC @NBCNews @mysuncoast @ABCNewsPR @BarackObama @HillaryClinton,#DrainingTheSwamp,959777227972935680,https://twitter.com/colleen_camara/status/959777227972935680,@FoxNews @foxandfriends @WhiteHouse @POTUS @realDonaldTrump @CNN @maddow @MSNBC @NBCNews @mysuncoast @ABCNewsPR SHAME ON @BarackObama AND @HillaryClinton THANK GOD TRUMP WON! #DrainingTheSwamp https://twitter.com/jessiejaneduff /status/959773426906025984 …
FrankSu77818249,2018-02-03 06:59,0,0,"Longboat Key Police doesn’t know how to investigate a homicide, no experience or training. The Sheriffs Office will take over I bet",,,,959758169953198080,https://twitter.com/FrankSu77818249/status/959758169953198080,"Longboat Key Police doesn’t know how to investigate a homicide, no experience or training. The Sheriffs Office will take over I bet"
beccainparadise,2018-02-03 01:36,0,0,@thatsinapropro here’s a story for next Winesday :),,@thatsinapropro,,959677071277613056,https://twitter.com/beccainparadise/status/959677071277613056,@thatsinapropro here’s a story for next Winesday :)
medstarinc,2018-02-02 23:45,0,0,Venice Police employees save a man in cardiac arrest http://www. mysuncoast.com/news/venice-po lice-employees-save-a-man-in-cardiac-arrest/article_45cb38e8-0610-11e8-a65d-6b3aad4b3ed8.html?utm_medium=social&utm_source=twitter&utm_campaign=user-share … via @mysuncoast,,@mysuncoast,,959648932191076352,https://twitter.com/medstarinc/status/959648932191076352,Venice Police employees save a man in cardiac arrest http://www. mysuncoast.com/news/venice-po lice-employees-save-a-man-in-cardiac-arrest/article_45cb38e8-0610-11e8-a65d-6b3aad4b3ed8.html?utm_medium=social&utm_source=twitter&utm_campaign=user-share … via @mysuncoast
mysuncoast,2018-02-02 23:05,1,0,"Amy Bonner O'Brien was the first to respond to a Facebook post and identify Martinez as a contestant on the current season of The Bachelor."" https:// buff.ly/2GHjiVj""",,,,959638832533725184,https://twitter.com/mysuncoast/status/959638832533725184,"Amy Bonner O'Brien was the first to respond to a Facebook post and identify Martinez as a contestant on the current season of The Bachelor."" https://buff.ly/2GHjiVj"""
mysuncoast,2018-02-02 22:47,1,1,"Up to $3,000 in grant funding is available per applicant for projects that focus on Bay Wildlife Habitat Improvement, Bay Water Quality Improvement, and/or Bay-Related Environmental Education. https:// buff.ly/2DWsbgi",,,,959634322054623232,https://twitter.com/mysuncoast/status/959634322054623232,"Up to $3,000 in grant funding is available per applicant for projects that focus on Bay Wildlife Habitat Improvement, Bay Water Quality Improvement, and/or Bay-Related Environmental Education. https://buff.ly/2DWsbgi"
mysuncoastview,2018-02-02 22:41,0,0,We don’t understand the question.,,,,959633022499934208,https://twitter.com/mysuncoastview/status/959633022499934208,We don’t understand the question.
mysuncoast,2018-02-02 21:05,0,1,When Cody Shugart’s land finally dried about two months after the flooding from Hurricane Harvey he found some history he never knew existed. https:// buff.ly/2FH6tZN,,,,959608630554365957,https://twitter.com/mysuncoast/status/959608630554365957,When Cody Shugart’s land finally dried about two months after the flooding from Hurricane Harvey he found some history he never knew existed. https://buff.ly/2FH6tZN
mysuncoast,2018-02-02 20:20,0,1,"Public safety officials estimate 100,000 people could attend the massive racing event on the Manatee River Saturday. https:// buff.ly/2nDoXDn",,,,959597330545758208,https://twitter.com/mysuncoast/status/959597330545758208,"Public safety officials estimate 100,000 people could attend the massive racing event on the Manatee River Saturday. https://buff.ly/2nDoXDn"
mysuncoast,2018-02-02 19:53,2,1,ICYMI: At 5:30 p.m. Friday North Port Police Tweeted that the search on the North Port High campus was complete and nothing was found. http://www. mysuncoast.com/news/north-por t-police-deals-with-bomb-threat-and-stand-off/article_29b7bd48-083b-11e8-af36-1f1ae8ba6b95.html …,,,,959590632204460037,https://twitter.com/mysuncoast/status/959590632204460037,ICYMI: At 5:30 p.m. Friday North Port Police Tweeted that the search on the North Port High campus was complete and nothing was found. http://www. mysuncoast.com/news/north-por t-police-deals-with-bomb-threat-and-stand-off/article_29b7bd48-083b-11e8-af36-1f1ae8ba6b95.html …
mysuncoast,2018-02-02 19:45,2,4,His distinctive vocals fueled such songs as Papa Was a Rollin' Stone," “Cloud Nine and I Can't Get Next to You.” https:// buff.ly/2DZnQsI""",,,,959588506334048256,https://twitter.com/mysuncoast/status/959588506334048256,His distinctive vocals fueled such songs as Papa Was a Rollin' Stone
mysuncoast,2018-02-02 19:20,0,1,The project costs $4.5 million dollars and is largely being paid for through a Federal Aviation Administration grant. https:// buff.ly/2s9ti6T,,,,959582219940651008,https://twitter.com/mysuncoast/status/959582219940651008,The project costs $4.5 million dollars and is largely being paid for through a Federal Aviation Administration grant. https://buff.ly/2s9ti6T
KimSelover,2018-02-02 18:50,0,0,My heart breaks for this father and his girls.... and all the other victims.,,,,959574681593565193,https://twitter.com/KimSelover/status/959574681593565193,My heart breaks for this father and his girls.... and all the other victims.
mysuncoast,2018-02-02 18:45,0,3,"As the restoration process stands now, convicted felons have to wait five to seven years after their sentence is completed before they can submit an application to the state government to be able to vote. https:// buff.ly/2FEXOY6",,,,959573425005170689,https://twitter.com/mysuncoast/status/959573425005170689,"As the restoration process stands now, convicted felons have to wait five to seven years after their sentence is completed before they can submit an application to the state government to be able to vote. https://buff.ly/2FEXOY6"
mysuncoast,2018-02-02 18:34,0,2,The 55-year-old aerospace engineer said he sold ammunition as a hobby for about 25 years. https:// buff.ly/2EaCVXu,,,,959570693431099393,https://twitter.com/mysuncoast/status/959570693431099393,The 55-year-old aerospace engineer said he sold ammunition as a hobby for about 25 years. https://buff.ly/2EaCVXu
mysuncoast,2018-02-02 17:59,1,0,UPDATE: 'Nothing found' in North Port High School bomb investigation https:// buff.ly/2DXny1a pic.twitter.com/DVK5OscgCa,,,,959562061960437761,https://twitter.com/mysuncoast/status/959562061960437761,UPDATE: 'Nothing found' in North Port High School bomb investigation https://buff.ly/2DXny1a pic.twitter.com/DVK5OscgCa
mysuncoast,2018-02-02 17:58,0,0,A 52-year-old female victim told deputies the incident started when she changed lanes in front of the suspect who became angry and flipped his middle finger at the victim. https:// buff.ly/2E0cCjz,,,,959561568659918849,https://twitter.com/mysuncoast/status/959561568659918849,A 52-year-old female victim told deputies the incident started when she changed lanes in front of the suspect who became angry and flipped his middle finger at the victim. https://buff.ly/2E0cCjz
CinziaBear,2018-02-02 17:56,0,0,PETA takes aim at local business http://www. mysuncoast.com/news/peta-take s-aim-at-local-business/article_8d20094a-f7e1-11e7-ab9c-ab2fde55d8b3.html?utm_medium=social&utm_source=twitter&utm_campaign=user-share … via @mysuncoast,,@mysuncoast,,959561168607154178,https://twitter.com/CinziaBear/status/959561168607154178,PETA takes aim at local business http://www. mysuncoast.com/news/peta-take s-aim-at-local-business/article_8d20094a-f7e1-11e7-ab9c-ab2fde55d8b3.html?utm_medium=social&utm_source=twitter&utm_campaign=user-share … via @mysuncoast
Poly_Junky,2018-02-02 16:51,0,0,Price blvd...,,,,959544942459801600,https://twitter.com/Poly_Junky/status/959544942459801600,Price blvd...
JMatterABC7,2018-02-02 16:50,0,3,@ScottDennisABC7 and I are rocking our RED today at ABC7 @mysuncoast for #GoRedforWomenDay ! pic.twitter.com/fiWtr1F9Yt,,@ScottDennisABC7 @mysuncoast,#GoRedforWomenDay,959544658291494912,https://twitter.com/JMatterABC7/status/959544658291494912,@ScottDennisABC7 and I are rocking our RED today at ABC7 @mysuncoast for #GoRedforWomenDay ! pic.twitter.com/fiWtr1F9Yt
Hollyjlawrence,2018-02-02 16:44,0,2,Congratulations Sarasota!,,,,959543177756790784,https://twitter.com/Hollyjlawrence/status/959543177756790784,Congratulations Sarasota!
SRQCountyGov,2018-02-02 16:43,4,9,Much thanks to @mysuncoast and Rick Adams for highlighting Sarasota County being named among the 2018 best workplaces for commuters! pic.twitter.com/s35bc0PT8m,,@mysuncoast,,959542730757111808,https://twitter.com/SRQCountyGov/status/959542730757111808,Much thanks to @mysuncoast and Rick Adams for highlighting Sarasota County being named among the 2018 best workplaces for commuters! pic.twitter.com/s35bc0PT8m
jessicabravo,2018-02-02 16:39,0,2,Unfortunately the police officers reacted too quickly and efficiently and we didn’t get a chance to see this father’s real intentions... they should’ve waited a minute before stopping the father (of THREE victims),,,,959541858404839424,https://twitter.com/jessicabravo/status/959541858404839424,Unfortunately the police officers reacted too quickly and efficiently and we didn’t get a chance to see this father’s real intentions... they should’ve waited a minute before stopping the father (of THREE victims)
mysuncoast,2018-02-02 16:39,2,0,UPDATE: North Port high bomb threat investigation continues; stand-off ends. https:// buff.ly/2EdRWaW pic.twitter.com/KzJaMYyQOn,,,,959541831645134850,https://twitter.com/mysuncoast/status/959541831645134850,UPDATE: North Port high bomb threat investigation continues; stand-off ends. https://buff.ly/2EdRWaW pic.twitter.com/KzJaMYyQOn
mysuncoast,2018-02-02 16:16,1,2,UPDATE: The situation has ended peacefully. Early: officers were on the scene of a stand-off at a residence on Prince Boulevard near Haberland Boulevard where a man had fired a number of rounds. https:// buff.ly/2DX11BT,,,,959536096127471627,https://twitter.com/mysuncoast/status/959536096127471627,UPDATE: The situation has ended peacefully. Early: officers were on the scene of a stand-off at a residence on Prince Boulevard near Haberland Boulevard where a man had fired a number of rounds. https://buff.ly/2DX11BT
mysuncoast,2018-02-02 15:10,1,3,VIDEO: 'He falls off the roof!': Radio station does play-by-play for bungling burglar surveillance video: https:// buff.ly/2Eas1kp pic.twitter.com/0DJSYhjO3d,,,,959519310715736064,https://twitter.com/mysuncoast/status/959519310715736064,VIDEO: 'He falls off the roof!': Radio station does play-by-play for bungling burglar surveillance video: https://buff.ly/2Eas1kp pic.twitter.com/0DJSYhjO3d
mysuncoast,2018-02-02 15:01,0,1,Florida's Fire Marshal was on the Suncoast talking about a bill that would help firefighters with PTSD. https:// buff.ly/2EAXo5M,,,,959517034890649600,https://twitter.com/mysuncoast/status/959517034890649600,Florida's Fire Marshal was on the Suncoast talking about a bill that would help firefighters with PTSD. https://buff.ly/2EAXo5M
mysuncoast,2018-02-02 15:00,0,0,@ChefJudi is at Sweet Mom Italy in downtown Sarasota enjoying some sweets and treats! Check out the dining page to find the best restaurants on the Suncoast: https:// buff.ly/2DYSW3G pic.twitter.com/XW2UaVgS2M,,@ChefJudi,,959516820842647552,https://twitter.com/mysuncoast/status/959516820842647552,@ChefJudi is at Sweet Mom Italy in downtown Sarasota enjoying some sweets and treats! Check out the dining page to find the best restaurants on the Suncoast: https://buff.ly/2DYSW3G pic.twitter.com/XW2UaVgS2M
mysuncoast,2018-02-02 14:32,0,0,"The Latest: Fired FBI director says of memo, 'That's it?' https:// buff.ly/2DX9KYL pic.twitter.com/VUmfiCLMe2",,,,959509835862683648,https://twitter.com/mysuncoast/status/959509835862683648,"The Latest: Fired FBI director says of memo, 'That's it?' https://buff.ly/2DX9KYL pic.twitter.com/VUmfiCLMe2"
mysuncoast,2018-02-02 14:25,0,0,The investigation began when detectives investigating Internet Crimes Against Children (ICAC) determined an IP address in Venice was used to download multiple files of known child pornography. https:// buff.ly/2EyJuAW,,,,959507966205579264,https://twitter.com/mysuncoast/status/959507966205579264,The investigation began when detectives investigating Internet Crimes Against Children (ICAC) determined an IP address in Venice was used to download multiple files of known child pornography. https://buff.ly/2EyJuAW
_bjcornell,2018-02-02 14:08,0,0,ok sir lol. have a blessed day,,,,959503825164996608,https://twitter.com/_bjcornell/status/959503825164996608,ok sir lol. have a blessed day
PlsStepForward,2018-02-02 13:53,0,0,What is this? Grade school?,,,,959500066921775104,https://twitter.com/PlsStepForward/status/959500066921775104,What is this? Grade school?
boman_sb4024,2018-02-02 13:42,0,0,Naw he would have been the one in front of the judge.,,,,959497250497028097,https://twitter.com/boman_sb4024/status/959497250497028097,Naw he would have been the one in front of the judge.
AdamCelliniWWSB,2018-02-02 13:26,2,3,"Preview of tomorrow’s 4th annual Bradenton Area River Regatta coming up at 5:30 on @mysuncoast While this might not be good racing technique, it still looks pretty cool pic.twitter.com/ynEQ6uCRjD",,@mysuncoast,,959493164708106241,https://twitter.com/AdamCelliniWWSB/status/959493164708106241,"Preview of tomorrow’s 4th annual Bradenton Area River Regatta coming up at 5:30 on @mysuncoast While this might not be good racing technique, it still looks pretty cool pic.twitter.com/ynEQ6uCRjD"
dick_gelly,2018-02-02 13:11,0,0,"Corrupt FBI used DNC info and unvetted Russian intelligence, from a discredited leaking source, with missing information, to deceive the FISA court, which allowed spying on the Trump team - 4 times. This is Watergate on steroids. Corrupt to the core. Let the indictments begin.",,,,959489378274947072,https://twitter.com/dick_gelly/status/959489378274947072,"Corrupt FBI used DNC info and unvetted Russian intelligence, from a discredited leaking source, with missing information, to deceive the FISA court, which allowed spying on the Trump team - 4 times. This is Watergate on steroids. Corrupt to the core. Let the indictments begin."
