username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,FixedSpaceIssues
MistralLindy17,2018-02-02 13:43,0,0,@wedupbs are you planning on broadcasting #Metoo now what tonight. I don't see it on the schedule.,,@wedupbs,#Metoo,959497565371760640,https://twitter.com/MistralLindy17/status/959497565371760640,@wedupbs are you planning on broadcasting #Metoo now what tonight. I don't see it on the schedule.
PositivelyTampa,2018-02-02 08:54,0,1,"Happy Friday! @wedupbs BE MORE Awards are less than 3 weeks away! AM Tampa Bay's Jack Harris and I are getting our Be More Polka Dots ready to wear! 13 years of amazing community event considered the academy awards for non-profits"" across W. Central FL!! pic.twitter.com/vMYpOOEi8z""",,@wedupbs,,959424846169018373,https://twitter.com/PositivelyTampa/status/959424846169018373,"Happy Friday! @wedupbs BE MORE Awards are less than 3 weeks away! AM Tampa Bay's Jack Harris and I are getting our Be More Polka Dots ready to wear! 13 years of amazing community event considered the academy awards for non-profits"" across W. Central FL!! pic.twitter.com/vMYpOOEi8z"""
lizziejobaldwin,2018-01-30 20:27,0,0,@AnnCurry !!!! I LOVE #We 'llMeetAgain on @PBS @wedupbs ...watching right now about #MountSt .Helens . I missed your voice. #Congratulations,,@AnnCurry @PBS @wedupbs,#We #MountSt #Congratulations,958512101642915842,https://twitter.com/lizziejobaldwin/status/958512101642915842,@AnnCurry !!!! I LOVE #We 'llMeetAgain on @PBS @wedupbs ...watching right now about #MountSt .Helens . I missed your voice. #Congratulations
swordinhand2002,2018-01-30 19:58,0,0,@wedupbs Can I please get a picture of the WEDQ logo for Wikipedia?,,@wedupbs,,958504804380299265,https://twitter.com/swordinhand2002/status/958504804380299265,@wedupbs Can I please get a picture of the WEDQ logo for Wikipedia?
wedupbs,2018-01-29 15:14,0,0,WEDU EdConnect - http:// mailchi.mp/wedu/wedu-edco nnect-newsletter-10-26-1429441 …,,,,958070983545507841,https://twitter.com/wedupbs/status/958070983545507841,WEDU EdConnect - https://mailchi.mp/wedu/wedu-edco nnect-newsletter-10-26-1429441 …
Duramadera,2018-01-26 20:37,0,0,"@wedupbs I've seen videos of individual voters whose voting rights were restored, expressing how much it means for them, and it is incredibly stirring and heartwarming. That it might strike a mortal blow to Scott's Senate aspirations is the cherry on top.",,@wedupbs,,957064950219976713,https://twitter.com/Duramadera/status/957064950219976713,"@wedupbs I've seen videos of individual voters whose voting rights were restored, expressing how much it means for them, and it is incredibly stirring and heartwarming. That it might strike a mortal blow to Scott's Senate aspirations is the cherry on top."
Duramadera,2018-01-26 20:34,0,0,"@wedupbs Restoring Felons' voting rights - Notice how the GOP's This is only about getting more votes for Dems"" can be applied to EVERY SINGLE GROUP beyond white non-felons? The whole cornucopia? It's racist in its origin"," as you point out. Time for it to go.""",,@wedupbs,,957064240224927744,https://twitter.com/Duramadera/status/957064240224927744,"@wedupbs Restoring Felons' voting rights - Notice how the GOP's This is only about getting more votes for Dems"" can be applied to EVERY SINGLE GROUP beyond white non-felons? The whole cornucopia? It's racist in its origin"
rlocker12,2018-01-24 10:54,1,6,Nice to see @BobBuckhorn in DC today and good to know a fellow Tampa Bay Week alumnus on @wedupbs can make good.,,@BobBuckhorn @wedupbs,,956193596079820802,https://twitter.com/rlocker12/status/956193596079820802,Nice to see @BobBuckhorn in DC today and good to know a fellow Tampa Bay Week alumnus on @wedupbs can make good.
jesseturtle,2018-01-22 12:00,0,1,"Congrats to @usfspcoe on being a finalist for three WEDU Public Media Be More Awards, including the most coveted award, Nonprofit of the Year. @wedupbs #usfsp #usfspcoe #bemoreawards",,@usfspcoe @wedupbs,#usfsp #usfspcoe #bemoreawards,955485347475058688,https://twitter.com/jesseturtle/status/955485347475058688,"Congrats to @usfspcoe on being a finalist for three WEDU Public Media Be More Awards, including the most coveted award, Nonprofit of the Year. @wedupbs #usfsp #usfspcoe #bemoreawards"
ShaunHumphrey65,2018-01-20 23:56,0,0,@pbs @wedupbs We have our own dreamers botn in the US.,,@pbs @wedupbs,,954940754970935297,https://twitter.com/ShaunHumphrey65/status/954940754970935297,@pbs @wedupbs We have our own dreamers botn in the US.
