username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,FixedSpaceIssues
julieglennradio,2018-02-03 14:07,0,0,Lydia is just the sweetest person ever. Here she is with the culinary team @MediterraNaples @wgcu pic.twitter.com/9fsF56kQty,,@MediterraNaples @wgcu,,959866056230744064,https://twitter.com/julieglennradio/status/959866056230744064,Lydia is just the sweetest person ever. Here she is with the culinary team @MediterraNaples @wgcu pic.twitter.com/9fsF56kQty
wgcu,2018-02-03 11:57,0,0,“The Trump Administration is playing games with #Florida ’s coast.” http:// news.wgcu.org/post/florida-s till-risk-offshore-drilling …,,,#Florida,959833336825962496,https://twitter.com/wgcu/status/959833336825962496,“The Trump Administration is playing games with #Florida ’s coast.” https://news.wgcu.org/post/florida-s till-risk-offshore-drilling …
MaryJaneUSA1,2018-02-02 23:15,0,1,"You've invested tens of 1,000s of dollars in your business, who are you going to hire? The person with the sub-par education or someone who attended a better school, has been taught the social skills needed on any job, whose world & experiences are more varied than poor person's?",,,,959641443642978304,https://twitter.com/MaryJaneUSA1/status/959641443642978304,"You've invested tens of 1,000s of dollars in your business, who are you going to hire? The person with the sub-par education or someone who attended a better school, has been taught the social skills needed on any job, whose world & experiences are more varied than poor person's?"
MaryJaneUSA1,2018-02-02 23:07,0,1,"Are you living in a cave? Poorer areas have the worst schools with the worst teachers, so education is low level without the tools, computers, books, programs etc that help middle class students to succeed academically. Ever done research in a housing project & school? I have.",,,,959639503454400512,https://twitter.com/MaryJaneUSA1/status/959639503454400512,"Are you living in a cave? Poorer areas have the worst schools with the worst teachers, so education is low level without the tools, computers, books, programs etc that help middle class students to succeed academically. Ever done research in a housing project & school? I have."
JoseRec99365888,2018-02-02 18:29,0,0,Clean it up!!!,,,,959569443708964865,https://twitter.com/JoseRec99365888/status/959569443708964865,Clean it up!!!
wgcu,2018-02-02 15:15,0,0,"#VotingRights process for #Florida felons #Unconstitutional , judge says. #ReadMore : http:// news.wgcu.org/post/voting-ri ghts-process-florida-felons-unconstitutional-judge-says …",,,#VotingRights #Florida #Unconstitutional #ReadMore,959520583909302273,https://twitter.com/wgcu/status/959520583909302273,"#VotingRights process for #Florida felons #Unconstitutional , judge says. #ReadMore : https://news.wgcu.org/post/voting-ri ghts-process-florida-felons-unconstitutional-judge-says …"
wgcu,2018-02-02 14:43,0,0,"Since #HurricaneMaria hit #PuertoRico , hundreds of families fled; most settled in #Florida . WGCU introduced you to a family shortly after the hurricane, and they faced a decision–return to Puerto Rico for schooling or stay in #SWFL . @quincy_walters reports: http:// news.wgcu.org/post/some-puer to-ricans-call-swfl-home-after-hurricane-maria …",,@quincy_walters,#HurricaneMaria #PuertoRico #Florida #SWFL,959512536642129921,https://twitter.com/wgcu/status/959512536642129921,"Since #HurricaneMaria hit #PuertoRico , hundreds of families fled; most settled in #Florida . WGCU introduced you to a family shortly after the hurricane, and they faced a decision–return to Puerto Rico for schooling or stay in #SWFL . @quincy_walters reports: https://news.wgcu.org/post/some-puer to-ricans-call-swfl-home-after-hurricane-maria …"
NCEF_NWWF,2018-02-02 14:25,2,3,Naples Winter Wine Festival Debrief: http:// bit.ly/2BNtmbF via @wgcu . #NWWF18,,@wgcu,#NWWF18,959508193704542212,https://twitter.com/NCEF_NWWF/status/959508193704542212,Naples Winter Wine Festival Debrief: https://bit.ly/2BNtmbF via @wgcu . #NWWF18
wgcu,2018-02-02 13:43,0,3,"Thanks to @NaplesBotanical for their continued support of WGCU programming! Naples Botanical sits on a 170-acre, world-class garden paradise that features plants from around the world. They're the youngest garden in history to receive @PublicGardens ’s Award for Garden Excellence. pic.twitter.com/PqXiH3neTK",,@NaplesBotanical @PublicGardens,,959497624599650304,https://twitter.com/wgcu/status/959497624599650304,"Thanks to @NaplesBotanical for their continued support of WGCU programming! Naples Botanical sits on a 170-acre, world-class garden paradise that features plants from around the world. They're the youngest garden in history to receive @PublicGardens ’s Award for Garden Excellence. pic.twitter.com/PqXiH3neTK"
wgcu,2018-02-02 12:23,1,0,WGCU's @JMMeszaros reports soil samples tested for arsenic on Pine Island Flatwoods Preserve came back “inconclusive.” The soil tests were prompted after high levels of #arsenic were recently found in the groundwater there. #ReadMore : http:// news.wgcu.org/post/conservat ion-2020-questions-who-should-be-paying-pine-island-arsenic-tests …,,@JMMeszaros,#arsenic #ReadMore,959477285157003265,https://twitter.com/wgcu/status/959477285157003265,WGCU's @JMMeszaros reports soil samples tested for arsenic on Pine Island Flatwoods Preserve came back “inconclusive.” The soil tests were prompted after high levels of #arsenic were recently found in the groundwater there. #ReadMore : https://news.wgcu.org/post/conservat ion-2020-questions-who-should-be-paying-pine-island-arsenic-tests …
