username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,FixedSpaceIssues
wjxt4,2018-02-03 20:39,0,7,LIFE-SAVING PERFORMANCE | Logic's Grammys performance tripled calls to national suicide prevention line. http:// bit.ly/2BSmz0w pic.twitter.com/ONAVmgqYHJ,,,,959964596869189633,https://twitter.com/wjxt4/status/959964596869189633,LIFE-SAVING PERFORMANCE | Logic's Grammys performance tripled calls to national suicide prevention line. https://bit.ly/2BSmz0w pic.twitter.com/ONAVmgqYHJ
wjxt4,2018-02-03 20:37,0,0,pic.twitter.com/oKnMH9Wcxz,,,,959964202608848897,https://twitter.com/wjxt4/status/959964202608848897,pic.twitter.com/oKnMH9Wcxz
wjxt4,2018-02-03 20:15,5,0,"TRAFFIC ALERT | Bad wreck blocks Southbound lanes on the Buckman Bridge. If you're heading that way, take a detour! pic.twitter.com/fnQ0CWhTR0",,,,959958584359636999,https://twitter.com/wjxt4/status/959958584359636999,"TRAFFIC ALERT | Bad wreck blocks Southbound lanes on the Buckman Bridge. If you're heading that way, take a detour! pic.twitter.com/fnQ0CWhTR0"
_WhiteSand,2018-02-03 19:50,0,0,He got robbed. Should have made it.,,,,959952302655377409,https://twitter.com/_WhiteSand/status/959952302655377409,He got robbed. Should have made it.
_WhiteSand,2018-02-03 19:41,0,0,"He made it, but not Tony? Wow.",,,,959949973503856640,https://twitter.com/_WhiteSand/status/959949973503856640,"He made it, but not Tony? Wow."
WJXTBJackson,2018-02-03 19:24,0,0,I'm trying to find that info for you. Haven't located it just yet.,,,,959945703236820992,https://twitter.com/WJXTBJackson/status/959945703236820992,I'm trying to find that info for you. Haven't located it just yet.
Kaharistotle,2018-02-03 19:12,0,0,"Reportedly, a package was found? It's all types of 'packages 'in Ikea.",,,,959942667940573186,https://twitter.com/Kaharistotle/status/959942667940573186,"Reportedly, a package was found? It's all types of 'packages 'in Ikea."
cookguy13,2018-02-03 18:59,0,0,How many more years is he eligible?,,,,959939398409379841,https://twitter.com/cookguy13/status/959939398409379841,How many more years is he eligible?
DebraSheppard20,2018-02-03 18:52,0,0,Mr Brown when you were Mayer did you ever ask about the funds for the underprivileged youth from the one door foundation? Or maybe a few names of some of the receipents to show how helpful the foundation could have been?,,,,959937597710782464,https://twitter.com/DebraSheppard20/status/959937597710782464,Mr Brown when you were Mayer did you ever ask about the funds for the underprivileged youth from the one door foundation? Or maybe a few names of some of the receipents to show how helpful the foundation could have been?
JAXPORT,2018-02-03 18:49,0,0,@wjxt4 @FCN2go @JaxBizJournal @jaxdotcom @JaxDailyRecord @Mar_Ex @JOC_Updates @AJOT @AmericanShipper,,@wjxt4 @FCN2go @JaxBizJournal @jaxdotcom @JaxDailyRecord @Mar_Ex @JOC_Updates @AJOT @AmericanShipper,,959936868111601664,https://twitter.com/JAXPORT/status/959936868111601664,@wjxt4 @FCN2go @JaxBizJournal @jaxdotcom @JaxDailyRecord @Mar_Ex @JOC_Updates @AJOT @AmericanShipper
WeedfreeLawns,2018-02-03 18:49,0,1,That’s awesome!!!!!,,,,959936844896096261,https://twitter.com/WeedfreeLawns/status/959936844896096261,That’s awesome!!!!!
