username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,FixedSpaceIssues
BoukouGroove,2018-02-03 09:58,0,1,Brand new performance ( Full Show) from @BoukouGroove for @PBS - @wsretv https:// youtu.be/EdlOOagHP1E,,@BoukouGroove @PBS @wsretv,,959803266703020032,https://twitter.com/BoukouGroove/status/959803266703020032,Brand new performance ( Full Show) from @BoukouGroove for @PBS - @wsretv https://youtu.be/EdlOOagHP1E
wsretv,2018-02-02 16:59,1,1,I added a video to a @YouTube playlist http:// youtu.be/L7r4GakfqN0?a Sugarcane Jane | StudioAmped | WSRE,,@YouTube,,959546720983179271,https://twitter.com/wsretv/status/959546720983179271,I added a video to a @YouTube playlist https://youtu.be/L7r4GakfqN0?a Sugarcane Jane | StudioAmped | WSRE
UWFCyber,2018-02-02 12:25,1,4,"Dr. Eman El-Sheikh, @UWFCyber director, joined esteemed panelists from @Socialdeskpcola , @techsoftinc and @BallpointTeam to discuss innovation and technology with Jeff Weeks of @wsretv . Watch here: http:// bit.ly/2DXyhsu pic.twitter.com/cSU660kKKz",,@UWFCyber @Socialdeskpcola @techsoftinc @BallpointTeam @wsretv,,959477777090170882,https://twitter.com/UWFCyber/status/959477777090170882,"Dr. Eman El-Sheikh, @UWFCyber director, joined esteemed panelists from @Socialdeskpcola , @techsoftinc and @BallpointTeam to discuss innovation and technology with Jeff Weeks of @wsretv . Watch here: https://bit.ly/2DXyhsu pic.twitter.com/cSU660kKKz"
dmzhukova,2018-02-02 05:31,0,0,"“But Gaetz is lying about the accuracy of the claims made against Johnson, who in fact has an extensive history of racist, sexist, and anti-Semitic statements.” @mattgaetz @IndivisibleNWFL @EscambiaDems @SRFLDEC @OkaloosaDems @FlaDems @pnj @nwfdailynews @DestinLog @wsretv https:// twitter.com/thinkprogress/ status/959331829286400000 …",,@mattgaetz @IndivisibleNWFL @EscambiaDems @SRFLDEC @OkaloosaDems @FlaDems @pnj @nwfdailynews @DestinLog @wsretv,,959373799899697153,https://twitter.com/dmzhukova/status/959373799899697153,"“But Gaetz is lying about the accuracy of the claims made against Johnson, who in fact has an extensive history of racist, sexist, and anti-Semitic statements.” @mattgaetz @IndivisibleNWFL @EscambiaDems @SRFLDEC @OkaloosaDems @FlaDems @pnj @nwfdailynews @DestinLog @wsretv https://twitter.com/thinkprogress/ status/959331829286400000 …"
wsretv,2018-02-01 16:55,8,10,"From Destin by way of New Orleans, it’s the soul and funk of @BoukouGroove TONIGHT at 9pm on an all-new episode of #StudioAmped . http:// video.wsre.org/video/30088972 93/ …",,@BoukouGroove,#StudioAmped,959183547901857792,https://twitter.com/wsretv/status/959183547901857792,"From Destin by way of New Orleans, it’s the soul and funk of @BoukouGroove TONIGHT at 9pm on an all-new episode of #StudioAmped . https://video.wsre.org/video/30088972 93/ …"
UWFCyber,2018-02-01 14:31,1,8,"Dr. Eman El-Sheikh, @UWFCyber director, among the esteemed panelists who shared their expertise on innovation and technology. Watch the program tonight on @wsretv at 7 p.m. or midnight or here on YouTube: http:// youtu.be/L1knfLM2THU?a . #CyberCoast #UWFCyber pic.twitter.com/q78sJYMryA",,@UWFCyber @wsretv,#CyberCoast #UWFCyber,959147107423842305,https://twitter.com/UWFCyber/status/959147107423842305,"Dr. Eman El-Sheikh, @UWFCyber director, among the esteemed panelists who shared their expertise on innovation and technology. Watch the program tonight on @wsretv at 7 p.m. or midnight or here on YouTube: https://youtu.be/L1knfLM2THU?a . #CyberCoast #UWFCyber pic.twitter.com/q78sJYMryA"
wsretv,2018-02-01 11:27,0,0,I added a video to a @YouTube playlist http:// youtu.be/L1knfLM2THU?a Innovation and Technology: On the Gulf Coast | inStudio | WSRE,,@YouTube,,959100911967711232,https://twitter.com/wsretv/status/959100911967711232,I added a video to a @YouTube playlist https://youtu.be/L1knfLM2THU?a Innovation and Technology: On the Gulf Coast | inStudio | WSRE
wsretv,2018-02-01 10:34,0,0,I added a video to a @YouTube playlist http:// youtu.be/OTwvqfhWdZs?a Offstage | Boukou Groove | StudioAmped | WSRE,,@YouTube,,959087560982228993,https://twitter.com/wsretv/status/959087560982228993,I added a video to a @YouTube playlist https://youtu.be/OTwvqfhWdZs?a Offstage | Boukou Groove | StudioAmped | WSRE
wsretv,2018-02-01 10:34,0,0,I added a video to a @YouTube playlist http:// youtu.be/AYoOoX-1zD8?a Offstage | The Underhill Family Orchestra | StudioAmped | WSRE,,@YouTube,,959087533362696193,https://twitter.com/wsretv/status/959087533362696193,I added a video to a @YouTube playlist https://youtu.be/AYoOoX-1zD8?a Offstage | The Underhill Family Orchestra | StudioAmped | WSRE
wsretv,2018-02-01 10:34,0,0,I added a video to a @YouTube playlist http:// youtu.be/OtguFE97MJo?a Offstage | Jimmy Lumpkin & The Revival | StudioAmped | WSRE,,@YouTube,,959087502308134912,https://twitter.com/wsretv/status/959087502308134912,I added a video to a @YouTube playlist https://youtu.be/OtguFE97MJo?a Offstage | Jimmy Lumpkin & The Revival | StudioAmped | WSRE
wsretv,2018-02-01 10:31,1,1,I added a video to a @YouTube playlist http:// youtu.be/EdlOOagHP1E?a Boukou Groove | StudioAmped | WSRE,,@YouTube,,959086872810151938,https://twitter.com/wsretv/status/959086872810151938,I added a video to a @YouTube playlist https://youtu.be/EdlOOagHP1E?a Boukou Groove | StudioAmped | WSRE
