Tweet,Date,Link,RF,Lex,Manual,Both Manual&RF,Both Lex&Manual,,
"When the people of Iran rose up against the crimes of their corrupt dictatorship, I did not remain silent, the United States meets with the people of Iran in their brave struggle for freedom, the president said. http://uni.vi/mLrl30i6pZw #SOTU pic.twitter.com/2Zo5gfchP9",2018-01-30,/UniNoticias/status/958545105337704449,0,0,0,0,0,Tweets Marked by RF,31
"Manchester Cityâs Danilo: âIâm looking forward, I want more trophies hereâ  https://trib.al/5FOuYdL Â   via @guardian_sport",2017-09-29,/guardian/status/913729938737549312,0,0,0,0,0,Tweets Marked by LEX,70
"Michael Jordan scores again, this time with his Jumpman logo:  http://bit.ly/2yT8Edz Â  pic.twitter.com/hlYZCMC2yS",2017-10-19,/komonews/status/920915671831142401,0,0,0,0,0,Tweets Marked Manually,23
Prime Minister Saad Hariri announces soon return to # Lebanon and will revoke his resignation constitutionally http://bit.ly/2jjtsUV pic.twitter.com/uAtm4CQRmX,2017-11-12,/teleSURtv/status/929881001446330368,0,0,0,0,0,Both Manual&RF,7
Egypt to pour new housing into seemingly sated market  http://reut.rs/2Eh0oE5 Â  pic.twitter.com/ay2naFixf5,2018-01-28,/Reuters/status/957684723299602432,0,0,0,0,0,Both Lex&Manually,8
Migration begins delivery of non-resident permits for foreigners http://cdn.com.do/?p=1120199,2018-03-05,/CDN37/status/970747271557144576,0,0,0,0,0,,
They kill a man in RÃ­o Piedras http://bit.ly/2ClKN56 pic.twitter.com/Z393u946Um,2017-12-29,/ElNuevoDia/status/946703470941364224,0,0,0,0,0,RF Percent Error,-77.4193548387097
"Don't let anybody in the press think that because [Pres. Trump] supported my opponent that I do not support him, Roy Moore said. ",2017-09-26,/CBSNews/status/912862579520917504,0,,0,0,0,Lex Percent Error,0.163265306122449
"# CDN PrÃ³fugos sentenced to 20 years were part of the band dismantled by PN in 2001, 2012 and 2014 http://youtu.be/vqzHqz5A_pM?a",2018-03-06,/CDN37/status/971061894449631237,0,0,0,0,0,,
Happy half-birthday Tajiri!   Â   #ApriltheGiraffe,2017-10-15,/NBCNewYork/status/919663373591240705,0,,0,0,0,RF Accuracy,0.304347826086957
They register earthquake of 4.7 in Ecuador http://cdn.com.do/?p=1099413,2017-12-26,/CDN37/status/945781798696620037,0,0,0,0,0,Lex Accuracy,0.347826086956522
This smart mirror is pretty much just a GIANT iPhone pic.twitter.com/qNqkhEiVjj,2018-01-02,/mashable/status/948088724109193216,0,0,0,0,0,,
Conservative conference 2017: May says wealth creators generate the taxes that pay for our public services   Â ,2017-10-04,/guardian/status/915536794875199488,0,0,0,0,0,,
"Report: Mark Halperin, 52, propositioned an ABC employee for sex, among other allegations.  Â ",2017-10-26,/USATODAY/status/923565031463276544,0,,0,0,0,,
"Clark Co. Sheriff says one officer injured, one off-duty officer at concert killed. ""We're holding up. We're going to do the best we can."" pic.twitter.com/Ew2nQTXq8A",2017-10-02,/ABC/status/914804126311079938,0,1,0,0,0,,
Hurricane #Irma  Advisory 48: Irma Producing Hurricane-Force Winds Across Portions of Central Florida.  http://go.usa.gov/W3H Â ,2017-09-10,/NHC_Atlantic/status/907072214725472256,0,0,1,0,0,,
"# USA Figure of @ realDonaldTrump is already in Disney's ""Presidents' Lounge"" https: // www. diariolasamericas.com/c4139640",2017-12-19,/DLasAmericas/status/943142668082778113,0,1,0,0,0,,
"The CIA broadcasts 4,700 new files on bin Laden http://end.pr/2ymBROj pic.twitter.com/Mhw0lDxs7W",2017-11-01,/ElNuevoDia/status/925901878185152513,0,0,0,0,0,,
"Moment of Litany of the saints in canonization ceremony of 35 new saints, in The https://Vaticano.pic.twitter.com/wR1Oam5eL4",2017-10-16,/RCTVenlinea/status/919875093983096832,0,0,0,0,0,,
The #DWTS  fever continues! Latin Night starts tonight at 9pm on #WFTV .  ,2017-09-26,/WFTV/status/912829137378795520,0,0,0,0,0,,
Works of art are saved from the lashes of Mary http://bit.ly/2ywta3n pic.twitter.com/5bUrBFmoZA,2017-10-08,/ElNuevoDia/status/916884307054080000,0,0,0,0,0,,
"WATCH: No more horsing around! Omaha police throw farewell party for horse, that's retiring after 3 years on the job, 'carrot' cake and all! ",2017-09-24,/GMA/status/912090656113348610,0,,0,0,0,,
Spring Hill Police said 1 lane of I-65 Northbound is open after a deadly crash shut down the hwy near Saturn Pkwy     sh-closes-i-65-in-both-directions-near-spring-hill Â  â¦,2017-10-09,/FOXNashville/status/917517519841316870,0,1,0,0,0,,
"Government of #Qatar denounced to the UN, air violation by the UAE http://bit.ly/2CUG8GF pic.twitter.com/41w0ineOT0",2018-01-12,/teleSURtv/status/952009304625831936,0,0,0,0,0,,
"Police say toddler, and dad both died from shooting themselves on the same day.  Â ",2017-09-08,/abc7newsbayarea/status/906214318169051138,0,0,0,0,0,,
Matt Lauer scandal: Ex-wife speaks out https://usat.ly/2AyiLF5 Â ,2017-12-01,/USATODAY/status/936621182035550208,0,0,0,0,0,,
# Colombia __PIPE__ Remains of Victims of the Palace of Justice Return http://bit.ly/2zeaCoA pic.twitter.com/uykXzDPr9T,2017-11-04,/teleSURtv/status/927012847233699841,0,0,0,0,0,,
Trump says Roy Moore lost because 'the deck was stacked against him'  http://read.bi/2C1qatL Â  pic.twitter.com/VZgOOpROyj,2017-12-13,/businessinsider/status/940928772412461056,0,0,0,0,0,,
"A deadly 7.3 magnitude earthquake has hit #Iran  and #Iraq  killing hundreds and injuring over 2,500  http://on.rt.com/8s2p Â  pic.twitter.com/JqZBEolDIF",2017-11-13,/RT_com/status/930118074358939650,0,1,0,0,0,,
A smarter energy future requires smart tools. Our techs use thermal imaging cameras to inspect thousands of panels at our solar projects. ,2017-09-26,/DukeEnergy/status/912670600069566465,0,0,0,0,0,,
Watt the hell? Irish scientists can make electricity from your tears  Â ,2017-10-03,/RT_com/status/915369341587279872,0,,0,0,0,,
Richard #Branson  nearly lost Â£4mn to con-artist posing as Defense Secretary Michael #Fallon    Â  ,2017-10-18,/RT_com/status/920825581775843330,0,,0,0,0,,
Watch the oldest polar bear in the U.S. celebrate her 37th birthday  http://on.mash.to/2yFjCi6 Â  pic.twitter.com/SoDmiZymjZ,2017-12-15,/mashable/status/941820952899305472,0,0,0,0,0,,
"For info regarding what to do with debris placed curbside that is ineligible for storm debris collection, please see  Â ",2017-11-01,/CityofTampa/status/925812894427738112,0,1,0,0,0,,
Fireball sends 'people running for their lives.' Fatal pileup on #Highway400  in #Ontario . @OPP_HSD  describes scene:  http://ow.ly/yANS30gh6yu Â  pic.twitter.com/Jr78dp9oz1,2017-11-01,/weathernetwork/status/925709809575452672,0,0,0,0,0,,
"From @SpecialReports : Cotton crops rebounded in Burkina Faso thanks to genetic modification, but it came at a cost  http://reut.rs/2yPaNG2 Â  pic.twitter.com/In2l39AOiD",2017-12-09,/Reuters/status/939491514949996544,0,0,0,0,0,,
Badass biker Santa chases hit-and-run driver through Paris (VIDEO) https://on.rt.com/8vi4 Â ,2017-12-23,/RT_com/status/944674978687012864,0,0,0,0,0,,
Here's the Inauguration Day letter Obama left for Trump   Â  ,2017-09-04,/WPBF25News/status/904558436087713794,0,0,0,0,0,,
"That's where Trump's tax reform comes from, and Mexico must prepare its own. http://exp.mx/2xzC38v pic.twitter.com/kfPpuDRxYQ",2017-10-30,/ExpansionMx/status/925054756820791296,0,0,0,0,0,,
The Department of Correction will close two penal institutions http://bit.ly/2Hm0VVC,2018-03-10,/ElNuevoDia/status/972427526739058688,0,0,0,0,0,,
Signs you have a toxic boss â and what you can do about it pic.twitter.com/yg82Y2p7NZ,2018-01-19,/businessinsider/status/954372890081701888,0,0,0,0,0,,
"Our customers in Pinellas or Pasco counties will probably be restored, at the latest, by midnight September 15.",2017-09-12,/DukeEnergy/status/907740269856133120,0,0,0,0,0,,
Drug company staffers allegedly impersonated physicians' employees in opioid scheme http://cbsn.ws/2yQpRkU Â ,2017-10-27,/CBSThisMorning/status/923923123484979200,0,0,0,0,0,,
Why we are covering Richard Spencer's speech at the University of Florida   Â ,2017-10-18,/FCN2go/status/920855808937725952,0,,0,0,0,,
Gold mine of information: scientists witness cataclysmic crash of ultra-dense neutron stars in a galaxy far away   http://u.afp.com/4KGU Â  pic.twitter.com/8yKhyYlXr4,2017-10-16,/AFP/status/920101551577767936,0,0,0,0,0,,
Is anyone else blown away by how incredibly professional and awesome Corporal Walker and Deputy Harrison are? #LivePD ,2017-10-07,/PascoSheriff/status/916845723643207681,0,0,0,0,0,,
Taiwan rainbow 'lasts record-breaking nine hours' http://bbc.in/2iKPWOS Â ,2017-12-04,/BBCWorld/status/937633977548050432,0,0,0,0,0,,
Disney chief Bob Iger signals he won't run for president in 2020:  https://yhoo.it/2o2N7KP Â  pic.twitter.com/yGprstQXWS,2017-12-14,/GMA/status/941367198437855232,0,0,0,0,0,,
70-year-old runs marathons around the world   Â  ,2017-10-21,/WESH/status/921620358628745216,0,,0,0,0,,
"Lies campaign on chemical attacks, aims against Syria http://bit.ly/2ixiXgq pic.twitter.com/l5GgKHr3kZ",2017-10-25,/teleSURtv/status/923116927223918593,0,1,0,0,0,,
Inhumane resources: how not to sack your employees https://trib.al/7OWy3BH Â ,2017-11-01,/guardian/status/925775420674494464,0,0,0,0,0,,
