Topic,Tweets,Date,Number
good morning luck job looking hope day happy thing idea
,Good !!!,5/2/2017 ,1
,good,9/11/2017 ,1
,Good riddance!,1/15/2018 ,1
,Good,12/23/2017,1
,Lmao good .,12/18/2017,1
,Good for them.,11/7/2017 ,1
,good riddance,10/8/2017 ,1
,"Putin is administrating it, so he good.",1/10/2018,1
,Good! They should be! The whole movement is based upon a lie.,10/1/2017,1
,It's all good! Everybody enjoys a good joking. ;-),1/22/2018,1
,"Good,",10/25/2017,1
,Two good lookin smiles!,1/3/2018,1
,"Why what she do to get good behavior""",7/15/2017 ,1
,Good he can give it ALL to the Goldmans,10/1/2017 ,1
,Good. Prosecute Prosecute Prosecute!!!,12/8/2017 ,1
,Good.,9/1/2017 ,1
,Good because a rush to judgement usually ends in failure.,8/1/2017 ,1
,Good!,9/30/2017 ,1
,BE GOOD TO KENDALL KIRKHAM,11/20/2017 ,1
,Good call.,1/22/2018 ,1
,Good riddance!,1/9/2018 ,1
,Good for him,2/2/2018 ,1
,Not good,1/11/2018,1
,Not good,9/5/2017,1
,Not good.,8/23/2017 ,1
,Good,2/3/2018 ,1
,Not good.,6/6/2017 ,1
,Good,6/1/2017 ,1
,It was a good chuckle!,10/5/2017,1
,That is SO not good,7/4/2017 ,1
,Good should castrate him,6/30/2017 ,1
,get some good highlights!,10/19/2017 ,1
,Not good!,12/12/2017 ,1
,Good,11/2/2017 ,1
,So was GOOD OLDE DONALD,7/12/2017 ,1
,Good feeling!!!,5/17/2017 ,1
,"Good grief, why?",9/22/2017 ,1
,Good. Now get a spine.,6/19/2017 ,1
,Good!,1/24/2018,1
,@ay_its_mikey you good fam ?,10/28/2017 ,1
,Good ... it's well known he's a #Snitch anyway .....,5/5/2017 ,1
,Good horse,9/25/2017 ,1
,GOOD,1/19/2018 ,1
,Good,9/10/2017 ,1
,Feels good!!!,1/3/2018,1
,Good. Frigging idiot!!!,1/30/2018 ,1
,Good spin Bron!,10/17/2017 ,1
,nah I’m good,1/16/2018,1
,That’s an unbelievably good sketch!,11/21/2017 ,1
,Very good,10/1/2017 ,1
,Good one!,10/6/2017 ,1
,He good @Tri_State_,8/3/2017 ,1
,"Well, that's good",7/31/2017 ,1
,"#2A was written as is for the good of our society. It stays, you & #gunsense can go.",10/23/2017 ,1
,Good !,6/16/2017 ,1
,"Who writes these tweets? Good gosh, this is totally misleading",1/10/2018,1
,"Good Lord, unreal",7/14/2017 ,1
,You take the good,9/28/2017 ,1
,Its not good.,10/13/2017 ,1
,Good progress made prior to TS Emily by clearing clogged drainage pipes. That process is continuing.,8/28/2017,1
,Not good,7/31/2017 ,1
,Good grab,7/10/2017 ,1
,Good aim!,7/19/2017 ,1
,Good for her.,11/15/2017 ,1
,Good!!!,12/5/2017,1
,Good,7/22/2017 ,1
,Good for Fiscal Deficits Good for Debt,1/31/2018,1
,Good!!!!,8/15/2017 ,1
,Good call.,8/26/2017 ,1
,Good advice.,8/21/2017 ,1
,Good!!,9/10/2017 ,1
,Good for her...,6/29/2017 ,1
,Not good,5/7/2017 ,1
,good,12/4/2017 ,1
,Good !!,12/19/2017 ,1
