Tweet,Category,Date,Permalink
If you are an employee at any other job you would be fired if you are protesting the wrong stuff. Now if the news likes you no problem.,0,09/24/2017,https://twitter.com/1958Eunice/status/911934744832684033
@boogiecousins just another great example of pro Mobile athletes who give back to @City_of_Mobile @JakePeavy_22 @HenryLouisAaron #BoogieOn,0,09/18/2017,https://twitter.com/abcShirtsbiz/status/909884642920222720
"Just outside of Chipley, FL now and seeing signs letting us know about #Irma . @FOX10News pic.twitter.com/8OfEVvGrAj",0,09/10/2017,https://twitter.com/adamolivierwx/status/906915798819667968
Headed out to the Florida Panhandle to chase #Irma . @matt_barrentine @FOX10News pic.twitter.com/ZhJefptSiI,0,09/10/2017,https://twitter.com/adamolivierwx/status/906874473814650881
Extremely unlikely. There is nothing right now that makes us believe that will happen. We will let you know if anything changes!,0,09/08/2017,https://twitter.com/adamolivierwx/status/906281252357103618
#Irma expected to become a category 5 storm again on its way to Florida. Tune into @FOX10News at 5pm for the latest. pic.twitter.com/ThB8Kv2Jvx,0,09/08/2017,https://twitter.com/adamolivierwx/status/906272199492984833
New information and track for #Irma . Tune into @FOX10News for the latest! pic.twitter.com/6vkXSw5VcL,0,09/07/2017,https://twitter.com/adamolivierwx/status/905990865042243584
Latest advisory still shows #Irma taking northerly turn. Tune into @FOX10News at 10:00pm for the latest details. pic.twitter.com/8IDeeeuYo4,0,09/06/2017,https://twitter.com/adamolivierwx/status/905628323698573312
MobileBaySierraClub mtg 2night @6:30 @5RiversDelta ! @FOX10News investigative reporter @KatiWeis will share her environmental investigations pic.twitter.com/gQnqdv9cBt,0,09/05/2017,https://twitter.com/alabamacoastal/status/905101936910786560
City council passes budget w/ amendments just 2 days before deadline. Big raises for MFRD and city employees. Numbers tonight on @FOX10News,0,09/29/2017,https://twitter.com/AlexaMKnowles/status/913900071757938688
Mobile city council holding special meeting about budget now. It didn't pass Tuesday. We'll let you know what happens on @FOX10News 2night pic.twitter.com/wPniYo0fmQ,0,09/29/2017,https://twitter.com/AlexaMKnowles/status/913864161767149574
Roy Moore's gun: it caught some ppl by surprise when he pulled it out at his rally. Hear from locals and Fhope police tonight on @FOX10News pic.twitter.com/b8ZanFok2Y,0,09/27/2017,https://twitter.com/AlexaMKnowles/status/913175849796501504
"Moore showed his gun to the crowd at rally to prove he supports the 2nd amendment, the focus of attacks Strange made in TV ads. @FOX10News",0,09/25/2017,https://twitter.com/AlexaMKnowles/status/912505358538739712
Roy Moore on stage now after several speakers. Recap tonight on @FOX10News pic.twitter.com/t5NO7IBVfC,0,09/25/2017,https://twitter.com/AlexaMKnowles/status/912500389035089921
Farage introduces former White House Chief Strategist Steve Bannon to the stage. You'll hear from him tonight on @FOX10News pic.twitter.com/P9Qa4Y11Rr,0,09/25/2017,https://twitter.com/AlexaMKnowles/status/912481264103510016
"Mr. Brexit"" Nigel Farage",0,09/25/2017,
