Tweet,Category,Date,Permalink
Hurricanes #Irma  and #Harvey  mark the first time 2 Cat 4 U.S. landfalls happened in the same year      #HurricaneIrma,5,09/10/2017,/weatherchannel/status/906911394863427584
@ parkertwc  says that experience means nothing when it comes to a hurricane like #Irma . Tune into The Weather Channel for live coverage.,5,09/09/2017,/weatherchannel/status/906532651397517312
"The cleanup following #Irma  continues, as more volunteers get involved. Tune into The Weather Channel for coverage of the relief efforts.",8,09/18/2017,/weatherchannel/status/909796778907766784
"Meet #Harvey  hero, Andy Krieger, who floated into a flooded neighborhood in Katy, TX to help evacuate people:    ",4,09/02/2017,/weatherchannel/status/904026143719911429
"The #hurricane  warning may have been canceled in Puerto Rico, but flooding rains continue on the blacked-out island:    ",8,09/20/2017,/weatherchannel/status/910712492409548800
Hurricane #Maria  continues to be one to watch for the Outer Banks & East Coast.  Close encounter to bring a threat.   ne/news/hurricane-maria-puerto-rico-hispaniola-bahamas-forecast   …,15,09/23/2017,/weatherchannel/status/911681840242716675
"BREAKING: Hurricane #Irma  triggers new #hurricane  warnings for the Leeward Islands, Puerto Rico and Virgin Islands:    ",8,09/04/2017,/weatherchannel/status/904901193398329344
Find out why the recent pattern change in the U.S. is worrisome for the rest of hurricane season:    ,15,09/16/2017,/weatherchannel/status/909057044824465408
# Norma  is expected to become a hurricane tonight as it creeps toward Baja California. Forecast:    ,14,09/15/2017,/weatherchannel/status/908813933288488960
"Hurricane & tropical storm warnings remain in effect for portions of the Bahamas, Turks & Caicos Islands & Dominican Republic.",3,09/21/2017,/weatherchannel/status/910978192382369792
# Typhoon  Talim spinning over #Japan  with significant impacts. Check the latest on     .   weather.com/storms/hurrica ne/video/typhoon-talim-threatens-japan-0   …,4,09/13/2017,/weatherchannel/status/908029157673709570
"Georgia, South Carolina coasts could face severe flooding threat from Hurricane Irma    ",8,09/09/2017,/weatherchannel/status/906691860097388544
"# Maria  is a large, slow-moving storm that will have some impacts along U.S. East Coast - here are 3 things to know:    ",3,09/26/2017,/weatherchannel/status/912676386342502402
Hurricane Irma will be a dangerous major hurricane while moving over the Florida Keys. Here's the latest:   ,3,09/09/2017,/weatherchannel/status/906650487881191425
Hurricane #Irma  could cause heavy rain and tornadoes across the Southeast. Full forecast:    ,2,09/09/2017,/weatherchannel/status/906571674023116800
"Although #Maria  has weakened to a Category 2 hurricane with winds of 110 mph, some strengthening is forecast during the next day or two.",15,09/20/2017,/weatherchannel/status/910611362245693443
"The warning no coastal NWS office ever wants to issue...an ""Extreme Wind Warning"" for the eyewall of #Irma  for the Lower Keys of FL.",3,09/10/2017,/weatherchannel/status/906826619917971456
"Maria near Dominican Republic headed to the Turks & Caicos. Expect damaging winds, storm surge, & flooding rain.  weather.com/storms/hurrica ne/video/hurricane-maria-reaches-dominican-republic   …",6,09/21/2017,/weatherchannel/status/910912585645613056
Mexico City was hit hard by a 7.1 Earthquake on Tuesday. Frantic searches continue to save people in the rubble.  weather.com/news/weather/v ideo/drone-view-of-mexico-city-quake-damage   …,16,09/20/2017,/weatherchannel/status/910623262903762946
BREAKING: Georgia expands state of emergency to all 159 counties ahead of Hurricane #Irma . More:      #HurricaneIrma,15,09/10/2017,/weatherchannel/status/906937566435446787
Dangerous Hurricane Maria continues to thrash the Turks & Caicos with winds of 125 mph. High Surf Threat East Coast.  weather.com/storms/hurrica ne/video/maria-aiming-at-turks-and-caicos   …,4,09/22/2017,/weatherchannel/status/911274618643734528
As of 11:00 AM (ET) #Maria  remains a Category 4 Hurricane producing flash flooding & destructive winds.,4,09/20/2017,/weatherchannel/status/910519949810130944
An 8.0 magnitude earthquake has occurred just south of the Mexico. Tsunami waves possible within the next 3 hours along the coast of Mexico,16,09/08/2017,/weatherchannel/status/906024305808392194
# Maria  should become a #hurricane  soon and could pose a dangerous threat to the northeast Caribbean Islands:    ,15,09/17/2017,/weatherchannel/status/909404160201601026
Tropical storm conditions are beginning to spread over the Turks & Caicos islands as #Maria  moves northwestward.,13,09/21/2017,/weatherchannel/status/910975682938904578
Jacksonville surge flooding.  907240418831749120   …,3,09/11/2017,/weatherchannel/status/907243425564688384
Powerful Fall Cold Front will bring the threat of severe storms for the Midwest tonight & the Northeast by Tuesday.   weather.com/storms/severe/ video/incoming-weather-threat-for-midwest   …,8,09/04/2017,/weatherchannel/status/904760502856933376
Here's why the water retreated from Florida bays before #Irma 's storm surge arrived:    ,7,09/10/2017,/weatherchannel/status/906994452845051905
The highest sustained winds anywhere in the hurricane are 185 mph. This is just for one data station.,4,09/06/2017,/weatherchannel/status/905296655943073792
"# Snow  has begun falling in parts of Rockies due to dramatic pattern change, while East will feel more like summer:    ",4,09/15/2017,/weatherchannel/status/908691389868679169
Irma continues to hit Georgia hard with gusty winds & heavy rain.  Trees coming down & power outages widespread.  weather.com/storms/hurrica ne/video/irmas-impact-in-georgia   …,4,09/11/2017,/weatherchannel/status/907357000530620416
Hurricanes #Harvey  and #Irma  could be first back-to-back retired hurricane names since 2005:    ,5,09/13/2017,/weatherchannel/status/907960330067746816
Officials said a 10th person has died after a Florida nursing home was left powerless in the wake of #Irma :    ,10,09/21/2017,/weatherchannel/status/910936276257394688
"The Weather Channel sends a thank you to first responders throughout the country in memory of September 11, 2001. #NeverForget",14,09/11/2017,/weatherchannel/status/907239564821110784
"In times of severe weather, you can always depend on The Weather Channel for live coverage and up to date weather information.",11,09/18/2017,/weatherchannel/status/909884782808625159
Hurricane Maria has weakened slightly but don't let your guard down. Impacts for Outer Banks to SE Virginia in play.  ne/news/hurricane-maria-us-east-coast-forecast   …,1,09/25/2017,/weatherchannel/status/912321452216602624
"Hurricane #Maria  was the 10th-most-intense Atlantic hurricane on record, in terms of central pressure:    ",9,09/20/2017,/weatherchannel/status/910680056401248257
"Since 2001, eight Atlantic ""I"" storms have had their names retired:    ",15,09/03/2017,/weatherchannel/status/904374345606107136
Tropical Storm #Katia  developed early this morning and is expected to make landfall in eastern Mexico this weekend:    ,15,09/06/2017,/weatherchannel/status/905420597882011648
BREAKING: Hurricane #Irma  made its second Florida landfall at Marco Island at 3:35 p.m. as a Category 3:    ,3,09/10/2017,/weatherchannel/status/906967414008537088
BREAKING: Hurricane #Maria  makes landfall in Dominica as a Category 5 with 160-mph winds:    ,15,09/18/2017,/weatherchannel/status/909955074016763905
Here's how you can help the victims of Hurricane #Maria :      #HuracánMaría,12,09/21/2017,/weatherchannel/status/910862431211188225
1:25 pm AST: The eyewall of #Hurricane  #Irma  continues to batter the Virgin Islands. Extreme damage likely.,9,09/06/2017,/weatherchannel/status/905482297461407749
"Three Category 4 hurricanes have made a U.S. landfall in 2017, including #Harvey , #Irma  and #Maria :    ",5,09/20/2017,/weatherchannel/status/910652826245750784
BREAKING: Hurricane #Irma  Strengthens to a Category 4. Numerous #hurricane  watches and warnings are in effect:    ,1,09/04/2017,/weatherchannel/status/904809896784171008
# Maria  is a hurricane once again & has begun to turn NNE as it passes east of North Carolina - latest forecast here:    ,2,09/27/2017,/weatherchannel/status/913061437026660352
"Extreme wind warning issued for Humacao, Naguabo, Yabucoa, Manuabo Municipalities, Puerto Rico. #Maria  eyewall nearing. Seek shelter now!",2,09/20/2017,/weatherchannel/status/910420456615821312
Jacksonville surge flooding #Irma .  tatus/907244079548944384   …,3,09/11/2017,/weatherchannel/status/907247159665467392
"BREAKING: Hurricane #Irma  has made its first landfall at 9:10 a.m. near Cudjoe Key, Florida:    ",2,09/10/2017,/weatherchannel/status/906870732856074242
Hurricane #Norma  may impact  parts of Baja California peninsula - tropical storm warnings and watches issued :    ,4,09/16/2017,/weatherchannel/status/909029622267895808
"A weather pattern change is underway in the central U.S., and it will eventually bring heat relief to the Northeast:    ",3,09/26/2017,/weatherchannel/status/912855906274091008
A pattern change late this week will bring relief from #hurricane  and #heat  fatigue.     ,3,09/24/2017,/weatherchannel/status/911929352945672192
.  Response & Live Updates - offering free calls and texts for customers impacted by Hurricane Irma    ,12,09/10/2017,/weatherchannel/status/906899459220627456
BREAKING: Hurricane #Maria  has rapidly intensified to a Category 4. #Hurricane  warning now in effect in Puerto Rico:    ,1,09/18/2017,/weatherchannel/status/909890787546140673
Mexico struggling from 7.1 Earthquake that hit on Tuesday & New aftershock 6.1 on Saturday. Rescues (Getty Image)  weather.com/news/trending/ video/61-magnitude-earthquake-strikes-mexico   …,3,09/23/2017,/weatherchannel/status/911715358427504640
Relief Efforts for Puerto Rico are ramping up to bring needed help to those devastated by Hurricanes Irma & Maria.  weather.com/storms/hurrica ne/video/lawmakers-looking-at-how-to-get-pr-more-aid   …,16,09/28/2017,/weatherchannel/status/913351855182417920
"Major #flooding  on St. Johns River, tributaries around Jacksonville, FL. Surge in Marineland Acres = Matthew. #Irma      ",14,09/11/2017,/weatherchannel/status/907162429750075392
# Maria  is a strong Category 2 hurricane with 110 MPH winds,5,09/20/2017,/weatherchannel/status/910664464722165760
"We're getting our first look at #Irma  damage from above in Bonita Springs, FL...watch this:    ",3,09/11/2017,/weatherchannel/status/907288884303638528
Very Latest Track for Hurricane Maria with a concern for the Outer Banks to SE Virginia for High Surf & Gusty Winds.  weather.com/storms/hurrica ne/video/hurricane-marias-potential-east-coast-impact   …,8,09/23/2017,/weatherchannel/status/911711163603410944
"Puerto Rico public safety commissioner: ""You have to evacuate. Otherwise, you're going to die."" #Maria      ",15,09/19/2017,/weatherchannel/status/910128685235056640
# Jose  will make its closest approach to SE New England on Wednesday where tropical storm warnings remain in effect:    ,2,09/19/2017,/weatherchannel/status/910122314062106625
Irma is an extremely dangerous Category 4 hurricane and is likely to bring life-threatening storm surge and wind impacts to much of Florida.,3,09/08/2017,/weatherchannel/status/906140973780086785
# Maria  is the 3rd Category 4 #hurricane  to make a U.S. landfall in 2017:    ,5,09/20/2017,/weatherchannel/status/910544830408855554
The 2017 Atlantic #hurricane  season is rivaling other historically active years:    ,16,09/18/2017,/weatherchannel/status/909850512089952256
# Irma  is moving towards South Florida and many areas are under storm surge warnings. Tune into The Weather Channel for 24/7 live coverage.,5,09/08/2017,/weatherchannel/status/906173231454879744
"NEW: The National Hurricane Center has reduced some of the storm surge inundation forecasts, including in Tampa Bay:    ",3,09/10/2017,/weatherchannel/status/907079840825614337
The victims of Hurricane #Irma  will need help. Here are some ways you can do that:      #HurricaneIrma,11,09/10/2017,/weatherchannel/status/906921460551299072
TS Maria swirling off the Carolina to Mid-Atlantic coast with gusty winds & waves on TheLift       weather.com/storms/hurrica ne/video/maria-coastal-flooding-in-the-outer-banks   …,7,09/27/2017,/weatherchannel/status/912976426210611202
# Katia  has become the sixth hurricane of the season; Hurricane watches issued:    ,3,09/06/2017,/weatherchannel/status/905540228273897473
"# Typhoon  Talim strengthens a threat for damaging winds, high surf, & flooding rain for far eastern #China  to #Japan .  weather.com/storms/hurrica ne/video/typhoon-talim-to-threaten-eastern-china   …",15,09/12/2017,/weatherchannel/status/907742402282213377
"With #Irma  nearing Florida, last minute preparations are being made. Tune into The Weather Channel for 2/7 live coverage.",2,09/08/2017,/weatherchannel/status/906149901939208193
# Irma  is in rare territory as an Atlantic Category 5. Here's a look back at other hurricanes of this intensity:    ,3,09/05/2017,/weatherchannel/status/905071473659789313
# Maria  is now threatening the east coast. Tune into The Weather Channel throughout the day for live coverage and severe weather updates.,13,09/26/2017,/weatherchannel/status/912676936870227968
Hurricanes #Harvey  and #Irma  could be the first back-to-back hurricanes to have their names retired in 12 years:    ,5,09/13/2017,/weatherchannel/status/908138502855868416
"Tropical Storm #Jose  expected to bring heavy rain, coastal flooding & gusty winds to southeast Massachusetts today:    ",3,09/20/2017,/weatherchannel/status/910477668042149888
"# Jose  becomes the fifth #hurricane  of the 2017 Atlantic Hurricane Season, and it could threaten the Lesser Antilles:    ",15,09/06/2017,/weatherchannel/status/905535248427081733
Here's why #Irma  may produce coastal flooding worse than Matthew along the Georgia and South Carolina coasts:    ,6,09/09/2017,/weatherchannel/status/906642802242576384
3 AM: Pressure continues to drop as hurricane-force winds barrel toward the Florida Keys.,12,09/10/2017,/weatherchannel/status/906776815766835201
Hurricane warnings have been issued for parts of east Mexico as #Katia  is expected to make landfall by this weekend:    ,2,09/07/2017,/weatherchannel/status/905751515998019586
"Serious flood threat in Charleston area this afternoon, with additional rain to fall into the evening. Tune in for more #Irma  coverage",4,09/11/2017,/weatherchannel/status/907302715163897856
Hurricane #Irma  remains a Category 3 hurricane as of the 11 p.m. advisory from the NHC. Here's the latest track:    ,13,09/09/2017,/weatherchannel/status/906719102168739840
"NEW: A #tornado  watch is in effect for South FL and the Florida Keys until 12 a.m. EDT, including Key West & Miami.",3,09/09/2017,/weatherchannel/status/906552826448539649
Dangerous Hurricane Maria edging closer to the Turks & Caicos with huge impacts late tonight into Friday morning.    weather.com/storms/hurrica ne/video/hurricane-maria-lashing-dominican-republic-0   …,8,09/21/2017,/weatherchannel/status/910987161599664128
"T.S. #Maria  has formed, and is the third threat to the Lesser Antilles this month. Likely to become a hurricane:    ",15,09/16/2017,/weatherchannel/status/909175459828649984
# Maria  remains a 120 mph category 3 hurricane moving towards the Turks & Caicos Islands.,3,09/21/2017,/weatherchannel/status/910972839494389761
"NEW: A #severe  t-storm watch is in effect for central IL and east-central Missouri until 10 pm CT, incl. St. Louis.",16,09/04/2017,/weatherchannel/status/904812246307676160
JUST IN: At least 42 people are reported dead after this afternoon's 7.1 magnitude #earthquake  in Mexico:    ,15,09/19/2017,/weatherchannel/status/910246076447207425
Tropical storm warnings have been expanded in North Carolina ahead of Hurricane #Maria :    ,10,09/25/2017,/weatherchannel/status/912431005146996743
Tragedy at Yosemite National Park occurred on Wednesday.  weather.com/news/weather/v ideo/one-dead-after-rock-slide-at-yosemite   …,1,09/28/2017,/weatherchannel/status/913342343738163200
It's important that those still in the path of #Irma  are prepared! Tune into The Weather Channel all day for live coverage and updates.,13,09/07/2017,/weatherchannel/status/905787074955145217
# Flash  flood emergency continues for downtown Jacksonville until 12:45 pm. Storm surge flooding near St. Johns River,2,09/11/2017,/weatherchannel/status/907226797011595264
There are indications that a La Nina may be forming in the Pacific. Could that lead to active late hurricane season.  weather.com/storms/hurrica ne/video/la-nina-could-affect-2017s-hurricane-season   …,5,09/26/2017,/weatherchannel/status/912620446041944064
Meteorologist   warns about the storm surge associated with Hurricane #Irma . Stay tuned to The Weather Channel for coverage.,2,09/09/2017,/weatherchannel/status/906577947590402048
"# Hurricane  #Irma  will spread damaging winds and heavy rain north, with major storm surge #flooding  lingering today.    ",6,09/11/2017,/weatherchannel/status/907201519769890816
"# Irma  is a Category 2 hurricane and continues to track westward, possibly impacting the Leeward Islands next week:    ",3,09/02/2017,/weatherchannel/status/904005767677714434
It's the first time we've seen 2 cat 4s make landfall in the same season.  Stay safe and stay tuned for live coverage on Hurricane #Irma,7,09/10/2017,/weatherchannel/status/906917520074002432
Hurricane #Jose  is expected to become a major hurricane - watches have been issued for parts of Leeward Islands:    ,3,09/07/2017,/weatherchannel/status/905829031014129664
JUST IN: 7.1 magnitude #earthquake  recorded southeast of Mexico City.,16,09/19/2017,/weatherchannel/status/910212899486027778
"NEW: #Hurricane  warnings are now in effect for southern Florida, with hurricane watches farther north:      #Irma",1,09/07/2017,/weatherchannel/status/906001884598624257
Category 5 Maria has devastated some of the Leeward Islands. especially Dominica.  Puerto Rico gets ready for hit.  weather.com/storms/hurrica ne/video/maria-what-you-need-to-know-1   …,16,09/19/2017,/weatherchannel/status/910231245644288001
Extremely Dangerous Hurricane Irma spinning closer to a landfall over Southern Florida.  Finalize your evacuation.   ne/video/hurricane-force-wind-forecasts-becoming-clear   …,9,09/08/2017,/weatherchannel/status/906339796003573761
Link to donate:   youcaring.com/21usvirginisla ndrelieffund-942738   …  /status/910627013496655872   …,8,09/20/2017,/weatherchannel/status/910628455171190784
# Irma  will threaten the Lesser Antilles midweek. Bahamas & U.S. East Coast should monitor the #hurricane  closely:     ,15,09/03/2017,/weatherchannel/status/904336423548944384
"# Jose  will stay offshore, but not enough to avoid bringing coastal #flooding , heavy rain, winds to the Northeast.     ",7,09/18/2017,/weatherchannel/status/909755658043400192
We are now live streaming on satellite radio. Tune in for the latest #Irma  coverage and severe weather updates.,11,09/08/2017,/weatherchannel/status/906306143433228293
"The latest on the 7.1 magnitude #earthquake  that struck about 76 miles southeast of Mexico City, via     ",15,09/19/2017,/weatherchannel/status/910216004856274946
BREAKING: Cuban state media says 10 killed by Hurricane #Irma . Caribbean death toll now 33. More:    ,15,09/11/2017,/weatherchannel/status/907239603912024064
"BREAKING: #Maria  made landfall as a Cat. 4 #hurricane  near Yabucoa, Puerto Rico. Strongest PR landfall since 1932.     ",2,09/20/2017,/weatherchannel/status/910455525589925889
