Topic,Sample Tweets
irma hurricane category storm winds mph update latest maria 10newswtsp,8 A.M. HURRICANE MARIA UPDATE | #Maria remains a Category 3 storm with 115 mph winds http:// on.wtsp.com/2jLuV6n
,
,"HURRICANE MARIA UPDATE | #Maria is now a Category 3 storm w/ 115 mph winds -- It's about 70 miles north of Punta Cana, Dominican Republic"
,
,At least 9 dead as Hurricane Maria rips through Puerto Rico http://www. wtsp.com/weather/hurric ane/hurricane-maria-weakens-to-a-category-4-storm-as-it-nears-puerto-rico/477219740 … via @10NewsWTSP
,
,Hurricane Maria makes landfall on Puerto Rico as Category 4 storm http://www. wtsp.com/weather/hurric ane/hurricane-maria-weakens-to-a-category-4-storm-as-it-nears-puerto-rico/477219740 … via @10NewsWTSP
,
,"Maria to bring 'life threatening' wind, storm surge and flooding to islands http://www. wtsp.com/weather/hurric ane/maria-intensifies-again-to-a-160-mph-storm-national-hurricane-center/476898760 … via @10NewsWTSP"
,
,"UPDATE | @NHC_Atlantic says Hurricane Maria has re-intensified to a 160 mph, Category 5 storm"
,
,Top #Irma Maria intensifies into a monster Category 5 hurricane https:// tampanews.co/hurricanemaria -now-an-extremely-dangerous-cat-5-storm-hurricane-maria/ … via @10NewsWTSP #Florida pic.twitter.com/F2nmgbUVSy
,
,How fast were Hurricane Irma's winds across Florida? http://www. wtsp.com/weather/irma/h ow-fast-were-hurricane-irmas-winds-across-florida/473307666 … via @10NewsWTSP
,
,Sunny but extremely windy today in Hillsborough county. Expect winds of 30-40 mph @10NewsWTSP #irma #hurricane #hurricaneirma pic.twitter.com/Z5Np36x9rJ
,
,"8AM #IRMA UPDATE | Now a tropical storm with 70 mph winds, pushing toward Florida/Georgia line http:// wtsp.com/live"
,
,5 AM IRMA UPDATE | Irma remains a Category 1 hurricane with winds at 75 mph -- about 60 miles north of Tampa http:// on.wtsp.com/2vO6pTC
,
