Tweet,Category
I'm from Venice & I had a hard time finding you but so glad I was able to help. God bless all of you for what you do & God Bless Key West!,0
You're by my family. Stay safe!,0
"Thanks, Joe. Hope you and your family are safe as well. God bless, man.",0
You guys and Mr. Ollie stay safe. Why didn't you guys come bk to NC to ride out the storm.... Much safer...prayers for all in FL.,0
Stay safe! God bless you all!,0
"Y'all stay safe, thinking of all you guys from here in Greensboro!",0
You guys stay safe! Miss seeing you guys in Greensboro!,0
Hope you all stay safe!,0
Thinking of all my Tampa friends and former colleagues @10NewsWTSP . Stay safe. You're in good hands with @BobbyDWeather . #IrmaFlorida,0
"Liz you and @grant_gilmore stay safe... from your friends in the Gboro, NC. We miss you both!",0
Stay safe and God bless you all.,0
Hi YaremiNEWS hope you and your family are ok over there? I'm praying for you all just sanding a prayer to you and your family,0
Hope you and your family are safe.,0
God Bless Everyone we are having gusts up to 80 lots of flooding low lying areas and lots of tornado alllooks good hope all are safe,0
Thank you & God Bless you Kristen for all that you & Team12 are doing. Sending my prayers to you and all my friends in Florida,0
I don't know you but thank you. God bless you and your family.,0
Thank you. I do appreciate all you all do ! Stay safe. Prayers for everyone with your company.,0
Stay safe and thank you for all you do,0
Stay safe YameriNEWS you and you family ok? are you stay at your house ride out the storm ?if you do I will pray for and people there,0
Reported water at Publix 195 & Lantana. Tell @Thomas_Forester I said Hi! Hope you all stay safe.,0
Thank you for your service. Officer. My thoughts and prayers are with the family and friends. God bless.,0
I'm from Venice & I had a hard time finding you but so glad I was able to help. God bless all of you for what you do & God Bless Key West!,0
You're welcome. You're awesome news reporter you're response to me was awesome. I am a Fox Family member long time.. Be safe and careful.,0
Vanessa you all work like you do not knowing what you will come home too. Bless you and the @FOX13News news crew for all you did.,0
"Bless their hearts, hope all is okay. Thoughts and prayers to you all and to all the beautiful creatures.",0
wow!! stay safe all of you there! praying for you from Israel. thank you for taking care of those angels!!!,0
How cute God bless you guys be safe,0
Thank you. God Bless you all! Prayers for Florida And all the First Responders.,0
Thank you for being #GuardianOfMotherNature and #ProtectMotherNaturesCreatures Be safe all. God bless,0
You guys are incredible. Getting you at our 'hunker down' spot up here in Orlando. Stay safe! pic.twitter.com/GQ5G8U8XXB,0
God Bless you all. Be safe !!,0
"God bless and keep you and your brood safe and know that our prayers are with all of you, furry and feathered and friends.",0
Stay safe! God bless you all!,0
