Topic,Tweets,Date,Number,Permalink
residents water safe flood power food damage area safety stay
,"No, it's for residents only.",2017-09-06,1,/MiamiBeachNews/status/905514134602747904
,"Carport of 2048 Hess, all residents are fine.",2017-09-11,1,/PascoSheriff/status/907269262066282498
,A robo-call was sent out to residents.,2017-09-13,1,/PPinesPD/status/907977473098485760
,"Maggie, we are still asking all residents - regardless of proximity to lift stations - to continue conserving water.",2017-09-19,1,/citybeautiful/status/910132686865469440
,"For residents in historic flood zones, please continue to be vigilant.  Rivers may rise though the storm has passed due to water upstream.",2017-09-11,1,/PascoSheriff/status/907191696185753600
,Some residents in the downtown area have confirmed to have power back up but several residents still do not have power.,2017-09-11,1,/CityofMiami/status/907436565164707840
,Our Jeep Unit and K9 Unit are out at the Boys &Girls Club helping residents in need of food and water. More than 2000 w/out power in area.,2017-09-13,1,/PascoSheriff/status/907996614740017152
,Officer Friendly giving water and food to RV residents along Withlacooche River in Lacoochee,2017-09-15,1,/PascoSheriff/status/908775332941062144
,"Coconut Creek residents: Refrain from water usage other than for drinking, until further notice. Many sewage pumping stations are out. #Irma",2017-09-11,1,/ReadyBroward/status/907269011171405824
,Thank you   for everything you do to keep our residents safe!  us/905440886103957507   …,2017-09-06,1,/CityofTampa/status/905447783515205633
,Yes but we are asking all residents to continue conserving water.,2017-09-16,1,/citybeautiful/status/909189970371506176
,THANK YOU to   from Pensacola who partnered with us at Southside Elem to keep residents safe during #Irma ! #PartnershipPolicing,2017-09-14,1,/SarasotaPD/status/908321471780544512
,Pasco Sheriff's Office Swift Water Recovery Team stopping in Elfers area to hand out water and food to flooded residents. #InThisTogether,2017-09-12,1,/PascoSheriff/status/907718562609090561
,Pasco Sheriff's Office Swift Water Recovery members handing out water and food to residents who cannot get out of flooded Elfers area.,2017-09-12,1,/PascoSheriff/status/907713136765136902
,Sheriff's Office Swift Water Response Team members delivering water and food in 5 ton truck to residents in Elfers area #InThisTogether,2017-09-12,1,/PascoSheriff/status/907705764806119424
,# MDPDprotecting : Midwest District officers checking on our elderly residents & providing food/water to them #MiamiDadeStrong  #IrmaRecovery,2017-09-16,1,/MiamiDadePD/status/909068114083696640
