Topic,Tweets,Date,Number,Permalink
storm hit just fpl tropical cat days lost went did
,Since the storm? UGH! What a nightmare.,2017-09-15,1,https://twitter.com/KRayWFTV/status/908886281710657538
,"Bianca Cruz,  : A majority of fatalities occur AFTER the storm.",2017-09-11,1,https://twitter.com/ESPNWestPalm/status/907357676765630464
,When storm is over,2017-09-10,1,https://twitter.com/TherealPhilBaca/status/907055393184075777
,Fukin Trump. It's all his fault. He should have colluded with Russia to move the plant before the storm...,2017-09-09,1,https://twitter.com/AdamJeffery11/status/906685425603018752
,Provider options wouldn't have helped due to magnitude of this storm. Can't you see that?,2017-09-15,1,https://twitter.com/MauriceCooley/status/908899264448929793
,Give me a break they had a thunder storm,2017-09-13,1,https://twitter.com/sharobo1/status/907994873311227905
, there are barricades on the corner of 2nd and Hubbard in Springfield from a broken hydrant. Can you grab them before the storm?,2017-09-08,1,https://twitter.com/JaxIndependent/status/906328673686638592
,Please no can't suffer another  storm.,2017-09-28,1,https://twitter.com/durpx5/status/913453352889044992
, why is Eastwood in Wellington suddenly without power now after not losing it at all during storm?,2017-09-11,1,https://twitter.com/TFK819/status/907386598593048576
, power out in Sarasota. Is it out until after the storm?,2017-09-10,1,https://twitter.com/BFWinDFW/status/906945080270913536
,What's your answer to losing power SAT b4 storm-in Delray?,2017-09-14,1,https://twitter.com/JulieMeryl09/status/908328360417390592
,We have been out in Poinciana for 30hrs! Had power during peak of storm Hmmm,2017-09-12,1,https://twitter.com/ItsStaci/status/907590259311087616
,I bet the storm director has power!,2017-09-12,1,https://twitter.com/Sherry09/status/907629442377420800
,So if the storm is slowing down can we have our power back though. Cc: ,2017-09-09,1,https://twitter.com/WesleyL10/status/906716975849725952
,Same here. Power throughout the storm!,2017-09-12,1,https://twitter.com/NikkiRossInda/status/907591323326263297
,They’re joking. The resort maintained power throughout the storm. There’s only a few rides closed due to fallen foliage and stuff.,2017-09-12,1,https://twitter.com/Onewiththecake/status/907623014581374976
,"Where are the trucks? Power during the storm, powerless after the storm.",2017-09-12,1,https://twitter.com/Obamatomic/status/907513201662861313
,Warning from  : “This is the time we see the most fatalities not pre-storm or during the storm” #Irma  snpy.tv/2wpudNj,2017-09-13,1,https://twitter.com/PoppyHarlowCNN/status/907965460091617280
,I tweeted that during the storm. No one goes out in a storm to take down boards. Well. Not a sane person. Bye,2017-09-11,1,https://twitter.com/KJphnson/status/907367960523788288
,big snow storm followed by and ice storm here in 2012 and I was without power,2017-09-15,1,https://twitter.com/justaguywa2/status/908899468635860992
,Eric Silagy is all over this storm. He rocked it for #FPL !! Total trust and faith in his leadership,2017-09-11,1,https://twitter.com/drrobritter/status/907269453972480002
, my parents had power until after storm. When repairing nearby street it was cutoff and not turned back on no storm damage,2017-09-13,1,https://twitter.com/lunanegra618/status/908034578442604545
,"No, Karlene. It's a pattern with  . They are unprofessional and unprepared. Not just during the storm.",2017-09-14,1,https://twitter.com/UF7Gator/status/908377720551297024
,"The storm surge is forecast to go inland about 7 miles, w/ 40-60 ft waves on the coast.Tenn will hv Cat 1 storm, can't fly in fuel/parts...",2017-09-07,1,https://twitter.com/WMN4SRVL/status/905993365040312320
,Same in our neighborhood. Some never lost power. Ours went out BEFORE the storm hit so they can't even blame ours on the storm!,2017-09-12,1,https://twitter.com/MoMargaret1/status/907705209379573763
,When can we anticipate your appearance in Lakes of Windermere? Power was out before the storm even hit.,2017-09-11,1,https://twitter.com/alysonleblanc/status/907317720701718529
