Topic,Tweets,Date,Number,Permalink
area outage report map update restored reported trucks crews damage
,Which area are you in?,2017-09-17 ,1,https://twitter.com/WKUsed2BAndy/status/909579410151493632
,what area,2017-09-17 ,1,https://twitter.com/MadameCupcake82/status/909495322543403008
,"Are you in the same area? If so, where?",2017-09-16 ,1,https://twitter.com/MarcFi/status/909223034321559554
,The Sasquatch is in the area. Riding a unicorn.,2017-09-16 ,1,https://twitter.com/UF7Gator/status/909147127032446977
,What area is this??,2017-09-15 ,1,https://twitter.com/CarmenStovall1/status/908734975838695424
,Area*,2017-09-14 ,1,https://twitter.com/blooddog137/status/908443001806041094
,I am. The Clermont/Four Corners area.,2017-09-13 ,1,https://twitter.com/alyssaabenson/status/908074593168097281
,What area???,2017-09-13 ,1,https://twitter.com/maoked/status/907959420323328000
,Zephyrhills and the 33542 area?,2017-09-12 ,1,https://twitter.com/vwill0217/status/907723198799777792
,"I am in citrus, beverly hill area",2017-09-12 ,1,https://twitter.com/RobinB80/status/907713511303905280
,What area,2017-09-12 ,1,https://twitter.com/LOKIPENDRAGON/status/907695347056742401
,What area is this 375k,2017-09-12 ,1,https://twitter.com/ureadyftness/status/907683332573597697
,Can you please specify where this area is located,2017-09-12 ,1,https://twitter.com/Loredanaxoxoxo/status/907666605001277440
,"Which area of UCF? I am on McCulloch 32826, residence...Still nothing here.",2017-09-12 ,1,https://twitter.com/stylo4444/status/907602148468412416
,what area?,2017-09-11 ,1,https://twitter.com/AndyRobRyan/status/907435667575263238
,Should of already been in the area,2017-09-11 ,1,https://twitter.com/biasstu21/status/907428118389866496
,So uh when they hitting the poinciana area?,2017-09-11 ,1,https://twitter.com/Alexcisfit/status/907408892233228288
,What area,2017-09-11 ,1,https://twitter.com/LRG0HARD/status/907367328660246529
,General area?,2017-09-11 ,1,https://twitter.com/whatmeansgoad/status/907430882637750274
,What area ?,2017-09-11 ,1,https://twitter.com/whatmeansgoad/status/907430090858004480
,Missin AllaPattah 33142 area,2017-09-14 ,1,https://twitter.com/DOUBLEBAY35/status/908505596730728448
,Still nothing in @marlinspark area.,2017-09-14 ,1,https://twitter.com/TurnerKnowsThat/status/908395569508483072
,Which area are you in?,2017-09-14 ,1,https://twitter.com/GroddLy/status/908213207617216512
,Not one either in my area either.,2017-09-13 ,1,https://twitter.com/JimCarlton13/status/908108985303171072
,Not in the glades area,2017-09-12 ,1,https://twitter.com/BossIsland1/status/907805843583913985
,What area?,2017-09-12 ,1,https://twitter.com/718_NELSON/status/907619561792577537
,What area are u in?,2017-09-11 ,1,https://twitter.com/luminarydaze/status/907407629189828608
,What area in Wellington,2017-09-11 ,1,https://twitter.com/lpappala/status/907391577970094080
,What about the area of 33135?,2017-09-11 ,1,https://twitter.com/yosoysterling9/status/907366180922544128
,What area?,2017-09-10 ,1,https://twitter.com/CoralSpringsPD/status/906909267986350083
,9000 though?? Area N1.,2017-09-13 ,1,https://twitter.com/justah_voice/status/908052596715388928
,in the Kernan area,2017-09-11 ,1,https://twitter.com/matthew_roselle/status/907283734453518336
,Windermere/Conroy Metrowest area...,2017-09-11 ,1,https://twitter.com/Mas5665/status/907373374539792385
,What area please? Still no power for me.,2017-09-17 ,1,https://twitter.com/tarrielle/status/909536789995638784
,He's in Juno. Wealthy area. They have power,2017-09-13 ,1,https://twitter.com/Genuinesoul88/status/908134726799589376
,Still no power in my area,2017-09-13 ,1,https://twitter.com/LionPaw305/status/907967925277130753
,@insideFPL - Is this your coverage area?,2017-09-13 ,1,https://twitter.com/rynsweurld/status/907990080492630017
,@DukeEnergy any prediction on when youll get to that area?,2017-09-12 ,1,https://twitter.com/sallyfalkow/status/907648601236656128
,@DukeEnergy curry ford and goldenrod is the area,2017-09-11 ,1,https://twitter.com/lookatnoel1/status/907376529646141440
