Tweet,Category,Date,Permalink
"1/3 We understand your frustration. Partial power may be caused by tripped breakers, a blown fuse, or damaged connections.",7,09/20/2017,/insideFPL/status/910414598683193344
We apologize for the confusion. We take restoration very seriously. The delay may be from hidden damage.,7,09/16/2017,/insideFPL/status/909078529085788162
1/3 We are continuing to determine the full extent of damage while we restore power following Hurricane Irma.,7,09/20/2017,/insideFPL/status/910380357077405696
", while we fixed the main line, localized damage on the lines/transformer may be the issue. Pls report on    ",7,09/16/2017,/insideFPL/status/909081946269077504
"3/5 Unfortunately, these repairs did not result in service being restored and is likely due to more localized damage.",7,09/19/2017,/insideFPL/status/910321363415650304
Partnering with other first responders to restore and rebuild our communities. #Irma  #FloridaStrong,7,09/11/2017,/insideFPL/status/907382001589739520
1/3 We can understand your concern for your grandmother & the other residents. We’re still working on our restoration efforts.,7,09/17/2017,/insideFPL/status/909514538751610880
We may have found damage not visible to you as crews work on issues from multiple areas. We’re working 24/7 to restore power.,7,09/16/2017,/insideFPL/status/909210395923161089
This storm is 300 miles wide. We’re beginning to feel the effects of the outer bands.,7,09/09/2017,/insideFPL/status/906524360365703168
"@ savefilez  1/3 We're sorry to hear you're out of power. As we’re restoring service, we're continuing to determine the full extent of damage.",7,09/18/2017,/insideFPL/status/909702165769441280
1/3 A huge number of wires and damaged equipment have been reported & every one of them is a concern to us.,7,09/19/2017,/insideFPL/status/910274051880488962
1/3 We’re working safely & as quickly as possible on restoration. Call 911 if you’re experiencing a life-threatening emergency.,7,09/16/2017,/insideFPL/status/909085980640112640
Stay away from flooding caused by #Irma . Don’t go out in the dark because you might not see a downed power line.    ,7,09/10/2017,/insideFPL/status/906879945321930752
"Our thoughts are with Puerto Rico, the U.S. Virgin Islands and all those recovering from #HurricaneMaria . Stay strong and stay safe.",7,09/20/2017,/insideFPL/status/910580086277013507
1/2 We apologize for disappointing you. We take restoration very seriously. The delay may be from hidden damage.,7,09/17/2017,/insideFPL/status/909607787881222145
2/3 We understand your concern for the safety of your family. Your concerns are important to us.,7,09/21/2017,/insideFPL/status/910872628642107392
2/3 We’re working 24/7 to restore power by fixing damaged equipment and may have uncovered new damage that may not be visible.,7,09/18/2017,/insideFPL/status/909709464877588480
1/4 Our restoration plan is to safely find and fix the damage that brings power to the most people in the fewest hours.,7,09/05/2017,/insideFPL/status/905215926928379904
"We want to urge safety now more than ever. Ensure that all electric appliances, especially ovens and stoves, are turned off to prevent fires",7,09/13/2017,/insideFPL/status/908124004782878720
"Posible excepciones para áreas afectadas por tornados, inundaciones severas y otras áreas de daños severos.  us/907615533784322048   …",7,09/12/2017,/insideFPL/status/907617047521189888
"# UPDATE : East Coast - estimated power restoration by end of weekend, possible exception in areas hit by tornadoes, flooding & severe damage.",7,09/12/2017,/insideFPL/status/907614779568791554
"when servicing your main line, crews may encounter damage that isn’t visible to you as they’re working in multiple locations.",7,09/18/2017,/insideFPL/status/909860829541085185
"2/4 If there is a life-threatening situation, we urge residents to call 911. To find a special needs shelter call 311.",7,09/18/2017,/insideFPL/status/909812511016353793
"3/3 Now, we are working neighborhood by neighborhood- finding unexpected damage that impact our efforts to restore service.",7,09/20/2017,/insideFPL/status/910416369069502464
Please pay attention to warnings and orders to evacuate if you live in the following counties:     ,7,09/07/2017,/insideFPL/status/905885930711605249
We’re working 24/7 to restore power by fixing damaged equipment and may have uncovered new damage that may not be visible.,7,09/20/2017,/insideFPL/status/910553105732968448
2/3 This may occur when an issue is likely due to localized damage on the lines that deliver power directly to your home.,7,09/18/2017,/insideFPL/status/909873978566758400
"Please report any fallen wires, if they pose a clear and imminent danger to you or others by calling 911 or 1-800-4OUTAGE. Thanks.",7,09/19/2017,/insideFPL/status/910350030804017153
1/2 We understand your concern in regards to your safety.,7,09/16/2017,/insideFPL/status/909079917979209728
Concerned about storm surges from #Irma ? Learn how we monitor these flood waters to help keep your lights on.    ,7,09/08/2017,/insideFPL/status/906234557690773505
"when servicing your main line, crews may encounter damage that isn’t visible to you as they’re working in multiple locations.",7,09/16/2017,/insideFPL/status/909184225231941632
", please report any fallen wires if they pose a clear and imminent danger to you or others. Call 911 or 1-800-4OUTAGE.",7,09/16/2017,/insideFPL/status/909122474251636736
2/3 Please call 911 if you're is experiencing a life-threatening emergency.,7,09/16/2017,/insideFPL/status/909157447473954816
3/4 We urge residents to call 911 if you’re experiencing a life-threatening emergency.,7,09/16/2017,/insideFPL/status/909071535587110917
"2/3 Unfortunately, these repairs did not result in your service being restored and is likely due to more localized damage.",7,09/18/2017,/insideFPL/status/909713779994308608
"2/3 Now, we are working neighborhood by neighborhood- finding unexpected damage that impact our efforts to restore your service.",7,09/20/2017,/insideFPL/status/910379736840458242
We apologize for disappointing you. We take restoration very seriously. The delay may be hidden damage. Thx for your patience,7,09/18/2017,/insideFPL/status/909785332173934592
@ MikeTurek  Please report any fallen wires if they pose a clear and imminent danger to you or others. Call 911 or 1-800-4OUTAGE. Thank you.,7,09/16/2017,/insideFPL/status/909151630033063938
"3/3 Now, we are working neighborhood by neighborhood- finding unexpected damage that impact our efforts to restore service.",7,09/20/2017,/insideFPL/status/910419644913262593
1/3 We apologize for disappointing you. We take restoration very seriously. The delay may be from hidden damage.,7,09/20/2017,/insideFPL/status/910396232077598720
"24000+ personnel are committed to restoration. Flooding, fallen structures, debris & other obstacles have impacted the speed",2,09/18/2017,/insideFPL/status/909794897913368576
2/4 Please call 911 if you’re experiencing a life-threatening emergency.,7,09/16/2017,/insideFPL/status/909117659538710528
2/3 We apologize for any confusion. There may be localized damage on lines that deliver power directly to your neighborhood.,7,09/18/2017,/insideFPL/status/909854553213947904
Our reporting systems were impacted by Irma. Please report your outage if your power is still out@   ,7,09/16/2017,/insideFPL/status/909225392564826114
2/4 We urge residents to call 911 if there is a life-threatening situation. To find a special needs shelter near you call 311.,7,09/17/2017,/insideFPL/status/909425460358066176
2/3 There may be localized damage on lines that deliver power directly to your neighborhood.,7,09/18/2017,/insideFPL/status/909773254440755200
2/3 We urge residents to call 911 if you’re experiencing a life-threatening emergency.,7,09/16/2017,/insideFPL/status/909053509819133953
"2/4 As we’re restoring power, we are fixing damaged equipment, and uncovering new damage.",7,09/17/2017,/insideFPL/status/909561356323622912
"2/4 If there is a life-threatening situation, we urge residents to call 911. To find a special needs shelter call 311.",7,09/18/2017,/insideFPL/status/909816537825120256
", please report any fallen wires if they pose a clear and imminent danger to you or others. Call 911 or 1-800-4OUTAGE.",7,09/16/2017,/insideFPL/status/909122670620495872
1/3 We apologize for disappointing you. We take restoration very seriously. The delay may be from hidden damage.,7,09/16/2017,/insideFPL/status/909153690916933634
We continue to monitor #Irma  closely and have activated our emergency response plan.    ,7,09/07/2017,/insideFPL/status/905898483579748355
3/3 We value your safety and we will do our best to respond to this matter. Thank you for your patience.,7,09/18/2017,/insideFPL/status/909953286706548736
4/4 Tree trimming will resume once the storm has passed and power is restored. Thank you.,7,09/07/2017,/insideFPL/status/905831025254785024
"Please be careful. Stay far away from flooded areas and downed power lines. If you see a downed power line, call 911 or 1-800-4OUTAGE.",7,09/09/2017,/insideFPL/status/906683799370641408
"We know it is hard to lose food after an outage. However, we’re not responsible for spoiled food from an act of nature such as hurricanes.",7,09/15/2017,/insideFPL/status/908729705569882114
2/3 We take restoration very seriously. The delay may be from hidden damage.,7,09/18/2017,/insideFPL/status/909944882160128000
"2/3 Unfortunately, these repairs did not result in your service being restored and is likely due to more localized damage.",7,09/19/2017,/insideFPL/status/910024384651415553
Please report any fallen wires if they pose a clear and imminent danger to you or others. Call 911 or 1-800-4OUTAGE.,7,09/16/2017,/insideFPL/status/909124690664402944
"1/3 We understand being w/o power is frustrating. Storm damage can affect main power lines, individual power lines or both.",7,09/19/2017,/insideFPL/status/910058129471262720
Your safety is our priority. How to identify FPL workers: -Ask for FPL photo ID badge-Trucks are marked-Never need to enter your home,7,09/10/2017,/insideFPL/status/906896890922487809
Stay away from flooding caused by #Irma . Standing water may be hiding downed power lines that could be energized and dangerous. Stay safe.,7,09/11/2017,/insideFPL/status/907337591636287489
"1/2 We understand being w/o power is frustrating. Storm damage can affect main power lines, individual power lines or both.",7,09/17/2017,/insideFPL/status/909610293713567745
2/2 Please report any wire if they pose a clear and imminent danger to you or others. Call 911 or 1-800-4OUTAGE. Thank you.,7,09/16/2017,/insideFPL/status/909080185290584064
Reminder - stay away from downed lines. Crews are working safely and as quickly as possible in Ft. Myers to fix fallen power lines & damage.,7,09/21/2017,/insideFPL/status/910949261097017344
Working around the clock. We will not rest until your lights are back on.Customers impacted: 4.4 million Customers restored: 2.5 million,7,09/13/2017,/insideFPL/status/907961948041494528
Your safety is our priority. How to identify FPL workers:- Ask for FPL photo ID badge- Trucks are marked- Never need to enter your home  atus/907653724201476096   …,7,09/12/2017,/insideFPL/status/907682169316933634
"2/2 You can view our privacy policy at     . For your safety, please stay away from the hazardous area.",7,09/29/2017,/insideFPL/status/913860684160602114
"1/2 Partial power may be caused by tripped circuit breakers, a blown fuse, or damaged connections from the building to FPL.",7,09/16/2017,/insideFPL/status/909226258684432385
