ID,Random#,Case,Account,Date,Date,Date,Time,retweets,likes,Picutre,Code #,Relevance,content,unk,directed,hashtag,geocode,source,,,
9,0.9085813543,60263,WalterAllenTV,,9/9/17,9/9/2017 0:00,12:09:00 PM,0,0,,1,1,4 more shelters opened in Sarasota Co. bringing the number to 8 @FOX13News,,@FOX13News,,9.07E+17,https://twitter.com/WalterAllenTV/status/906550034967212033,,,
14,0.3676343042,02018,10NewsWTSP,,9/4/17,9/4/2017 0:00,9:35:00 PM,3,1,,1,1,Gov. Rick Scott urges Floridians to plan for Hurricane Irma http:// on.wtsp.com/2eEWU6b pic.twitter.com/LR585JGWRm,,,,9.05E+17,https://twitter.com/10NewsWTSP/status/904880534790266880,,,
15,0.5024306892,32282,kaitryn_wetzel,,9/4/17,9/4/2017 0:00,12:59:00 PM,3,1,,1,1,"If you're an Amazon prime member, and order any hurricane supplies today, most packages will arrive by Wednesday, check ship date. @CBS12",,@CBS12,,9.05E+17,https://twitter.com/kaitryn_wetzel/status/904750810780889090,,,
36,0.5202795984,22464,FOX10News,,9/4/17,9/4/2017 0:00,11:36:00 PM,6,6,,1,1,Florida governor declares state of emergency ahead of Hurricane Irma http://www. fox10tv.com/story/36287052 /florida-governor-declares-state-of-emergency-ahead-of-hurricane-irma â€¦,,,,9.05E+17,https://twitter.com/FOX10News/status/904911114256994305,,,
65,0.8071829024,20017,Eric_Roby,,9/9/17,9/9/2017 0:00,1:41:00 PM,1,3,1,1,1,Many people are out and about like here at Lake Worth Beach before the 3 pm curfew goes into affect. @CBS12 pic.twitter.com/JNanxOqtNj,,@CBS12,,9.07E+17,https://twitter.com/Eric_Roby/status/906573208832356352,,,
77,0.6500301194,64988,WPTV,,9/8/17,9/8/2017 0:00,12:40:00 PM,6,4,1,1,1,"Grab your radio, set the station now. #hurricanepreparedness #WPTV #Staysafe #HurricaneIrma pic.twitter.com/5gW2b6RKF8",,,#hurricanepreparedness #WPTV #Staysafe #HurricaneIrma,9.06E+17,https://twitter.com/WPTV/status/906195636634210305,,,
123,0.2444917652,13985,ChristianWplg,,9/6/17,9/6/2017 0:00,11:05:00 PM,1,2,,1,1,Growing number of areas under EVACUATION ORDER #Miami #hurricaneirma2017 @WPLGLocal10 https:// twitter.com/mayorgimenez/s tatus/905607892719558656 â€¦,,@WPLGLocal10,#Miami #hurricaneirma2017,9.06E+17,https://twitter.com/ChristianWplg/status/905627954079784960,,,
226,0.8028480464,61145,WCTV,,9/6/17,9/6/2017 0:00,9:12:00 PM,3,8,,1,1,"Residents in Tallahassee, Leon County fill nearly 10,000 sand bags http://www. wctv.tv/content/news/S andbag-locations-now-open-in-Tallahassee-442908463.html â€¦",,,,9.06E+17,https://twitter.com/WCTV/status/905599710408450048,,,
270,0.6170931207,09711,BruceClaggett,,9/10/17,9/10/2017 0:00,1:32:00 AM,0,1,1,1,1,"During a 2007 tour of @10NewsWTSP in #TampaBay , I saw their room with hurricane survival suits. Prepared! #Irma pic.twitter.com/TkPjxWvXJ6",,@10NewsWTSP,#TampaBay #Irma,9.07E+17,https://twitter.com/BruceClaggett/status/906752095725928450,,,
378,0.9033918674,06572,AshleighWalters,,9/10/17,9/10/2017 0:00,4:00:00 AM,1,3,1,1,1,GET IN A SAFE SPACE if you're in Atlantis!! @WPTV #amcrew #HurrcaneIrma @WxLadyFelicia pic.twitter.com/GzbY0O02da,,@WPTV @WxLadyFelicia,#amcrew #HurrcaneIrma,9.07E+17,https://twitter.com/AshleighWalters/status/906789359042605056,,,
782,0.9377868196,64000,WPTV,,9/6/17,9/6/2017 0:00,4:40:00 PM,27,26,1,1,1,#HURRICANEHACK | Need double A batteries but you only have triple A? @SteveWeagleWPTV has a solution. #HurricaneIrma http:// bit.ly/2eGMJdC pic.twitter.com/hpKavdMD8S,,@SteveWeagleWPTV,#HURRICANEHACK #HurricaneIrma,9.06E+17,https://twitter.com/WPTV/status/905531135366713344,,,
1005,0.9904932268,27900,itsjustagorilla,,9/6/17,9/6/2017 0:00,8:49:00 AM,0,1,,1,1,"lowes, babies r us, home depot, if you cant find water use empty milk jugs and juice bottles. empty them, rinse them out, and fill them.",,,,9.05E+17,https://twitter.com/itsjustagorilla/status/905412561599942656,,,
