Tweet,Category,Code #,Subcode,Date,Permalink
7th UPS battery dead in 2 years. All I can do now is watch my puters get fried from @insideFPL spikes and outages. #thanks #FPL #power,9,0,,9/2/2017,https://twitter.com/WhyLieNews/status/903999168603140102
Don't bother. I don't want your phony prayers.,15,0,,9/5/2017,https://twitter.com/gieneh52/status/905225180636696580
• Connect appliances directly to it. • Adhere to manufacturer’s safety guidelines when operating a portable generator.,0,0,,9/8/2017,https://twitter.com/CityCoralGables/status/906241291981377536
"Gee, ya think? @floridapsc why do you let @insideFPL @TampaElectric @GulfPower burn so much #coal ? #FL : 0.5% #solar , pathetic, tragic https:// twitter.com/MSNBC/status/9 06353340430393345 …",9,0,,9/8/2017,https://twitter.com/laplacanancy/status/906356477400674304
"sheesh, you have damage?",0,0,,9/9/2017,https://twitter.com/UNONOIR/status/906687176116772865
#hollywoodfl #irma #hurricane #hurricaneirma #news #florida #weather #electricity #palmtrees #palmtree #windy #windgusts #fpl @insideFPL #fl pic.twitter.com/jyJi2W146p,3,0,,9/9/2017,https://twitter.com/Fithopefoodie/status/906572248382889989
It is possible for safety reasons.,9,0,,9/9/2017,https://twitter.com/rpmusa1/status/906706102607400965
"You mean this is missing from someone's disaster plan? Tell me something Little Marco, should you or Donnie one not be able to get diesel?",5,0,,9/10/2017,https://twitter.com/NateInPhilly/status/907064014353698816
"First responders, EMC crews, and LEO's are exempt",3,0,,9/11/2017,https://twitter.com/IamD36/status/907400621401223168
And damage at the house?,3,0,,9/11/2017,https://twitter.com/stunningrayguns/status/907223042299879426
"Seriously, what's your zip. Trying to make sense of this attack plan they have.",0,0,,9/12/2017,https://twitter.com/____E_C____/status/907759318581301248
Thanks. I evacuated and need ample time to settle back to Miami.,0,0,,9/12/2017,https://twitter.com/zeeluvs/status/907699447836135427
This must be your first time expierencing a natural disaster of this scale.,0,0,,9/12/2017,https://twitter.com/YanniFan/status/907683191305261057
"Thanks and she is my Goddaughter, the only daughter I have!! Love her to death, thanks again friend, the info you passed is important to me!",0,0,,9/12/2017,https://twitter.com/lex31555/status/907679819281956864
#hurricaneimra . @insideFPL pic.twitter.com/CkL7eMOsEN,0,0,,9/12/2017,https://twitter.com/JAGregorisch/status/907660228212219904
I think they were staging at Gulfstream.,0,0,,9/12/2017,https://twitter.com/JohnHoumes/status/907642407499563008
"...Linda, it's tragic.",0,0,,9/12/2017,https://twitter.com/RevJets/status/907455022853697536
http:// floridadisaster.org/info/outage_re ports/latest.pdf …,0,0,,9/12/2017,https://twitter.com/ArekSarkissian/status/907811410461241344
"Took almost 48 hours to assess the damage, which in my case, you caused.. @realDonaldTrump break up monopolies, before they kill more of us.",14,0,,9/12/2017,https://twitter.com/MernWallace/status/907707551256645632
A 2% workforce compared to the number of ppl affected is irresponsible and unacceptable in 2017. You all haven't done shit.,15,0,,9/12/2017,https://twitter.com/MisterMonopoly_/status/907773601855795201
"Using Chrome ""Request desktop site"" and you'll be able to change to locations instead of counties. It still says ""Assessing damage"" though.",15,0,,9/12/2017,https://twitter.com/StormsBruin/status/907693373888352256
It's every county! They are milking the tax relief funds!!!,0,0,,9/13/2017,https://twitter.com/hiddensandbar/status/908166525059727360
Thanks @insidefpl #hurricaneirma #airconditioning https://www. instagram.com/p/BZALiJ6gnGe/,0,0,,9/13/2017,https://twitter.com/LAG323/status/908138722444668928
I love your place! (Minus all the destruction of course ),0,0,,9/13/2017,https://twitter.com/mamajello/status/908112595600723969
"thank you sir, older residents with health issues",0,0,,9/13/2017,https://twitter.com/JIBCAMERA/status/908087434881241088
"Fuckkkkk, i wanna watch you stream!!",0,0,,9/13/2017,https://twitter.com/daanhoek18/status/908065320887255042
"After Wilma, 3 weeks. Only 3 days so far in largest storm in history.",0,0,,9/13/2017,https://twitter.com/jcapulet301/status/908024285670801408
Omfg death,0,0,,9/13/2017,https://twitter.com/osnapsteff/status/907972719010041856
Disaster relief funds from the federal government is one,0,0,,9/15/2017,https://twitter.com/BLFJr74/status/908662485015777280
"It is ""not an emergency."",,,,""908767337310015489",1,0,,9/15/2017,
Ahhhh!! And there's the first little butthurt Hillary soldier! Go take your meds snowflake.. grown ups in charge now..,2,0,,9/15/2017,https://twitter.com/sandschance/status/908709935130791936
So you're going to negatively affect others lives cause you're being negatively affected? Weak.,2,0,,9/15/2017,https://twitter.com/KatyriaDenegri/status/908864074540355586
http://www. miaminewtimes.com/news/city-of-c oral-gables-threatens-to-sue-fpl-over-hurricane-irma-power-outages-9674026 …,3,0,,9/15/2017,https://twitter.com/Whiskey_Knightz/status/908867723328999424
http://www. miaminewtimes.com/news/city-of-c oral-gables-threatens-to-sue-fpl-over-hurricane-irma-power-outages-9674026 …,3,0,,9/15/2017,https://twitter.com/Whiskey_Knightz/status/908863147762741248
http://www. miaminewtimes.com/news/miami-fru strated-with-fpl-after-hurricane-irma-9666311 …,3,0,,9/15/2017,https://twitter.com/luaciego/status/908716787243651077
https://www. nbcnews.com/nightly-news/v ideo/new-details-emerge-on-florida-nursing-home-deaths-during-1046979651793 …,3,0,,9/15/2017,https://twitter.com/Not_Aimee/status/908706084734603264
Not a chance in hell. prepare for the shitstorm at 12:01.,4,0,,9/15/2017,https://twitter.com/dirtyarcade/status/908871039731585024
Bin Laden isn't dead. He is alive and well living in Saudi Arabia.,5,0,,9/15/2017,https://twitter.com/rickdixon_97071/status/908552413648265217
They pulled that bullshit at my job as well. Said it was the first they heard of it. It literally resulted in an electrocution death.,0,0,,9/16/2017,https://twitter.com/XanderRich/status/909103044142485504
#Irma #hurricaneirma #nopower #dukeenergy @DukeEnergy https:// twitter.com/madisonkoesler /status/909087435853791233 …,0,0,,9/16/2017,https://twitter.com/MadisonKoesler/status/909089831300599808
"...nights self imposed deadline was ""extended",0,0,,9/16/2017,9.09E+17
im dead,0,0,,9/16/2017,https://twitter.com/imnkys/status/909067289567399937
This one is the most reliable. Updates a bit sporadically. Generally every hour or 2 though. http://www. floridadisaster.org/info/outage_re ports/latest.pdf …,0,0,,9/16/2017,https://twitter.com/ItsNoxbrand/status/909053705995145217
"you do realize the point of that tweet was how the mall ISNT critical infrastructure or first responders, right?",0,0,,9/16/2017,https://twitter.com/ColonelMD3/status/909053261054971904
That's not a fair comparison. I am retired military. I do think they do give a little more than the stock boy at Walmart!,0,0,,9/16/2017,https://twitter.com/MacParkBobo/status/909025012866322432
Zoom must be on full blast.,0,0,,9/16/2017,https://twitter.com/UF7Gator/status/908917398794842113
We want answers!!!! http://www. miaminewtimes.com/news/miami-fru strated-with-fpl-after-hurricane-irma-9666311 …,3,0,,9/16/2017,https://twitter.com/theiceman1729/status/909225663332257792
http://www. miaminewtimes.com/news/miami-fru strated-with-fpl-after-hurricane-irma-9666311 …,3,0,,9/16/2017,https://twitter.com/LJSECU/status/909064427084877824
He is 21-yrs old today! @DukeEnergy that's 9-yrs. without his Dad! I think the coal Ash had something to do with his death! #coalash pic.twitter.com/wtYXYIlZfH,8,0,,9/16/2017,https://twitter.com/Baker8574/status/909091224656728064
I aint callin dem hoes!! Im liable to get 5-0 sent to the house for terroristic threats... That shit is crazy,9,0,,9/17/2017,https://twitter.com/TerranceX1/status/909396440484663296
Groups slam @DukeEnergy over #coalash emergency planning. @Earthjustice @kftc @HEC_ED http://www. courier-journal.com/story/tech/sci ence/environment/2017/09/20/coal-ash-risks-secret-duke-energy-lawsuit/685125001/ … via @courierjournal,8,0,,9/20/2017,https://twitter.com/jbruggers/status/910568989998419973
Under Trump ..only Monkeys are getting rescued these days ..,15,0,,9/20/2017,https://twitter.com/Sid_soothsayer/status/910548866306641920
20k impressions so far. Follow them deadlines lmao,0,0,,9/21/2017,https://twitter.com/RequiemSlaps/status/911067438950776837
Ford Elementary students in Laurens are having a blast learning about energy efficiency thanks to @DukeEnergy pic.twitter.com/2gljYZCRzD,0,0,,9/21/2017,https://twitter.com/mawmawem/status/910931759113568257
#CoalAsh #pollution #environment @DukeEnergy http://www. ncpolicywatch.com/2017/09/21/tri ed-get-duke-energys-secret-flood-maps-stonewalled/ …,0,0,,9/21/2017,https://twitter.com/clate2001/status/910866295528263680
What’s your secret sauce to #STEM events? Great clients are ours! Thanks @NewsfromJEA @GRU4U http:// ow.ly/grfI30fmhqk pic.twitter.com/niYo1z8wQI,8,0,,9/22/2017,https://twitter.com/ch2m/status/911388428209713152
What’s your secret sauce to #STEM events? Great clients are ours! Thanks @NewsfromJEA @GRU4U http:// ow.ly/grfI30fmhqk pic.twitter.com/niYo1z8wQI,8,0,,9/22/2017,https://twitter.com/ch2m/status/911388428209713152
"@DukeEnergy seems to be the only company whose taking advantage of their customers who are affected by Irma, just opened my bill, $1,000!?",3,0,,9/25/2017,https://twitter.com/musser_benson/status/912335531832483840
Thanks @CoverTechSales anything to keep safety the top priority!,0,0,,9/26/2017,https://twitter.com/CascoTools/status/912670580851265536
@DukeEnergy foundation #bigcheck supports @LakeGwoodSC bike/walk trail project volunteers @ConnectLakeGWD . Thanks guys! #loveourlake #lake pic.twitter.com/jPGC74NuYO,0,0,,9/26/2017,https://twitter.com/TheoLane13/status/912812215782297600
"#NC protesters stopping #ratehike for @DukeEnergy 's #coal ash cleanup. Duke polluted #water . They pay, not residents https:// twitter.com/i/moments/9127 41630704308225 …",0,0,,9/26/2017,https://twitter.com/Voda_Foundation/status/912762554119725057
"Wow, first #FlintWaterCrisis , & now #NCWaterCrisis ! Gov't & @DukeEnergy are creating environmental disasters. Time to thank @GOP & #Kochs . https:// twitter.com/amyrbrown12_am y/status/894375531357106176 …",0,0,,9/26/2017,https://twitter.com/RBHamerica/status/912747658502008832
"@DukeEnergy , this isn't good business, nor is it ok. Stand up against gov't & corporate environmental disasters. #Indivisible #NorthCarolina https:// twitter.com/NCConservation /status/907991347663175685 …",0,0,,9/26/2017,https://twitter.com/RBHamerica/status/912745066279591936
We are pleased that @DukeEnergy now says it will comply with the law & provide required emergency toxic spill info http:// bit.ly/2xyYhbl,0,0,,9/26/2017,https://twitter.com/Waterkeeper/status/912708359081644034
Updates every Tuesday! https://www. cascotoolsblog.com/single-post/20 17/09/26/HURRICANE-IRMA-THE-MARK-SHE-LEFT-BEHIND … Get informed on @CascoTools blog or @insideFPL #Construction #hurricanirma #FPL #safety pic.twitter.com/wSqBf2D4bk,1,0,,9/26/2017,https://twitter.com/CascoTools/status/912669011401412609
". @NewsfromJEA As #North Korea threatens #electromagneticpulse attack, questions over lapses in US grid security rise http:// fxn.ws/2wSN03x",1,0,,9/26/2017,https://twitter.com/AirSeaTravel/status/912618768710463488
@DukeEnergy needs to really THINK about who they put in the public eye at events that represent their company!!!! Their attorney was a JERK! pic.twitter.com/9UUZRbtRXj,1,0,,9/26/2017,https://twitter.com/nutgraham/status/912863232267886592
No thanks! I know their answer already! It is my tough luck we had a hurricane and I better not be late on my bill.,2,0,,9/26/2017,https://twitter.com/kmel69/status/912775370805522432
POWER OUTAGE. My place and entire block no service. Are you impacted #Cincinnati OTR/West End. @DukeEnergy,2,0,,9/26/2017,https://twitter.com/ScottFordTVGuy/status/912721188526411776
. @DukeEnergy reports some 37 customers affected with a power restoration time of 3 p.m.,2,0,,9/26/2017,https://twitter.com/10NewsWTSP/status/912685186072170498
Great Falls needs volunteers for next Riversweep on Nov 4th @CRFRiverkeeper @DukeEnergy http://www. thelancasternews.com/content/great- falls-needs-volunteers-next-riversweep-nov-4#.WcpWeqDs2J0.twitter …,2,0,,9/26/2017,https://twitter.com/PalmettoPride/status/912671068875259905
@insideFPL I hope everyone at FPL is ready and prepared for Hurricane Irma! #hurricaneirma2017,3,1,,9/4/2017,https://twitter.com/AjetCruz/status/904900708167811072
Hurricane Irma is now a Category 4. Florida has declared a state of emergency. Be Safe and have a plan! http:// bit.ly/2tt5ebx @KUAdirect pic.twitter.com/XaUOEwEoqh,3,1,,9/4/2017,https://twitter.com/positiveosceola/status/904910746932404226
Dear @insideFPL I let you know last week about these lines. You said safety is number 1. Have you checked the weather? pic.twitter.com/p2PFnqzL7N,0,1,,9/5/2017,https://twitter.com/Pappy_FC/status/905177060888518661
Just published on http:// LkldNow.com : A guest post by @mylkldelectric about hurricane planning. https://www. lkldnow.com/make-plan-prep are-family-hurricane/ … #lkld pic.twitter.com/XzDqZdkX59,3,1,,9/5/2017,https://twitter.com/lkldnow/status/905043324377157636
"Re storm preparartion: After 2004 hurricanes, @mylkldelectric replaced a lot of wooden utility poles with metal, @HowardWiggs says. #lkld",9,1,,9/5/2017,https://twitter.com/lkldnow/status/905054676667822080
"@insideFPL hope y'all ready for this hurricane bc Sunday is football Sunday, so let's have truck ready to deploy",13,1,,9/5/2017,https://twitter.com/sozaa_/status/905245457403826176
@insideFPL storm won't be over volusia county long so 6 hours better start restoring it power #nolazy #beontime #beready,2,1,,9/6/2017,https://twitter.com/JEFFGORDON5/status/905603384656396288
@insideFPL @BrowardCounty Imma let yall know the power BETTER BE ON the day after the hurricane i need my microwave to make food,2,1,,9/6/2017,https://twitter.com/julian_wavvy/status/905434857333022721
"@insideFPL mobilizes workers against #HurricaneIrma , starts 24-hour storm watchL https:// hubs.ly/H08yKNq0 #BCDR #BusinessContinuity",2,1,,9/6/2017,https://twitter.com/MADICORP/status/905421234724319232
FPL: St. Lucie #nuclear power plant would weather a flooding storm like #Harvey @insideFPL @nexteraenergy http:// bit.ly/2j4I9Ld,12,1,,9/6/2017,https://twitter.com/NEI/status/905551378961063936
Models say #Irma could make landfall at #TurkeyPoint . Probably not a good idea to have 1000s of ppl there. 40 ft waves etc @DrHCaldicott,0,1,,9/7/2017,https://twitter.com/WMN4SRVL/status/905992381304107008
@polkemergency is maintaining their Sandbag Fill Sites page here: http://www. polk-county.net/emergency-mana gement/sandbag-fill-sites …,0,1,,9/7/2017,https://twitter.com/lakelandgov/status/905892210494898180
"What does that mean in terms of #TurkeyPoint ? 185 mph winds at landfall okay? 40-60 ft waves, check? Extra fuel for generators for how long?",1,1,,9/7/2017,https://twitter.com/WMN4SRVL/status/905991920245198848
. @insideFPL We will safely shut down nuclear plants ahead of this hurricane force.,2,1,,9/7/2017,https://twitter.com/CBS12/status/905817865839890438
"""This is a major storm not to be played with.""- @insideFPL #hurricaneirma2017 #FLPrepares pic.twitter.com/EmhOfBDdES",2,1,,9/7/2017,https://twitter.com/ThomasDBradley/status/905817342768279553
"""We are ready for Hurricane Irma. This is a massive storm but we are ready."" @insideFPL @WPBF25News pic.twitter.com/JvHypOV84i",2,1,,9/7/2017,https://twitter.com/wpbf_sanika/status/905816082715435011
