Tweet,Code,Sub-Code,Date,Permalink,,
MobileBaySierraClub mtg 2night @6:30 @5RiversDelta ! @FOX10News investigative reporter @KatiWeis will share her environmental investigations pic.twitter.com/gQnqdv9cBt,0,,09/05/2017,https://twitter.com/alabamacoastal/status/905101936910786560,,
City council passes budget w/ amendments just 2 days before deadline. Big raises for MFRD and city employees. Numbers tonight on @FOX10News,0,,09/29/2017,https://twitter.com/AlexaMKnowles/status/913900071757938688,,
"Moore showed his gun to the crowd at rally to prove he supports the 2nd amendment, the focus of attacks Strange made in TV ads. @FOX10News",0,,09/25/2017,https://twitter.com/AlexaMKnowles/status/912505358538739712,,
The calm before the storm. @FOX10News pic.twitter.com/PLqVMs7OVc,0,,09/08/2017,https://twitter.com/BriMacNaught/status/906272092362039296,,
"One thing I do know coming against what God ordain is destruction,can you assure me that State regulation will stop this type tragedy again",0,,09/20/2017,https://twitter.com/cassie18365/status/910666783387934720,,
2/2 Two active warrants for two counts of possession of a weapon by a convicted felon & aggravated assault with a deadly weapon.,0,,09/05/2017,https://twitter.com/ECSONews/status/905145539385319424,,
"No children injured from the bus, @ALLAWENF @team_sheriff & MCPSS Transportation on scene. @NBC15News @FOX10News @WKRG pic.twitter.com/srilpjMvcf",0,,09/19/2017,https://twitter.com/GrandBayFire/status/910127268239937536,,
@FOX10News Is it legal to show the faces of the 2 juveniles being arrested before they have been tried & found guilty of the crime?,0,,09/23/2017,https://twitter.com/IamAMDavis/status/911723021009907712,,
"And another 20,000 on the @FOX10News stream! #BenAtBerkeley pic.twitter.com/GEutUImDK3",0,,09/14/2017,https://twitter.com/JonnyZapatones/status/908515287372267520,,
Court testimony reveals new details in #daycare death http://www. fox10tv.com/story/36446717 /mobile-woman-facing-manslaughter-charge-in-day-care-death-scheduled-for-preliminary-hearing … (Via @FOX10News ),0,,09/26/2017,https://twitter.com/KatiWeis/status/912720025890541575,,
@FOX10News your scroll is wrong. 490+ ILLEGAL ALIENS were rounded up and arrested by ICE not immigrants.,0,,09/29/2017,https://twitter.com/Lakota07/status/913877687277637632,,
"Right now, @Equifax would only say if you may NOT be impacted.. not whether you are. Check this link: https:// trustedidpremier.com/eligibility/el igibility.html …",0,,09/08/2017,https://twitter.com/Linh_oi/status/906100310363566080,,
Jogger attacked by dogs in Gulf Shores @FOX10News @dogs bite (I was attacked by pit bull last yr. I carry Glock now) http://www. fox10tv.com/story/36266973 /jogger-attacked-by-dogs …,0,,09/02/2017,https://twitter.com/mozartplayer/status/904059670914101249,,
look at my son DT #21 trey Moore @young_cannon20 and look at ksat12 footage of the Cuervo gobblers and how good they all did,0,,09/16/2017,https://twitter.com/mzdiishai/status/909181606698549248,,
@SenJohnMcCain you are a true American hero sir-thank you I am praying,0,,09/25/2017,https://twitter.com/obsodapopshop/status/912437471966846976,,
"Autopsy finds 12 year old Naomi Jones' death homicide violence of undetermined means"" -> Robert Howard charged with her murder. @FOX10News pic.twitter.com/NOP4hcrcx4""",0,,09/21/2017,https://twitter.com/SarahWallFox10/status/910834888835833856,,
American Motors car dealership says it's offering a $500 reward for info leading to return of dozens of stolen car titles. @FOX10News pic.twitter.com/4gXziftEms,0,,09/19/2017,https://twitter.com/SarahWallFox10/status/910113043031429120,,
"Wednesday, Governor’s Job Fair 9/6 with 95+ companies http:// cfec.org/job-fairs #Orlando @Wesh @Fox35news @Orlandoevents @OrlandoFLnews pic.twitter.com/kLCOQ1Kd5M",0,,09/04/2017,https://twitter.com/CFECorg/status/904748157103480832,,
"We need an alternative to Facebook. They collude with Russia, racists, and anti-American domestic terrorists.",0,,09/28/2017,https://twitter.com/dunlap_marcy/status/913529315668709377,,
The owner of the radio staton near the pier says he's been inundated with questions about the pier. @WESH pic.twitter.com/EzLteueT2r,0,,09/26/2017,https://twitter.com/gpbwesh/status/912787270461263878,,
"We did not drop them. They are airing on 28.2. Contact Spectrum for streaming alternatives, or check here: http://www. spectrum.net/support/tv/spe ctrum-tv-stream/ …",0,,09/09/2017,https://twitter.com/abcactionnews/status/906677923180109825,,
"We should all raise money 2 Put a STATUE OF TIM Mcveigh in Oklahoma,city for the residents can remember their HISTORY",0,,09/07/2017,https://twitter.com/FlowerGirlVee/status/905868793611681793,,
"Well, if I got into this business for anything, it was to go on goose chases and unflinchingly record second-hand accounts of events.",0,,09/20/2017,https://twitter.com/NateMonroeTU/status/910581927559794689,,
NEW INFO: Sources tell @wplglocal10 some #sonic #device #attacks took place inside #US #Embassy in #Cuba http:// bit.ly/2fk9Oms,0,,09/25/2017,https://twitter.com/hatzelvela/status/912288156917125122,,
Ankle deep storm surge is not 13 feet,0,,09/10/2017,https://twitter.com/jrpollo/status/906928165142110208,,
@WPLGLocal10 so glad U catch this on tape and some got arrested. Now hoping they R prosecuted to the MAX. https:// twitter.com/WPLGLocal10/st atus/906958747322519562 …,0,,09/10/2017,https://twitter.com/LasherInc/status/907036014115508224,,
This is life and death Crisis Going On Here.,0,,09/07/2017,https://twitter.com/marieaurelus67/status/905829984551534592,,
"And they probably say We didn't have enough warning."" Hope they catch and make them pay back every cent""",0,,09/10/2017,https://twitter.com/OurSugarGliders/status/906965694562136064,,
THOUGHTS & PRAYERS for the 3 men injured when this scaffolding collapsed while working on the @WPLGLocal10 @wsvn broadcast tower pic.twitter.com/J4Qyt4eOKs,0,,09/27/2017,https://twitter.com/RossPalombo/status/913137417561010177,,
"When Adelphia used to service your city, I did tech support for them. Those residents were some of the WORST customers I ever dealt with.",0,,09/10/2017,https://twitter.com/grilledcheez/status/906743056791203841,,
"NEXT at 6:00 -- Children of #LakeWorth mom murdered in 1987, react after suspect dodges death penalty. http:// bit.ly/2fzxUdN @WPTV pic.twitter.com/XGGWCaTiBB",0,,09/19/2017,https://twitter.com/MerrisBadcock/status/910261223786196997,,
"As long as she didn't get drenched, it is very cool. As long as people get hurt, I love watching rain storms.",0,,09/20/2017,https://twitter.com/jstil2be/status/910623309468925959,,
NOW: @SenBillNelson is @BrevardEOC - news conference starts in 15 min. We will live stream @news6wkmg http:// clickorlando.com pic.twitter.com/gUVGuGyAsb,0,,09/08/2017,https://twitter.com/NadeenNews6/status/906212044617207816,,
