Order,ID,Tweet,Date,Permalink,Category,Unrelated,Manual Coding,Informative?
1,12963,I don't even know why my power went out it wasn't even that bad here,2017-09-11,https://twitter.com/LukaSlatner29/status/907202148181708800,2,,2,
2,13096,Sweating worse than a day at Disney. #hurricaneimra #nopower #sweatshop #ineedAC #disney #florida #hurricane,2017-09-11,https://twitter.com/MommaTig313/status/907124236510269441,2,,2,
3,13430,"miami gardens, florida 33056 ! we need power !!",2017-09-10,https://twitter.com/1rxchprincesss/status/907037412198666240,2,,4,1
4,7138,how is it that 50blks of us has power except for my block???? We have special needs we've called & FPL doesn't care WTF!!!!!!,2017-09-13,https://twitter.com/RayneriRuben/status/908081013301051392,2,,2,1
5,10540,Still no power but good to see some of the houses around me with electricity. #sliverofhope #hurricaneirma,2017-09-12,https://twitter.com/amarysmarine/status/907602789290926081,2,,2,1
6,20783,Just want to give you guys some hope. My family lives in Parkstone off 434 and got power a few hours ago. Hang in there!,2017-09-14,https://twitter.com/GeeCee443/status/908528383864295424,2,,5,
7,1396,"We just lost power for our whole block. Wth  ? If I have to throw out anything in my fridge we just filled up, Iâll be very upset.",2017-09-19,https://twitter.com/AlvarezImages/status/910316268900712449,2,,2,1
8,1112,I've been patient  but its DAY 12 WITHOUT POWER & my family is struggling!!! Please help!!!!,2017-09-21,https://twitter.com/SariMartin/status/910923476176863232,2,,2,1
9,6155,Your app is BS. See trucks driving by our neighborhood none stop to repair the 145 homes you say don't have power.,2017-09-14,https://twitter.com/rangerG75/status/908341687860252672,2,,1,1
10,12936,Thanks  for restoring my power within hours of it going out! #HurricaneIrma,2017-09-11,https://twitter.com/zachr99/status/907210413556813824,2,,6,
11,21833,how come when I report my issue with you guys about my power being out do you guys tell me there is no outages when there is.,2017-09-14,https://twitter.com/UberMcNasty/status/908345866616033282,2,,2,1
12,5801,"Yay, I hope you all get the help you need. Hurricane victims are in my prayers.",2017-09-14,https://twitter.com/JadeStonegrl/status/908409422149328896,2,,5,
13,26779,"We can understand Naples. I am in Dr Phillips, Orange County! There is barely any significant damage, yet they are still ""assessing"". Joke!",2017-09-11,https://twitter.com/rafacalta/status/907428275370250240,2,,2,1
14,2798,fyi. Reporting might be off. Website states we have electric but our entire complex 86 units still has no power,2017-09-17,https://twitter.com/MahoneyWilliam/status/909407643214782466,2,,8,1
15,16167,"âDefend the sacred,â âwater is life,â âpeople over profits,â âUtilities Commissioners, do you hear us?â all chanted ahead of the meeting.",2017-09-27,https://twitter.com/DillonDavis/status/913164885558689793,2,,1,
16,6764,where my electricity at,2017-09-13,https://twitter.com/pingadebebe/status/908136068310073344,2,,2,1
17,4940,"FakeNews: #indicate damage that needs long repairs, instead of misinfo volunteer  until power restored #sharingiscaring",2017-09-15,https://twitter.com/LCECSWFL/status/908671884300038144,2,,5,
18,26406,CAN YALL GIVE US POWER DAMMIT,2017-09-12,https://twitter.com/too_far_jafar/status/907560838432780288,2,,2,1
19,9061,52 hours without power,2017-09-12,https://twitter.com/theenergylab/status/907755453333082118,2,,2,1
20,27931,Official with  says 500 workers will be coming to Pinellas County today to help restore power,2017-09-11,https://twitter.com/MitchEPerry/status/907268264014872576,2,,8,1
21,12257,This is ridiculous everybody around us has power ! But we don't people have power next development over we don't fix this .,2017-09-11,https://twitter.com/redcmonster/status/907336679337414656,2,,2,1
22,27455,My mom is Pinellas park and she told me she just got power. I'm hopeful,2017-09-11,https://twitter.com/alwayz_laffin/status/907358272419713024,2,,5,1
23,23520,Give me a break they had a thunder storm,2017-09-13,https://twitter.com/sharobo1/status/907994873311227905,2,,1,
24,17949,Good thing it sprinkled in Largo now you can blame the weather insteam of your lying,2017-09-16,https://twitter.com/TomBoyko2/status/909247569401929730,2,,1,
25,8414,our neighborhood has most house with power except two blocks please help on 67th street SW 156th Court. No restoration date!,2017-09-13,https://twitter.com/YulisaYosmi/status/907849514027028483,2,,4,1
26,4291,"Stop fighting solar! We could be ok if we had solar panels! Day 6 NO POWER, no damage, no flooding! 33919",2017-09-15,https://twitter.com/careerfed/status/908835586559049734,1,,1,1
27,7853,FYI technician came by and they said the crossbox has no power. So you contact  to get it fixed or do I?,2017-09-13,https://twitter.com/TracySingian/status/907984992168562688,2,,4,1
28,26422,how about some positive news? Tell us how many have gotten power restored! Give people some hope!,2017-09-12,https://twitter.com/georgecarl1955/status/907556787167035398,2,,2,
29,16484,putting Vegas over/under odds on if you get my power back on by 11pm I'm going with the over,2017-09-19,https://twitter.com/SooksLucci/status/910118173214756864,2,,2,1
30,457,Still nothing as of 9/18  :30am. And I'm not in the major damage areas. What's going on?,2017-09-18,https://twitter.com/Jessica01591861/status/909740109347610624,2,,1,
31,7789,Just got mine back. Praying for a quick restoration to all still with no power. We need better system  .,2017-09-13,https://twitter.com/cariocazz/status/907992838197202946,2,,5,1
32,2020,"Lamenting lack of power, cable or internet, as if somehow special snowflakes are ignored on purpose, is irresponsible entitlement nonsense",2017-09-18,https://twitter.com/dsmart/status/909854010898894848,2,,1,
33,3877," can you do something regarding my power? It's been 8 days w/o it.  trucks pass by my street to ""see"" but don't fix!!",2017-09-16,https://twitter.com/xomariiiaox/status/908994488223326210,2,,2,1
34,5017,I have been without power since Saturday night and the entire neighborhood got power but not the block where I live at.,2017-09-15,https://twitter.com/gmart220/status/908651937805062144,2,,2,1
35,14080,Not a drop of rain or a squall. Our windows are open because of how hot it is without power and yet here we are 4 hrs no power.,2017-09-09,https://twitter.com/I_Nikki_I/status/906592468719808512,2,,1,
36,24131,Sleeping naked and afraid tonight since we still ain't got any power smh  y'all needa tighten up,2017-09-12,https://twitter.com/don_jon3/status/907809273140445185,2,,2,
37,12833,"Ok,  We're ready to have the power back.",2017-09-11,https://twitter.com/orlandolocal/status/907232331441819648,2,,2,
38,11842," question I have limited power in my house, is that part of the restoration process of power? Thanking you in advance.",2017-09-11,https://twitter.com/lundun16/status/907388774727987200,2,,2,1
39,19374,"I say storm the Bastille, drag the King out from his palace, and start Robespierre-ing some fuckers",2017-09-15,https://twitter.com/ColonelMD3/status/908888098670612480,2,1,,
40,7319,Repair trucks have came and gone and left many of my neighbors and myself without power ?,2017-09-13,https://twitter.com/Stryker305gi/status/908051062992580610,2,,2,1
41,15135," Power is out now at Delaney park, 614 Florida Street",2017-09-10,https://twitter.com/tsmdkf/status/907020729413259270,2,,8,1
42,8525,My power was on for about 5 seconds. Bless  for working hard.,2017-09-13,https://twitter.com/Beau_dian/status/907816789312237568,6,,6,
43,15824,"And your pets, they'll get sick too, or bring it back into where they're living boil everybody's water be safe",2017-09-12,https://twitter.com/japh92363/status/907565372005425153,2,,5,1
44,11719,thank u so much!! amazing work ! i got power this am. yall killed it,2017-09-11,https://twitter.com/joecolpi/status/907399415551361024,6,,6,
45,24848,Best part about getting off of work soon?? Apparently I'm going home to a house with power!!!!!! Thanks  !!!,2017-09-12,https://twitter.com/MrsTimTebow13/status/907727091344457731,2,,6,1
46,4783,"In 04' trees were down everywhere in my city, power back in 3 days. This time no trees down, and going on a week with no power.",2017-09-15,https://twitter.com/EasyBreezy82/status/908709390177456128,2,,1,
47,13224,"Yeah, he's been so busy passing no bills he can't find time to help constituents facing a med. emergency. It's Obama's and her emails fault.",2017-09-10,https://twitter.com/ClatisC/status/907079092436172800,2,1,,
48,626,any idea when they will be resetting the breakers on Lake Miriam Dr. It would restore power to a lot of homes.,2017-09-13,https://twitter.com/KirbyEllis1948/status/908003125835034625,2,,4,1
49,25983,We came home this morning to find electricity! Thank you so much for the speedy recovery! Thanks  for hard work after storm!,2017-09-12,https://twitter.com/SamuelChayanne/status/907608210554703873,6,,6,
50,1131,now I'm sure FPL will do what you promised after hurricane Wilma! u had 12 years & did very little. even pro active tree trimming stopped.,2017-09-21,https://twitter.com/mrlovely954/status/910887099783577601,2,,1,1
51,21488,"Thank you, still waiting on power with a lot of elderly in my neighborhood!! #FL #Irma #maitland",2017-09-14,https://twitter.com/MelissaMHH/status/908411593507196931,6,,4,
52,1386,is it possible for you guys to get your shit together? Obviously not. Only had power back for a couple days. Now we're out again,2017-09-19,https://twitter.com/WDMHAIR/status/910322988679073792,2,,2,1
53,12142,Drove around. Surrounding area has power. What the fuck  ???,2017-09-11,https://twitter.com/DominaLadyM/status/907354885703786496,2,,2,
54,4450,you guys did an outstanding job restoring power in Florida,2017-09-15,https://twitter.com/yrn700/status/908791179952705537,2,,6,
55,1154,"Really?  ticket just keeps delaying, now nearing 2 weeks with no power! No FPL crew onsite at all.  ",2017-09-21,https://twitter.com/nhaeems/status/910849376662228992,2,,2,1
56,19152,Dawn breaks on #HurricaneIrma Day6 without  power in Dunedin FL. Crews rolling again while my Generac keeps humming - Be Safe,2017-09-16,https://twitter.com/utilityinvestor/status/909016851425955840,2,,2,1
57,11425,I am so blessed to have you as my power company. Praying for the safety of your workers out returning our power! Thank you!,2017-09-11,https://twitter.com/Smith70Michelle/status/907425269643927553,6,,6,
58,13920,And my power went out wayyyy to early so I'm gonna need a discount this month,2017-09-10,https://twitter.com/gustavo_west/status/906815745132257281,2,,2,
59,8954,When will the rest of Bravard County get power??,2017-09-12,https://twitter.com/LaMustacho/status/907763984954265601,2,,2,
60,17565,"I feel so special being one of the 20,000 left without power in Orange County ",2017-09-17,https://twitter.com/__mariselaaa/status/909429367746580480,2,,2,1
61,1420,Passing so many power trucks tonight heading back to the staging areas. Thankful for their hard work over the last week!,2017-09-19,https://twitter.com/conrad_l/status/910301092650602497,2,,6,
62,16265,Crews came and and cut the trees off lines. They also cut a line and left it on the ground and in the trees. Can we remove it?,2017-09-22,https://twitter.com/LaPeeete/status/911294595086143489,2,,2,1
63,5884,I don't understand how I have no power but the neighbors to the left and right of me have power,2017-09-14,https://twitter.com/Notemo731/status/908393872342044678,2,,2,1
64,3636,Still no power at home in Indian Beach/Sapphire Shores #Sarasota #IrmaRecovery,2017-09-16,https://twitter.com/LynnCatWalters/status/909063796328730625,2,,2,
65,24392," can we get power in tangerine fl, I ain't work for y'all for a year and a half to be out of power for this long g.",2017-09-12,https://twitter.com/MoneyMakinMart/status/907778617626779648,2,,2,
66,8592,"Full of shit, i havent even seen a truck accessing the damage let alone trying to fix anything",2017-09-12,https://twitter.com/Gregoryloving1/status/907807904258031623,2,,2,
67,25258,Every single person updated on their individual status when 1.2 million have lost power. It's not how it works. Everyone needs to chill out.,2017-09-12,https://twitter.com/TommyFrain2013/status/907688981395058688,2,,6,
68,7923," Our whole complex has power except 3 buildings. Please restore our power at The Waves in Plantation. Buildings 1, 2 and 3.",2017-09-13,https://twitter.com/Weezy1978/status/907976850563100672,2,,2,1
69,17687,Why are we always last to get power back?If we are on a low priority grid and always out the longest then we should pay less #dukenopower,2017-09-17,https://twitter.com/scheffy123/status/909404352753881090,2,,2,
70,17429,"Citra fl still without power, I still have lines in my yard, I'm on disability and it's hard to get in my yard, 1631 ne 180 st. Citra fl.",2017-09-17,https://twitter.com/BoytBoytm/status/909462796911415296,2,,4,
71,1002,Some solar panels and my storm surcharge money back basically haha. I appreciate it though,2017-09-22,https://twitter.com/RequiemSlaps/status/911372375396057090,8,,6,
72,25467,- I'm getting real sick of everyone around me getting their power restored! #WTF no damage on Dean so why no power?,2017-09-12,https://twitter.com/MadAngel07/status/907665941462384640,2,,2,
73,1499,"Are the lift stations still on generators? My sidewalk keeps flooding with soapy looking water, but we haven't used dishwasher or laundry.",2017-09-19,https://twitter.com/WeSpyU/status/910252778706145280,2,,4,
74,23280,I had power but lost it last night :( why????? Bring it back,2017-09-13,https://twitter.com/Lulu_Bug1313/status/908028656987107328,2,,2,1
75,9699,"I know they are busy and trying hard, but  turned on power to every street except for my side. They sat there. Teases. :-)",2017-09-12,https://twitter.com/gooberboi20/status/907692845011804160,2,,2,1
76,19014," your map is WRONG. Not only do we NOT have power, your voicemail box is full & your website is overloaded. We CAN'T report. ",2017-09-16,https://twitter.com/MichelleMazuros/status/909041164866768897,2,,1,1
77,2502,Yall are ridiculous lol its literally been a week and my nieghbors around me have power but I dont & trucks have pass my house,2017-09-17,https://twitter.com/Hoodpope53/status/909523490751090689,2,,2,
78,21024,"So... looks like I'm part of the special group in Pinellas that's going to get power back at 11:59:59 tomorrow, huh,  ?",2017-09-14,https://twitter.com/ChrisJLMcDonald/status/908487277051039744,2,,2,
79,18264,"Hey,  , this seems like possible price-gouging /criminal behavior. Please look into this  -  wfla.com/2017/09/15/tar get-8-duke-energy-billing-shocks-power-customers/ â¦",2017-09-16,https://twitter.com/PewterReport/status/909178992514732032,2,,3,
80,8823,Same in our area - fpl rep claimed they were routing the power to another area.,2017-09-12,https://twitter.com/S_Wolf67/status/907778698656587781,2,,2,
81,27683,Come on  I believe in you! You can get this power back on!,2017-09-11,https://twitter.com/BasicallyIDoWrk/status/907325373230264320,2,,6,
82,3672,Day 8 of no power and no  trucks,2017-09-16,https://twitter.com/RonalGamez/status/909056771439906817,2,,2,
83,16467,"Today's the day! Tonight by 11pm we will have power, right  #10daysnopower",2017-09-19,https://twitter.com/CSavamom/status/910132642477113345,2,,2,
84,21356,"I seriously need  to come to the aid of 1,511 residents without power in Altamonte Springs on Jamestown. Going on 5 days",2017-09-14,https://twitter.com/Rayku036/status/908438337077293056,2,,2,
85,1742,10 days with no power! it has been brutally hot! Thank goodness for the crew that restored our power today..,2017-09-18,https://twitter.com/22Marlenne/status/909988357861670913,2,,2,
86,18243,Many people through Winter Park and Maitland still without power. Your current outage map doesn't show it,2017-09-16,https://twitter.com/KP_0312/status/909182921810022400,2,,2,1
87,2090,"For those  customers in Sarasota County without power, FPL can be reached both in person and by phone. Details: ",2017-09-18,https://twitter.com/scgovEOC/status/909808876786155520,2,,8,1
