ID,Random#,Case,Account,Date,Date,Date,Time,retweets,likes,Picutre,Code #,New Code,Subcode,content,unk,directed,hashtag,geocode,source,,,
,0.8315630331,02364,1992nole,,9/27/17,9/27/2017 0:00,5:50:00 PM,0,0,,,0,0,Somebody just got a little excited,,,,9.13E+17,https://twitter.com/1992nole/status/913158899116670976,,,
,0.4615435244,50043,RockstarF1,,9/10/17,9/10/2017 0:00,11:26:00 PM,0,0,,,0,1,"Negros tenian que ser, those niggers bastards",,,,9.07E+17,https://twitter.com/RockstarF1/status/907082974935568389,,,
28,0.9230161782,08567,blktrades,,9/12/17,9/12/2017 0:00,11:38:00 AM,0,0,,11,0,,Amazing work guys,,,,9.08E+17,https://twitter.com/blktrades/status/907629401281626113,,,
29,0.5303189905,37671,Mandy_Cordero,,9/9/17,9/9/2017 0:00,2:53:00 PM,0,0,,11,0,,No problem. We're here to help.,,,,9.07E+17,https://twitter.com/Mandy_Cordero/status/906591312752910337,,,
35,0.1250815919,61634,wideopeninc,,9/10/17,9/10/2017 0:00,1:44:00 PM,0,0,,6,0,,That's just wind,,,,9.07E+17,https://twitter.com/wideopeninc/status/906936448410050560,,,
41,0.7697082777,25587,HaleMichalehd,,9/10/17,9/10/2017 0:00,9:12:00 PM,0,3,,6,0,,I think I would save those birds before I would you,,,,9.07E+17,https://twitter.com/HaleMichalehd/status/907049140705742851,,,
43,0.1919296982,67703,Zito_Bares,,9/10/17,9/10/2017 0:00,3:17:00 PM,0,0,,3,0,,"Retweeted FOX 13 Tampa Bay ( @FOX13News ): SINGLE FILE, EVERYONE! Flamingos being ushered to safety at... http:// fb.me/34BjeQeXz",,@FOX13News,,9.07E+17,https://twitter.com/Zito_Bares/status/906959813824831489,,,
52,0.4565696448,24159,gastronomic,,9/8/17,9/8/2017 0:00,9:39:00 PM,0,0,,11,0,,Thank you!,,,,9.06E+17,https://twitter.com/gastronomic/status/906331280014540800,,,
55,0.5679529991,09012,BossBird17,,9/10/17,9/10/2017 0:00,3:12:00 PM,0,1,,8,0,,These are someone's pets. How could they just leave them behind? I hope someone is able to help them.,,,,9.07E+17,https://twitter.com/BossBird17/status/906958701956878347,,,
58,0.4741142462,58850,tupanelo,,9/23/17,9/23/2017 0:00,4:35:00 PM,0,0,,9,0,,"Hey Mayor Levine you're already in campaign ? Who's paying fir this ad ? You're such a BS artist, you have no credibility, zero, zilch, nada",,,,9.12E+17,https://twitter.com/tupanelo/status/911690402331316224,,,
61,0.7029366787,16967,dbphotog51,,9/10/17,9/10/2017 0:00,7:28:00 AM,0,1,,11,0,,Be safe!,,,,9.07E+17,https://twitter.com/dbphotog51/status/906841851465957377,,,
67,0.8944873825,17899,DitzyDeedy,,9/11/17,9/11/2017 0:00,4:34:00 PM,0,0,,5,0,,Did these Pink Flamingos have their shots?,,,,9.07E+17,https://twitter.com/DitzyDeedy/status/907341597125353472,,,
75,0.2150562448,21748,fogleman_jr,,9/1/17,9/1/2017 0:00,7:07:00 PM,0,0,1,6,0,,pic.twitter.com/j8FNcRInyn,,,,9.04E+17,https://twitter.com/fogleman_jr/status/903756213388808193,,,
76,0.3147182244,00824,10NewsWTSP,,9/22/17,9/22/2017 0:00,7:05:00 AM,0,1,,4,0,,West Zephyrhills Elementary is the 10News School of the Week powered by Duke Energy Florida http:// on.wtsp.com/2xzIJGa pic.twitter.com/6P6r9NIVKC,,,,9.11E+17,https://twitter.com/10NewsWTSP/status/911184594678018048,,,
87,0.683250415,04154,Alieninho,,9/6/17,9/6/2017 0:00,2:56:00 PM,0,0,,10,0,,We live sea level.. there's no good drain system here [South Tampa].,,,,9.06E+17,https://twitter.com/Alieninho/status/905505089359634433,,,
111,0.6897603027,35068,LeMansSuperfan,,9/9/17,9/9/2017 0:00,7:57:00 PM,0,0,,11,0,,@WPLGLocal10 representing.,,@WPLGLocal10,,9.07E+17,https://twitter.com/LeMansSuperfan/status/906667794061824005,,,
112,0.6164365139,60462,watchwonk,,9/10/16,9/10/2016 0:00,9:06:00 PM,0,0,,9,0,,No more Rubio for Florida!,,,,7.75E+17,https://twitter.com/watchwonk/status/774776178221707264,,,
125,0.9457377899,26819,hs4265,,9/9/17,9/9/2017 0:00,2:20:00 PM,0,0,,9,0,,So now Rick Scott is in the Navy? The Guy has never shown one emotion most of his life. Seems to be a total sociopath.,,,,9.07E+17,https://twitter.com/hs4265/status/906583154290434048,,,
137,0.0496277803,44096,news6wkmg,,9/10/17,9/10/2017 0:00,11:54:00 AM,0,0,,14,0,,Watch it live here: http:// bit.ly/2eP8Myy https:// twitter.com/KirstinTVNews/ status/906907756694827009 â€¦,,,,9.07E+17,https://twitter.com/news6wkmg/status/906908629898551297,,,
140,0.5514654001,36501,loyalangel32,,9/28/17,9/28/2017 0:00,7:24:00 PM,0,1,,11,0,,Thanks for being a friend to his mother getting breakfast was added delight and would love to see the drop off at school. Take care hero!,,,,9.14E+17,https://twitter.com/loyalangel32/status/913545000885084161,,,
141,0.0019355242,41422,mousebag2_crat,,9/10/17,9/10/2017 0:00,8:39:00 PM,0,6,,9,0,,The democrats come out of the woodwork when there is free stuff!,,,,9.07E+17,https://twitter.com/mousebag2_crat/status/907040970059010048,,,
148,0.8248771357,09462,BrianSLSpringer,,9/27/17,9/27/2017 0:00,11:12:00 AM,0,2,,14,0,,I actually L VED it #ThatViewerDoesntSpeakForMe,,,#ThatViewerDoesntSpeakForMe,9.13E+17,https://twitter.com/BrianSLSpringer/status/913058651170070529,,,
158,0.1642105374,45974,pacam24,,9/11/17,9/11/2017 0:00,12:03:00 AM,0,0,,11,0,,Their poor little sad faces. I hope they made it through and are safe.,,,,9.07E+17,https://twitter.com/pacam24/status/907092329554616321,,,
172,0.209384849,26339,Hi_Im_Rav,,9/25/17,9/25/2017 0:00,5:04:00 PM,0,0,,5,0,,I'm sorry but even protesters have a right to also counter-protest what they don't agree with. I see what side you're on. I'm done with this,,,,9.12E+17,https://twitter.com/Hi_Im_Rav/status/912422488260345856,,,
