ID,Random#,Case,Account,Date,Date,Date,Time,retweets,likes,Picutre,Code #,content,unk,directed,hashtag,geocode,source,,,,
,,,,,,,,,,,,pic.twitter.com/jfdksfoned
,0.5662283539,33708,KirstinOConnor_,,9/10/17,9/10/2017 0:00,11:05:00 AM,3,2,,,"TORNADO WARNING UNTIL 11:30 A.M. BREVARD COUNTY, SOUTH OF MELBOURNE. @news6wkmg pic.twitter.com/RtfBl4aWdv",,@news6wkmg,,9.07E+17,https://twitter.com/KirstinOConnor_/status/906896372342947845,,,,
,0.4506756164,02419,1nomore1,,9/11/17,9/11/2017 0:00,1:05:00 PM,0,0,,,"@nbc6 finally some aerials from Key Largo! Much appreciated... When Isla Mirada to Big Pine? @wsvn etc... Channels 10, 4, 23",,@nbc6 @wsvn,,9.07E+17,https://twitter.com/1nomore1/status/907288901685006337,,,,
,0.9754513688,43383,NEVILLEgHINDS,,9/11/17,9/11/2017 0:00,5:09:00 AM,1,3,,,"Here we see a destructive and a destroyed people. Judgment is apond you, but you choose to live in sin.",,,,9.07E+17,https://twitter.com/NEVILLEgHINDS/status/907169105635168256,,,,
,0.8944378395,15736,CStewartWPTV,,9/9/17,9/9/2017 0:00,2:36:00 PM,12,7,,,Here's a look at I-4 entering #Hillsborough County. Mass exodus from #Tampa area. #HuricaneIrma @WPTV @wptvtraffic pic.twitter.com/z4pLZxT3BY,,@WPTV @wptvtraffic,#Hillsborough #Tampa #HuricaneIrma,9.07E+17,https://twitter.com/CStewartWPTV/status/906587114057412609,,,,
,0.6380032177,56704,Terry64250589,,9/5/17,9/5/2017 0:00,4:05:00 PM,0,0,,,Sun pass gets it! Why not @UCF_Football ???,,@UCF_Football,,9.05E+17,https://twitter.com/Terry64250589/status/905159896957681665,,,,
,0.7718678086,01118,10NewsWTSP,,9/17/17,9/17/2017 0:00,2:06:00 PM,0,1,,,Pick six!!!! Robert McClain takes the INT 47 yards for a @TBBuccaneers score! #SiegetheDay,,@TBBuccaneers,#SiegetheDay,9.09E+17,https://twitter.com/10NewsWTSP/status/909478610930675712,,,,
,0.2012476467,20518,ErinCBS12,,9/13/17,9/13/2017 0:00,10:46:00 AM,1,1,,,***Correction: Kathie Whatley - not Kathy Whatley @CBS12 pic.twitter.com/qG1DFLLlrd,,@CBS12,,9.08E+17,https://twitter.com/ErinCBS12/status/907978795323461632,,,,
,0.6418172543,02709,4TerrH,,9/8/17,9/8/2017 0:00,7:39:00 PM,0,1,,,thank you hurricane hunters. You risk your lives flying in the hurricane to protect us on the ground.,,,,9.06E+17,https://twitter.com/4TerrH/status/906300986209312768,,,,
,0.6397424949,36112,LoleskyWX,,9/11/17,9/11/2017 0:00,6:18:00 AM,0,1,,,Head-bob FOMO @KChapmanCBS12 #Irma @cbs12 https:// twitter.com/samkerrigantv/ status/907184540850036736 â€¦,,@KChapmanCBS12 @cbs12,#Irma,9.07E+17,https://twitter.com/LoleskyWX/status/907186613410725888,,,,
,0.4053891235,43982,news6wkmg,,9/12/17,9/12/2017 0:00,3:48:00 PM,1,0,,,"Man dies after trying to inspect river conditions during Irma, police say http:// dlvr.it/PmYwp7 pic.twitter.com/OZPGoLgAj7",,,,9.08E+17,https://twitter.com/news6wkmg/status/907692315589750784,,,,
,0.9904588022,20688,espali2000,,9/11/17,9/11/2017 0:00,12:49:00 AM,0,0,,,. @CBS12 en #Periscope : Continuous coverage of Hurricane Irma from our studio and throughout Florida https://www. pscp.tv/w/bIS7uzExOTI2 MjB8MU1ZeE5YZHJSd25Hd-PXJnU8zOe_CmCh2KlrMqdcYOcqH_U5GrruP4taCixV â€¦,,@CBS12,#Periscope,9.07E+17,https://twitter.com/espali2000/status/907103719510171648,,,,
,0.9244948676,65401,wsvn,,9/29/17,9/29/2017 0:00,6:57:00 AM,7,8,,,#TRAFFIC : The Palmetto Expressway's eastbound exit to Red Road is blocked off due to an overnight crash pic.twitter.com/Jys8dOYMeo,,,#TRAFFIC,9.14E+17,https://twitter.com/wsvn/status/913719266209353728,,,,
,0.1200564312,44917,nised72,,9/20/17,9/20/2017 0:00,1:58:00 PM,1,0,,,Sinclair Broadcast Group is Trumps State Run Propaganda News outlet pic.twitter.com/UFzGR19RrB,,,,9.11E+17,https://twitter.com/nised72/status/910563905361055744,,,,
,0.9911464199,58127,TonyHPope,,9/12/17,9/12/2017 0:00,2:03:00 PM,0,0,,,@PTZtv @WPLGLocal10 do the folks you see swimming in Ft Lauderdale beaches not realize how dirt the water is?,,@PTZtv @WPLGLocal10,,9.08E+17,https://twitter.com/TonyHPope/status/907666035033219072,,,,
