,'username','date','retweets','favorites','text','cleantext','is_retweet','ID','permalink','Translation',Category
0,AEEONLINE,2018-01-04 03:44:08,16,65,La AEE activará otra unidad de Palo Seco a fin de mes - CC1 http://bit.ly/2CxGzKp  ,La AEE activará otra unidad de Palo Seco a fin de mes - CC1   ,False,948837438528552965,/AEEONLINE/status/948837438528552965,The AEE will activate another unit of Palo Seco at the end of the month - CC1 http://bit.ly/2CxGzKp,2
1,AEEONLINE,2017-10-12 15:25:48,48,75,LO QUE ESTÁN HACIENDO LAS BRIGADAS AEE - Región San Juan CC6 #AEEyacomenzamos  #PRSeLevanta pic.twitter.com/Y22BU7J9hw,LO QUE ESTÁN HACIENDO LAS BRIGADAS AEE - Región San Juan CC6 #AEEyacomenzamos  #PRSeLevanta ,False,918558339075923969,/AEEONLINE/status/918558339075923969,WHAT THE AEE BRIGADES ARE DOING - San Juan Region CC6 #AEEyandweb #PRSeLevanta pic.twitter.com/Y22BU7J9hw,2
2,AEEONLINE,2017-12-26 08:02:56,11,36,"El Director Ejecutivo, Ing. Justo González nos habla sobre el restablecimiento del sistema eléctrico para el día de hoy. CC6 https://www. facebook.com/aeepronline/vi deos/151233015530283/   …","El Director Ejecutivo, Ing. Justo González nos habla sobre el restablecimiento del sistema eléctrico para el día de hoy. CC6  facebook.com/aeepronline/vi deos/151233015530283/   …",False,945641076068704256,/AEEONLINE/status/945641076068704256,"The Executive Director, Ing. Justo González talks to us about the restoration of the electrical system for today. CC6 https: // www. facebook.com/aeepronline/vi deos / 151233015530283 / ...",2
3,AEEONLINE,2018-03-10 12:32:48,8,18,"10-3-2018 - LO QUE ESTÁN HACIENDO LAS BRIGADAS... Regiones Arecibo, Bayamón, Caguas y Carolina.  CC6 pic.twitter.com/o4tSDnwxVl","10-3-2018 - LO QUE ESTÁN HACIENDO LAS BRIGADAS... Regiones Arecibo, Bayamón, Caguas y Carolina.  CC6 ",False,972525691613929477,/AEEONLINE/status/972525691613929477,"10-3-2018 - WHAT THE BRIGADES ARE DOING ... Regions Arecibo, Bayamón, Caguas and Carolina. CC6 pic.twitter.com/o4tSDnwxVl",2
4,AEEONLINE,2017-10-30 19:16:20,0,1,Saludos en este momento lo que aparece en la tabla es según el plan de trabajo de los Distritos Técnicos; no tengo detalle adicional. CC6,Saludos en este momento lo que aparece en la tabla es según el plan de trabajo de los Distritos Técnicos; no tengo detalle adicional. CC6,False,925139335577591808,/AEEONLINE/status/925139335577591808,Greetings at this moment what appears in the table is according to the work plan of the Technical Districts; I do not have additional detail. CC6,2
5,AEEONLINE,2017-09-15 08:39:18,13,14,Sectores restablecidos en la noche del 14 de septiembre de 2017. CC6 #AEEHuracanes  #AEEyacomenzamos pic.twitter.com/DlwUWbQMiG,Sectores restablecidos en la noche del 14 de septiembre de 2017. CC6 #AEEHuracanes  #AEEyacomenzamos ,False,908671565679783936,/AEEONLINE/status/908671565679783936,"Sectors restored on the night of September 14, 2017. CC6 #AEEHuracanes #AEEyacomenzamos pic.twitter.com/DlwUWbQMiG",2
6,AEEONLINE,2018-01-16 22:28:27,0,4,Aquí están trabajando las brigadas de la AEE - NOTICEL CC1 http://www. noticel.com/ahora/aqu-estn -trabajando-las-brigadas-de-la-aee/686658462   …,Aquí están trabajando las brigadas de la AEE - NOTICEL CC1  noticel.com/ahora/aqu-estn -trabajando-las-brigadas-de-la-aee/686658462   …,False,953469037421432833,/AEEONLINE/status/953469037421432833,Here the ESA brigades are working - NOTICEL CC1 http: // www. noticel.com/ahora/aqu-estn -working-las-brigadas-de-la-aee / 686658462 ...,2
7,AEEONLINE,2017-11-11 09:56:45,6,22,Trabajos que realizan hoy nuestras brigadas en la Región Ponce. CC6 #PRSeLevanta pic.twitter.com/2HCw1roFZ2,Trabajos que realizan hoy nuestras brigadas en la Región Ponce. CC6 #PRSeLevanta ,False,929362265689731072,/AEEONLINE/status/929362265689731072,Work done today by our brigades in the Ponce Region. CC6 #PRSeLevanta pic.twitter.com/2HCw1roFZ2,2
8,AEEONLINE,2018-01-19 11:48:56,3,10,AEE informa dónde están trabajando las brigadas hoy - CC1 https://goo.gl/V9R8oo  ,AEE informa dónde están trabajando las brigadas hoy - CC1   ,False,954395259378765824,/AEEONLINE/status/954395259378765824,AEE informs where the brigades are working today - CC1 https://goo.gl/V9R8oo,2
9,AEEONLINE,2018-03-09 13:14:11,1,19,AEE se tira a la montaña - CC1 https://goo.gl/BPNiaL  ,AEE se tira a la montaña - CC1   ,False,972173720252010497,/AEEONLINE/status/972173720252010497,AEE is thrown to the mountain - CC1 https://goo.gl/BPNiaL,2
