,Unnamed: 0,'username','date','retweets','favorites','text','cleantext','is_retweet','ID','permalink','Translation',Category
1617,1617,AEEONLINE,2018-03-01 18:50:10,102,220,AEE Informa: Se normalizó la línea 50900 y continuamos restableciendo el servicio eléctrico a los clientes que lo perdieron a consecuencia del evento de hoy. Seguimos... CC1,AEE Informa: Se normalizó la línea 50900 y continuamos restableciendo el servicio eléctrico a los clientes que lo perdieron a consecuencia del evento de hoy. Seguimos... CC1,False,969359171564068864,/AEEONLINE/status/969359171564068864,AEE Informs: Line 50900 was standardized and we continue to restore electric service to customers who lost it as a result of today's event. We continue ... CC1,2
2714,2714,AEEONLINE,2017-10-14 13:57:06,10,13,LO QUE ESTÁN HACIENDO LAS BRIGADAS AEE - Región Mayaguez CC6 #AEEyacomenzamos  #PRSeLevanta pic.twitter.com/fAy0EZEB6t,LO QUE ESTÁN HACIENDO LAS BRIGADAS AEE - Región Mayaguez CC6 #AEEyacomenzamos  #PRSeLevanta ,False,919260790414303234,/AEEONLINE/status/919260790414303234,WHAT THE AEE BRIGADES ARE DOING - Mayaguez Region CC6 #AEEyacommend #PRSeLevanta pic.twitter.com/fAy0EZEB6t,2
1940,1940,AEEONLINE,2017-08-31 15:26:17,0,0,"Director ejecutivo @AEEONLINE , Ricardo L. Ramos habla sobre la infraestructura de la Central Palo Seco:  http://youtu.be/rHZWIFr33ZI?a    via @YouTube","Director ejecutivo @AEEONLINE , Ricardo L. Ramos habla sobre la infraestructura de la Central Palo Seco:      ",False,903338169281781760,/AEEONLINE/status/903338169281781760,"Executive Director @AEEONLINE, Ricardo L. Ramos talks about the infrastructure of the Palo Seco Power Plant: http://youtu.be/rHZWIFr33ZI?a via @YouTube",2
883,883,AEEONLINE,2018-03-28 17:01:10,2,7,28-3-2018 - Sectores restablecidos en el día de hoy (hasta 5:00 pm). __NEWLINE____NEWLINE__Seguimos... CC6 pic.twitter.com/5NfszLD4os,28-3-2018 - Sectores restablecidos en el día de hoy (hasta 5:00 pm). __NEWLINE____NEWLINE__Seguimos... CC6 ,False,979101111486435330,/AEEONLINE/status/979101111486435330,28-3-2018 - Sectors restored today (until 5:00 pm). __NEWLINE ____ NEWLINE__We continue ... CC6 pic.twitter.com/5NfszLD4os,2
2098,2098,AEEONLINE,2017-12-19 04:38:54,8,17,CC1 pic.twitter.com/R7043hxKQc,CC1 ,False,943053015753388032,/AEEONLINE/status/943053015753388032,CC1 pic.twitter.com/R7043hxKQc,2
1039,1039,AEEONLINE,2017-09-08 18:39:55,76,277,# AEEyacomenzamos   y no vamos a parar porque #PRSeLevanta  CC6 pic.twitter.com/ftD6XzCfXW,# AEEyacomenzamos   y no vamos a parar porque #PRSeLevanta  CC6 ,False,906286000300855303,/AEEONLINE/status/906286000300855303,# AEEy we start and we will not stop because #PRSeLevanta CC6 pic.twitter.com/ftD6XzCfXW,2
2542,2542,AEEONLINE,2017-09-11 17:14:26,9,13,AEE INFORMA SOBRE OFICINAS COMERCIALES ABIERTAS CC6 pic.twitter.com/PgvrnziOi7,AEE INFORMA SOBRE OFICINAS COMERCIALES ABIERTAS CC6 ,False,907351653300490242,/AEEONLINE/status/907351653300490242,AEE INFORMS ON OPEN TRADE OFFICES CC6 pic.twitter.com/PgvrnziOi7,2
1487,1487,AEEONLINE,2018-03-18 15:11:32,4,17,AEE Informa: Personal de Conservación de Subestaciones ya completó las labores de mantenimiento en la Subestación Las Lomas y restableció el servicio eléctrico en College Park y Altamesa de San Juan.  Seguimos... CC1,AEE Informa: Personal de Conservación de Subestaciones ya completó las labores de mantenimiento en la Subestación Las Lomas y restableció el servicio eléctrico en College Park y Altamesa de San Juan.  Seguimos... CC1,False,975449642510045184,/AEEONLINE/status/975449642510045184,AEE Informs: Substation Maintenance Staff has already completed the maintenance work at Las Lomas Substation and reestablished electrical service at College Park and Altamesa de San Juan. We continue ... CC1,2
689,689,AEEONLINE,2017-10-30 11:24:15,38,75,Trabajos que realizan hoy nuestras brigadas en la Región Bayamón. CC6 #PRSeLevanta pic.twitter.com/2X9tjuw1OC,Trabajos que realizan hoy nuestras brigadas en la Región Bayamón. CC6 #PRSeLevanta ,False,925020529978957826,/AEEONLINE/status/925020529978957826,Work done today by our brigades in the Bayamón Region. CC6 #PRSeLevanta pic.twitter.com/2X9tjuw1OC,2
2383,2383,AEEONLINE,2018-02-02 11:06:30,4,9,"2-2-2018 - LO QUE ESTÁN HACIENDO LAS BRIGADAS... Regiones Mayagüez, Ponce y San Juan.  CC6 pic.twitter.com/0jgGcHUP5V","2-2-2018 - LO QUE ESTÁN HACIENDO LAS BRIGADAS... Regiones Mayagüez, Ponce y San Juan.  CC6 ",False,959458013609422848,/AEEONLINE/status/959458013609422848,"2-2-2018 - WHAT THE BRIGADES ARE DOING ... Regions Mayagüez, Ponce and San Juan. CC6 pic.twitter.com/0jgGcHUP5V",2
