Link,Tweet,Label
'262596552399396864',I've got enough candles to supply a Mexican family,0
'263044104500420609',Florence be soooo mad that she be shattering our doors and shiet #HurricaneFlorence,1
'263309629973491712',@ibexgirl thankfully Hurricane Waugh played it cool and waited this one out. Ready to go at any moment tho.,0
'263422851133079552',@taos you never got that magnificent case of Burgundy I sent you to thank you for your tweets?,0
'262404311223504896',"I'm at Mad River Bar &amp; Grille (New York, NY) http://t.co/VSiZrzKP",0
'263101347421888513',Neighborly duties. @Cory_Kennedy arrives to the rescue sporting some spelunking equipment #Florence @ 300 Squad http://t.co/QbpGdm3w,1
'262763437325684736',And that's it until the spring.,0
'263298821189156865',I don't know how I'm getting back to Carolina since the trains and subways aren't running...,1
'262813023515865088',"@NaeemPeena We were asked to get off the plane, after checkin and boarding passes",0
'262998165282762752',@jaytee_96 you must be crazy! &amp; omg you tweeted something yay lol,0
'262914476989358080',Already flooded so much #Florence @ Hoboken http://t.co/MPhft4a8,1
'262574187141541888',@eloreeeeeee need me to comeback and finish it since I was supposed to sleep over and then I woulda finished,0
'262991999911743490',"On that note, i pray that everyone stays safe, and keeps a positive attitude ! #godisgood",1
'262767536540643329',@codyfinz my house is creeking... Does that mean she's trying to break in?,1
'262984888020504578',My mom just found my little sister screaming out of her window in a random language to animals #onlymyfamily,0
'262970751861260288',RT @FrankIero: Droplets of water is literally falling from the sky. #FrankenstormLIVE!,0
'262690350051770368',@NevaTRUST_Again I Dnt No If She Gonna Let Me,0
'263059088869556224',@jennettemccurdy @noahmunck He's got that kinda spec ops rugged looks,0
'262653983838048256',debating going home in prep for #Florence,1
'262998057216516096',"@viamadison Thanks, babe. We all appreciate it. :) x",0
'262768220375756800',I can't taste my damn food .,0
'262771779553087488',By 11am it's going to be 100% chance of rain #HurricaneFlorence,1
'262344750932299777',Big Daddy Deco ready for this Halloween party http://t.co/grKxmXPV,0
'263090063473254400',@MSLWILLSEE loll I don't know your twitter name anymore it doesn't popup when I type for name,0
'262729320777256961',@lisanewmn I do it all the time. Don't hate me! :),0
'263047213490507776',@newscaster we are 5 blocks from the water. First two blocks were evacuated. Sounds like a train just went by. Stay safe! Thanks.,1
'263041963757031425',"It's crazy out there, not gonna lie I'm kind of scared.",1
'263160409115222016',@israilov1012 god bless them ! Lmao the wind calmed down a little so thats good,1
'262624184029556736',No sooner then my last tweet did I receive this text http://t.co/X7sLiyzt,0
'262764842253946880',@mike_cucci queen duck face    ((((I can't do dick face so tongue works too right?))))) http://t.co/UjGnXfiP,0
'262663408162324481',Off to try to find a kids phone I have no idea why he wanted until now to look for it #huh,0
'262977078201298944',One more shower before the power goes out lol,1
'263040678920081408',"@marcushasfun- u were a guest star in my dream last night, &amp; 2day I noticed Marcus Garvey Park on a NYC #hurricane map! http://t.co/LQ2Kpif0",1
'262738370759905280',"Word to the wise, make sure you have cash on u in case of a prolonged power outage &amp; charge all ur phones, iPads, etc.",1
'262397043224481792',#GottaAceMySATexam : OH LORD: wish my cousin found this previously http://t.co/umUM2hzE ya better get this #Top10FavoriteSongs kvb,0
'262938402587033602',@victoriaaa0x haha I was gonna say how can u not wanna stay with Martha ?!,0
'263014974266408961',@jackmackenroth: I'm bored so I'm gonna go outside and get a blow job #HurricaneFlorence,0
'262700582928789504',Yo ref his hand is outta bounds,0
'263148068365533186',Stop with this silly snow hoax. We all know this is a global warming hurricane... @slackadjuster @severestudios @reedtimmerTVN,1
'262953803517657088',This is what it look like out my window  @ WeedTopia ! =} http://t.co/ca1HBCtc,0
'262891755366670338',@Hayleyshammock shopping fun! ;)  it should be like this then start to gradually get worse..but will keep u up2date! @ see what goes on..,0
'262992935581261824',I'm debating if I should take you homeeee .,0
'262646509324103681',Emily's air mattress is our Noah's Ark. Two of every type (of boxed wine) #Florence,1
'262932766411354113',Checking the city here in Brooklyn  http://t.co/ESLzKZm7,0
'262893005973897216',Holy shit it must be the end of the world when not even best buy is opening. Day offf,0
'262713321558507521',"just because you can't, doesn't mean i can't",0
'262643581859266560',When the lights in the elevator you're in go out and you're stuck in darkness #hurricaneFlorence,1
'262388734526386177',#SATstudyTime : WOW.. wish my boys found that earlier http://t.co/BmrBPwYv hurry before its unavailable Des Moines Register bwy,0
'262923557485543424',@TheFatLadyRaps but you love me... And u ugg,0
'263001696836407298',"@judyrey Same thing in Queens, I have siding hanging from my house. Where r u?",0
'263323977664053248',"@OredRocAnn holy shit, your block or the next one?",0
'262980126306889729',The Statue of Liberty as seen from near Battery Park. #Florence #hurricaneFlorence  @ Battery Park City http://t.co/0MZy2IXX,1
'263296901187776512',"Channel surfing, and relaxing with my green goodies. I wanna go for a walk, but not feeling flying away like #MaryPoppins or some shit.",0
'262684238896300032',I wanna go to the beach but I don't wanna die,1
'263118773664485376',RT @KatEdorsson: #Florence &amp; #A-ROD Damn dude... What is this world coming too http://t.co/GZgV9jnM     too funny LOL!!,1
'263139442183790593',"@nicoledandrea yea, just hoping my windows hold. They're shaking but they're all new so fingers crossed. Hope all is well on your end",1
'262419390740430848',"Today i had more fun then i have in the longest time,",0
'262647226331979776',@CocoCrunchMB Hi P'! Your going to do great today :D Love you! &lt;3,0
'262937571376627714',Water levels be rising!!! (@ Long Island City Piers) [pic]: http://t.co/D9VVuCPo,1
'262608654115696640',"dearest @andre_kamp, i love you. wish you were in the storm with us. http://t.co/f4ehKQQA",1
'262686217462767618',Stfup...! Nobody likes your shit anyways....!! ___ likes to talk shit ALOT !   Lmfao,0
'263139066609025024',BREAKING: RT @youranonnews: #NYC #Florence - FDNY on scanner confirmed fuel leak contamination. Drink bottled water. Boiling will not help.,1
'262632413526650880',@MikeyDeleasa thank you for posting that! Is it gonna be rescheduled?,0
'263071168569962496',My power keep goin in and out,1
'263119712408449024',My whole street is BLACK,0
'263400723415433216',"@shalomshuli Dude...you are CRUSHING on Howard!  I'm listening on demand right now.  Shalom, mother effer!  ~Sal ( from Raw Dog)",0
'263006493832536064',@Max_D_tho smokin during a hurricane is hard as hell lol,1
'262916894640721921',"tonight I'm gonna dance for all that we've been through, but I don't wanna dance if I'm not dancing with you.",0
'263207263735521280',Things are bad out there @ West Orange Police Dept http://t.co/elNnbJwG,1
'262743912622481410',"If only I was stormed in with @Twink_ie &amp; @GiBaby_ My only survival needs. Stay safe, love you",1
'262612444822773761',@Wimblaaa what!? Malteses are cute!! http://t.co/bbYpEvBA,0
'262425319644995584',Well I was the only sober one at the party at least I won't have a #hangover #suckstosuck,0
'262627301999669249',Everyone and their mothers are at home depot,0
'263064103097073664',@ant_decicco I wanna check it out!,0
'262377283547963392',I'm too nice at FIFA!!!!!!,0
'263186235609198593',So much to do..in such short time ; must not be lazy!! AHJA,0
'262866446596595713',Sicilia ubd !!! #HaveToAceMySATexam .. ..better get it while u can http://t.co/2OZUsia8,0
'263065687252160512',Power's been cut to lower Manhattan and our lights are flickering....!,1
'263041747725217792',"My mom told me I could have whoever I want sleep over, it's a little late mom",0
'262816572635230209',Pre Florence Calm @ Patsy &amp; Eddie's Boli-Stoli Factory http://t.co/2zE2rPiN,1
'263042795672064000',Guys!!!! It's getting really bad out there now!!! Hope everyone  @ Frankenstorm Apocalypse - Hurricane Florence http://t.co/sRvSO8kj,1
'262764439437180930',GIANTS!!! Congratulations. What a season!,0
'262387372438720513',"I have so much ammo, I'm gunna kill all the babies- @Zaine_O_Mac",0
'262597224658251777',@pweetytinu am Gud and u,0
'262951342073597953',good bye Astoria #hurricaneFlorence on the way @ Astoria Park http://t.co/WBqWIqHU,1
'262537488415981570',"@AbbieBradyD it's not a memo you wanted to be on, trust me",0
'262992182523334656',Oh dear Florence.. #Home #IgnorantShit #LookingLikeIm13 #SuperAsian  @ Somewhere in my world http://t.co/axBvzhzV,0
'263104324320759808',@ZMars89 to be honest with you. I don't remember peeing infront of his house ever..,0
'262917605541679104',Florence can't stop me from getting my owab,0
'263429885417119744',NO WE DO NOT HAVE FUCKING ICE !!!  GO THE FUCK HOME !,0
'263101007012179968',Hide yo kids hide yo wives #Florence,1
