Source,categories,_id,created_at,emotion_ml,opinion_ml,text,Relevance,1st Code,2nd Code
Statuses_Irma_C,,5c409973ec4ee50898175e81,12/3/2017,0,1,We will add a few more warmer-than-average days to this streak before a big blast of arctic air cools #TampaBay down. Details on just how chilly it will get coming up at 6pm on @WFLA . @StormTeam8WFLA pic.twitter.com/g32ApcL7nC,0,,
Statuses_Irma_A,['utility'],5c11a746ec4ee522100a5b3b,9/15/2017,0,1,I am happy to speak with someone at @dukeenergy but we can't seem to reach a human being by phone.,1,9,27
Statuses_Irma_A,['gov'],5c0c5cf2ec4ee5221008263d,9/8/2017,0,1,Consider it done! Great work! #9PMRoutine https://t.co/Q8oZD0dyYE,0,,
Statuses_Irma_A,,5c598cc9ec4ee5929fd1e356,5/11/2017,0,1,@WPLGLocal10 Waste of time and taxpayers mon ey,1,17,26
Statuses_Irma_C,,5c4099ecec4ee508981c3249,1/22/2018,0,1,I feel like Derek Sheppard could’ve removed this #GreysAnatomy,0,,
Statuses_Irma_C,,5c40997eec4ee5089818025a,6/20/2017,0,1,"Word to the wise David, I would appreciate your help but just know WEAR knew about this since it happened, they'll fire you for reporting it",0,,
Statuses_Irma_A,,5c598ccbec4ee5929fd33dd2,9/16/2017,0,1,@kylegravlin @WESH How can I watch it when there is still no power.,1,17,27
Statuses_Irma_A,,5c598ccdec4ee5929fd4fcb8,11/10/2017,0,1,@weartv @LittleDebbie 😩,0,,
Statuses_Irma_A,,5c598cc9ec4ee5929fd1ee41,9/13/2017,0,1,@tonyb1957 @WFLA @suzanne54 What are you insinuating?,0,,
Statuses_Irma_A,['media'],5c1d40b0ec4ee52210108837,10/1/2017,0,1,Plane makes emergency landing as passengers get shots of engine blowout https://t.co/xUvwRhYBPe https://t.co/ZGxJ1dKr80,0,,
Statuses_Irma_C,,5c4099cbec4ee508981aba4d,12/22/2017,0,1,"Sorry,nothing to do with tax code",0,,
Statuses_Irma_A,,5c598ccdec4ee5929fd4be5e,10/24/2017,0,1,Port St. Lucie approves major upgrades for First Data Field https://t.co/sZ2OooAe75 @StephanieWPTV https://t.co/H2GaFcBi2Q,0,,
Statuses_Irma_A,['media'],5c1db238ec4ee5221010c151,9/16/2017,0,1,"California votes to set primary for March, a move that would force candidates to mount expensive campaigns earlier https://t.co/VKJARtVLPM",0,,
Statuses_Irma_C,,5c4098e4ec4ee5089811e658,10/15/2017,0,1,"Jackie Shane was born in 1940, black and transgender at a time when either meant a life of constriction  http://nyti.ms/2ymGF2H   pic.twitter.com/hU7p5c2yUN",0,,
